# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;škeriaca sa tvár;škeriaca sa tvár|tvár|úškľabok|úškrn
	🙋🏻;človek so zdvihnutou rukou: svetlý tón pleti;človek so zdvihnutou rukou|človek so zdvihnutou rukou: svetlý tón pleti|gesto|ruka|svetlý tón pleti|zdvihnutá
	🙋🏼;človek so zdvihnutou rukou: stredne svetlý tón pleti;človek so zdvihnutou rukou|človek so zdvihnutou rukou: stredne svetlý tón pleti|gesto|ruka|stredne svetlý tón pleti|zdvihnutá
	🙋🏽;človek so zdvihnutou rukou: stredný tón pleti;človek so zdvihnutou rukou|človek so zdvihnutou rukou: stredný tón pleti|gesto|ruka|stredný tón pleti|zdvihnutá
	🙋🏾;človek so zdvihnutou rukou: stredne tmavý tón pleti;človek so zdvihnutou rukou|človek so zdvihnutou rukou: stredne tmavý tón pleti|gesto|ruka|stredne tmavý tón pleti|zdvihnutá
	🙋🏿;človek so zdvihnutou rukou: tmavý tón pleti;človek so zdvihnutou rukou|človek so zdvihnutou rukou: tmavý tón pleti|gesto|ruka|tmavý tón pleti|zdvihnutá
🙋‍♂️;muž so zdvihnutou rukou;muž|muž so zdvihnutou rukou|ruka|zdvihnutá
	🙋🏻‍♂️;muž so zdvihnutou rukou: svetlý tón pleti;muž|muž so zdvihnutou rukou|muž so zdvihnutou rukou: svetlý tón pleti|ruka|svetlý tón pleti|zdvihnutá
	🙋🏼‍♂️;muž so zdvihnutou rukou: stredne svetlý tón pleti;muž|muž so zdvihnutou rukou|muž so zdvihnutou rukou: stredne svetlý tón pleti|ruka|stredne svetlý tón pleti|zdvihnutá
	🙋🏽‍♂️;muž so zdvihnutou rukou: stredný tón pleti;muž|muž so zdvihnutou rukou|muž so zdvihnutou rukou: stredný tón pleti|ruka|stredný tón pleti|zdvihnutá
	🙋🏾‍♂️;muž so zdvihnutou rukou: stredne tmavý tón pleti;muž|muž so zdvihnutou rukou|muž so zdvihnutou rukou: stredne tmavý tón pleti|ruka|stredne tmavý tón pleti|zdvihnutá
	🙋🏿‍♂️;muž so zdvihnutou rukou: tmavý tón pleti;muž|muž so zdvihnutou rukou|muž so zdvihnutou rukou: tmavý tón pleti|ruka|tmavý tón pleti|zdvihnutá
🙋‍♀️;žena so zdvihnutou rukou;ruka|zdvihnutá|žena|žena so zdvihnutou rukou
	🙋🏻‍♀️;žena so zdvihnutou rukou: svetlý tón pleti;ruka|svetlý tón pleti|zdvihnutá|žena|žena so zdvihnutou rukou|žena so zdvihnutou rukou: svetlý tón pleti
	🙋🏼‍♀️;žena so zdvihnutou rukou: stredne svetlý tón pleti;ruka|stredne svetlý tón pleti|zdvihnutá|žena|žena so zdvihnutou rukou|žena so zdvihnutou rukou: stredne svetlý tón pleti
	🙋🏽‍♀️;žena so zdvihnutou rukou: stredný tón pleti;ruka|stredný tón pleti|zdvihnutá|žena|žena so zdvihnutou rukou|žena so zdvihnutou rukou: stredný tón pleti
	🙋🏾‍♀️;žena so zdvihnutou rukou: stredne tmavý tón pleti;ruka|stredne tmavý tón pleti|zdvihnutá|žena|žena so zdvihnutou rukou|žena so zdvihnutou rukou: stredne tmavý tón pleti
	🙋🏿‍♀️;žena so zdvihnutou rukou: tmavý tón pleti;ruka|tmavý tón pleti|zdvihnutá|žena|žena so zdvihnutou rukou|žena so zdvihnutou rukou: tmavý tón pleti
🧏;nepočujúci človek;hendikep|hluchota|nedoslýchavosť|nepočujúci človek|postihnutie|sluch|ucho
	🧏🏻;nepočujúci človek: svetlý tón pleti;hendikep|hluchota|nedoslýchavosť|nepočujúci človek|nepočujúci človek: svetlý tón pleti|postihnutie|sluch|svetlý tón pleti|ucho
	🧏🏼;nepočujúci človek: stredne svetlý tón pleti;hendikep|hluchota|nedoslýchavosť|nepočujúci človek|nepočujúci človek: stredne svetlý tón pleti|postihnutie|sluch|stredne svetlý tón pleti|ucho
	🧏🏽;nepočujúci človek: stredný tón pleti;hendikep|hluchota|nedoslýchavosť|nepočujúci človek|nepočujúci človek: stredný tón pleti|postihnutie|sluch|stredný tón pleti|ucho
	🧏🏾;nepočujúci človek: stredne tmavý tón pleti;hendikep|hluchota|nedoslýchavosť|nepočujúci človek|nepočujúci človek: stredne tmavý tón pleti|postihnutie|sluch|stredne tmavý tón pleti|ucho
	🧏🏿;nepočujúci človek: tmavý tón pleti;hendikep|hluchota|nedoslýchavosť|nepočujúci človek|nepočujúci človek: tmavý tón pleti|postihnutie|sluch|tmavý tón pleti|ucho
🧏‍♂️;nepočujúci muž;hluchota|hluchý|muž|nedoslýchavosť|nedoslýchavý|nepočujúci
	🧏🏻‍♂️;nepočujúci muž: svetlý tón pleti;hluchota|hluchý|muž|nedoslýchavosť|nedoslýchavý|nepočujúci|nepočujúci muž: svetlý tón pleti|svetlý tón pleti
	🧏🏼‍♂️;nepočujúci muž: stredne svetlý tón pleti;hluchota|hluchý|muž|nedoslýchavosť|nedoslýchavý|nepočujúci|nepočujúci muž: stredne svetlý tón pleti|stredne svetlý tón pleti
	🧏🏽‍♂️;nepočujúci muž: stredný tón pleti;hluchota|hluchý|muž|nedoslýchavosť|nedoslýchavý|nepočujúci|nepočujúci muž: stredný tón pleti|stredný tón pleti
	🧏🏾‍♂️;nepočujúci muž: stredne tmavý tón pleti;hluchota|hluchý|muž|nedoslýchavosť|nedoslýchavý|nepočujúci|nepočujúci muž: stredne tmavý tón pleti|stredne tmavý tón pleti
	🧏🏿‍♂️;nepočujúci muž: tmavý tón pleti;hluchota|hluchý|muž|nedoslýchavosť|nedoslýchavý|nepočujúci|nepočujúci muž: tmavý tón pleti|tmavý tón pleti
🧏‍♀️;nepočujúca žena;hluchá|hluchota|nedoslýchavá|nedoslýchavosť|nepočujúca|žena
	🧏🏻‍♀️;nepočujúca žena: svetlý tón pleti;hluchá|hluchota|nedoslýchavá|nedoslýchavosť|nepočujúca|nepočujúca žena: svetlý tón pleti|svetlý tón pleti|žena
	🧏🏼‍♀️;nepočujúca žena: stredne svetlý tón pleti;hluchá|hluchota|nedoslýchavá|nedoslýchavosť|nepočujúca|nepočujúca žena: stredne svetlý tón pleti|stredne svetlý tón pleti|žena
	🧏🏽‍♀️;nepočujúca žena: stredný tón pleti;hluchá|hluchota|nedoslýchavá|nedoslýchavosť|nepočujúca|nepočujúca žena: stredný tón pleti|stredný tón pleti|žena
	🧏🏾‍♀️;nepočujúca žena: stredne tmavý tón pleti;hluchá|hluchota|nedoslýchavá|nedoslýchavosť|nepočujúca|nepočujúca žena: stredne tmavý tón pleti|stredne tmavý tón pleti|žena
	🧏🏿‍♀️;nepočujúca žena: tmavý tón pleti;hluchá|hluchota|nedoslýchavá|nedoslýchavosť|nepočujúca|nepočujúca žena: tmavý tón pleti|tmavý tón pleti|žena
🙇;klaňajúci sa človek;človek|gesto|klaňajúci sa človek|ľutujem|poklona|prepáčte
	🙇🏻;klaňajúci sa človek: svetlý tón pleti;človek|gesto|klaňajúci sa človek|klaňajúci sa človek: svetlý tón pleti|ľutujem|poklona|prepáčte|svetlý tón pleti
	🙇🏼;klaňajúci sa človek: stredne svetlý tón pleti;človek|gesto|klaňajúci sa človek|klaňajúci sa človek: stredne svetlý tón pleti|ľutujem|poklona|prepáčte|stredne svetlý tón pleti
	🙇🏽;klaňajúci sa človek: stredný tón pleti;človek|gesto|klaňajúci sa človek|klaňajúci sa človek: stredný tón pleti|ľutujem|poklona|prepáčte|stredný tón pleti
	🙇🏾;klaňajúci sa človek: stredne tmavý tón pleti;človek|gesto|klaňajúci sa človek|klaňajúci sa človek: stredne tmavý tón pleti|ľutujem|poklona|prepáčte|stredne tmavý tón pleti
	🙇🏿;klaňajúci sa človek: tmavý tón pleti;človek|gesto|klaňajúci sa človek|klaňajúci sa človek: tmavý tón pleti|ľutujem|poklona|prepáčte|tmavý tón pleti
🙇‍♂️;klaňajúci sa muž;gesto|klaňajúci sa muž|ľutujem|muž|poklona|prepáčte
	🙇🏻‍♂️;klaňajúci sa muž: svetlý tón pleti;gesto|klaňajúci sa muž|klaňajúci sa muž: svetlý tón pleti|ľutujem|muž|poklona|prepáčte|svetlý tón pleti
	🙇🏼‍♂️;klaňajúci sa muž: stredne svetlý tón pleti;gesto|klaňajúci sa muž|klaňajúci sa muž: stredne svetlý tón pleti|ľutujem|muž|poklona|prepáčte|stredne svetlý tón pleti
	🙇🏽‍♂️;klaňajúci sa muž: stredný tón pleti;gesto|klaňajúci sa muž|klaňajúci sa muž: stredný tón pleti|ľutujem|muž|poklona|prepáčte|stredný tón pleti
	🙇🏾‍♂️;klaňajúci sa muž: stredne tmavý tón pleti;gesto|klaňajúci sa muž|klaňajúci sa muž: stredne tmavý tón pleti|ľutujem|muž|poklona|prepáčte|stredne tmavý tón pleti
	🙇🏿‍♂️;klaňajúci sa muž: tmavý tón pleti;gesto|klaňajúci sa muž|klaňajúci sa muž: tmavý tón pleti|ľutujem|muž|poklona|prepáčte|tmavý tón pleti
🙇‍♀️;klaňajúca sa žena;gesto|klaňajúca sa žena|ľutujem|poklona|prepáčte|žena
	🙇🏻‍♀️;klaňajúca sa žena: svetlý tón pleti;gesto|klaňajúca sa žena|klaňajúca sa žena: svetlý tón pleti|ľutujem|poklona|prepáčte|svetlý tón pleti|žena
	🙇🏼‍♀️;klaňajúca sa žena: stredne svetlý tón pleti;gesto|klaňajúca sa žena|klaňajúca sa žena: stredne svetlý tón pleti|ľutujem|poklona|prepáčte|stredne svetlý tón pleti|žena
	🙇🏽‍♀️;klaňajúca sa žena: stredný tón pleti;gesto|klaňajúca sa žena|klaňajúca sa žena: stredný tón pleti|ľutujem|poklona|prepáčte|stredný tón pleti|žena
	🙇🏾‍♀️;klaňajúca sa žena: stredne tmavý tón pleti;gesto|klaňajúca sa žena|klaňajúca sa žena: stredne tmavý tón pleti|ľutujem|poklona|prepáčte|stredne tmavý tón pleti|žena
	🙇🏿‍♀️;klaňajúca sa žena: tmavý tón pleti;gesto|klaňajúca sa žena|klaňajúca sa žena: tmavý tón pleti|ľutujem|poklona|prepáčte|tmavý tón pleti|žena
🤦;človek chytajúci sa za hlavu;človek|človek chytajúci sa za hlavu|dlaň|neviera|tvár|zúfalstvo
	🤦🏻;človek chytajúci sa za hlavu: svetlý tón pleti;človek|človek chytajúci sa za hlavu|človek chytajúci sa za hlavu: svetlý tón pleti|dlaň|neviera|svetlý tón pleti|tvár|zúfalstvo
	🤦🏼;človek chytajúci sa za hlavu: stredne svetlý tón pleti;človek|človek chytajúci sa za hlavu|človek chytajúci sa za hlavu: stredne svetlý tón pleti|dlaň|neviera|stredne svetlý tón pleti|tvár|zúfalstvo
	🤦🏽;človek chytajúci sa za hlavu: stredný tón pleti;človek|človek chytajúci sa za hlavu|človek chytajúci sa za hlavu: stredný tón pleti|dlaň|neviera|stredný tón pleti|tvár|zúfalstvo
	🤦🏾;človek chytajúci sa za hlavu: stredne tmavý tón pleti;človek|človek chytajúci sa za hlavu|človek chytajúci sa za hlavu: stredne tmavý tón pleti|dlaň|neviera|stredne tmavý tón pleti|tvár|zúfalstvo
	🤦🏿;človek chytajúci sa za hlavu: tmavý tón pleti;človek|človek chytajúci sa za hlavu|človek chytajúci sa za hlavu: tmavý tón pleti|dlaň|neviera|tmavý tón pleti|tvár|zúfalstvo
🤦‍♂️;muž chytajúci sa za hlavu;dlaň|muž|muž chytajúci sa za hlavu|neviera|tvár|zúfalstvo
	🤦🏻‍♂️;muž chytajúci sa za hlavu: svetlý tón pleti;dlaň|muž|muž chytajúci sa za hlavu|muž chytajúci sa za hlavu: svetlý tón pleti|neviera|svetlý tón pleti|tvár|zúfalstvo
	🤦🏼‍♂️;muž chytajúci sa za hlavu: stredne svetlý tón pleti;dlaň|muž|muž chytajúci sa za hlavu|muž chytajúci sa za hlavu: stredne svetlý tón pleti|neviera|stredne svetlý tón pleti|tvár|zúfalstvo
	🤦🏽‍♂️;muž chytajúci sa za hlavu: stredný tón pleti;dlaň|muž|muž chytajúci sa za hlavu|muž chytajúci sa za hlavu: stredný tón pleti|neviera|stredný tón pleti|tvár|zúfalstvo
	🤦🏾‍♂️;muž chytajúci sa za hlavu: stredne tmavý tón pleti;dlaň|muž|muž chytajúci sa za hlavu|muž chytajúci sa za hlavu: stredne tmavý tón pleti|neviera|stredne tmavý tón pleti|tvár|zúfalstvo
	🤦🏿‍♂️;muž chytajúci sa za hlavu: tmavý tón pleti;dlaň|muž|muž chytajúci sa za hlavu|muž chytajúci sa za hlavu: tmavý tón pleti|neviera|tmavý tón pleti|tvár|zúfalstvo
🤦‍♀️;žena chytajúca sa za hlavu;dlaň|neviera|tvár|žena|žena chytajúca sa za hlavu|zúfalstvo
	🤦🏻‍♀️;žena chytajúca sa za hlavu: svetlý tón pleti;dlaň|neviera|svetlý tón pleti|tvár|žena|žena chytajúca sa za hlavu|žena chytajúca sa za hlavu: svetlý tón pleti|zúfalstvo
	🤦🏼‍♀️;žena chytajúca sa za hlavu: stredne svetlý tón pleti;dlaň|neviera|stredne svetlý tón pleti|tvár|žena|žena chytajúca sa za hlavu|žena chytajúca sa za hlavu: stredne svetlý tón pleti|zúfalstvo
	🤦🏽‍♀️;žena chytajúca sa za hlavu: stredný tón pleti;dlaň|neviera|stredný tón pleti|tvár|žena|žena chytajúca sa za hlavu|žena chytajúca sa za hlavu: stredný tón pleti|zúfalstvo
	🤦🏾‍♀️;žena chytajúca sa za hlavu: stredne tmavý tón pleti;dlaň|neviera|stredne tmavý tón pleti|tvár|žena|žena chytajúca sa za hlavu|žena chytajúca sa za hlavu: stredne tmavý tón pleti|zúfalstvo
	🤦🏿‍♀️;žena chytajúca sa za hlavu: tmavý tón pleti;dlaň|neviera|tmavý tón pleti|tvár|žena|žena chytajúca sa za hlavu|žena chytajúca sa za hlavu: tmavý tón pleti|zúfalstvo
🤷;človek krčiaci plecami;človek|človek krčiaci plecami|nezáujem|plece|pochybnosť|pokrčenie
	🤷🏻;človek krčiaci plecami: svetlý tón pleti;človek|človek krčiaci plecami|človek krčiaci plecami: svetlý tón pleti|nezáujem|plece|pochybnosť|pokrčenie|svetlý tón pleti
	🤷🏼;človek krčiaci plecami: stredne svetlý tón pleti;človek|človek krčiaci plecami|človek krčiaci plecami: stredne svetlý tón pleti|nezáujem|plece|pochybnosť|pokrčenie|stredne svetlý tón pleti
	🤷🏽;človek krčiaci plecami: stredný tón pleti;človek|človek krčiaci plecami|človek krčiaci plecami: stredný tón pleti|nezáujem|plece|pochybnosť|pokrčenie|stredný tón pleti
	🤷🏾;človek krčiaci plecami: stredne tmavý tón pleti;človek|človek krčiaci plecami|človek krčiaci plecami: stredne tmavý tón pleti|nezáujem|plece|pochybnosť|pokrčenie|stredne tmavý tón pleti
	🤷🏿;človek krčiaci plecami: tmavý tón pleti;človek|človek krčiaci plecami|človek krčiaci plecami: tmavý tón pleti|nezáujem|plece|pochybnosť|pokrčenie|tmavý tón pleti
🤷‍♂️;muž krčiaci plecami;muž|muž krčiaci plecami|nezáujem|plece|pochybnosť|pokrčenie
	🤷🏻‍♂️;muž krčiaci plecami: svetlý tón pleti;muž|muž krčiaci plecami|muž krčiaci plecami: svetlý tón pleti|nezáujem|plece|pochybnosť|pokrčenie|svetlý tón pleti
	🤷🏼‍♂️;muž krčiaci plecami: stredne svetlý tón pleti;muž|muž krčiaci plecami|muž krčiaci plecami: stredne svetlý tón pleti|nezáujem|plece|pochybnosť|pokrčenie|stredne svetlý tón pleti
	🤷🏽‍♂️;muž krčiaci plecami: stredný tón pleti;muž|muž krčiaci plecami|muž krčiaci plecami: stredný tón pleti|nezáujem|plece|pochybnosť|pokrčenie|stredný tón pleti
	🤷🏾‍♂️;muž krčiaci plecami: stredne tmavý tón pleti;muž|muž krčiaci plecami|muž krčiaci plecami: stredne tmavý tón pleti|nezáujem|plece|pochybnosť|pokrčenie|stredne tmavý tón pleti
	🤷🏿‍♂️;muž krčiaci plecami: tmavý tón pleti;muž|muž krčiaci plecami|muž krčiaci plecami: tmavý tón pleti|nezáujem|plece|pochybnosť|pokrčenie|tmavý tón pleti
🤷‍♀️;žena krčiaca plecami;nezáujem|plece|pochybnosť|pokrčenie|žena|žena krčiaca plecami
	🤷🏻‍♀️;žena krčiaca plecami: svetlý tón pleti;nezáujem|plece|pochybnosť|pokrčenie|svetlý tón pleti|žena|žena krčiaca plecami|žena krčiaca plecami: svetlý tón pleti
	🤷🏼‍♀️;žena krčiaca plecami: stredne svetlý tón pleti;nezáujem|plece|pochybnosť|pokrčenie|stredne svetlý tón pleti|žena|žena krčiaca plecami|žena krčiaca plecami: stredne svetlý tón pleti
	🤷🏽‍♀️;žena krčiaca plecami: stredný tón pleti;nezáujem|plece|pochybnosť|pokrčenie|stredný tón pleti|žena|žena krčiaca plecami|žena krčiaca plecami: stredný tón pleti
	🤷🏾‍♀️;žena krčiaca plecami: stredne tmavý tón pleti;nezáujem|plece|pochybnosť|pokrčenie|stredne tmavý tón pleti|žena|žena krčiaca plecami|žena krčiaca plecami: stredne tmavý tón pleti
	🤷🏿‍♀️;žena krčiaca plecami: tmavý tón pleti;nezáujem|plece|pochybnosť|pokrčenie|tmavý tón pleti|žena|žena krčiaca plecami|žena krčiaca plecami: tmavý tón pleti
🧑‍⚕️;zdravotník;doktor|lekár|medik|nemocnica|zdravotník
	🧑🏻‍⚕️;zdravotník: svetlý tón pleti;doktor|lekár|medik|nemocnica|svetlý tón pleti|zdravotník|zdravotník: svetlý tón pleti
	🧑🏼‍⚕️;zdravotník: stredne svetlý tón pleti;doktor|lekár|medik|nemocnica|stredne svetlý tón pleti|zdravotník|zdravotník: stredne svetlý tón pleti
	🧑🏽‍⚕️;zdravotník: stredný tón pleti;doktor|lekár|medik|nemocnica|stredný tón pleti|zdravotník|zdravotník: stredný tón pleti
	🧑🏾‍⚕️;zdravotník: stredne tmavý tón pleti;doktor|lekár|medik|nemocnica|stredne tmavý tón pleti|zdravotník|zdravotník: stredne tmavý tón pleti
	🧑🏿‍⚕️;zdravotník: tmavý tón pleti;doktor|lekár|medik|nemocnica|tmavý tón pleti|zdravotník|zdravotník: tmavý tón pleti
👨‍⚕️;zdravotník muž;doktor|lekár|muž|nemocnica|zdravotník
	👨🏻‍⚕️;zdravotník muž: svetlý tón pleti;doktor|lekár|muž|nemocnica|svetlý tón pleti|zdravotník|zdravotník muž: svetlý tón pleti
	👨🏼‍⚕️;zdravotník muž: stredne svetlý tón pleti;doktor|lekár|muž|nemocnica|stredne svetlý tón pleti|zdravotník|zdravotník muž: stredne svetlý tón pleti
	👨🏽‍⚕️;zdravotník muž: stredný tón pleti;doktor|lekár|muž|nemocnica|stredný tón pleti|zdravotník|zdravotník muž: stredný tón pleti
	👨🏾‍⚕️;zdravotník muž: stredne tmavý tón pleti;doktor|lekár|muž|nemocnica|stredne tmavý tón pleti|zdravotník|zdravotník muž: stredne tmavý tón pleti
	👨🏿‍⚕️;zdravotník muž: tmavý tón pleti;doktor|lekár|muž|nemocnica|tmavý tón pleti|zdravotník|zdravotník muž: tmavý tón pleti
