# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;दाँत दिखाता चेहरा;खीस|चेहरा|दाँत दिखाता चेहरा
	👨🏽‍🚀;पुरुष अंतरिक्ष यात्री: गेहुँआ त्वचा;अंतरिक्ष|अंतरिक्ष यात्री|आदमी|गेहुँआ त्वचा|पुरुष|पुरुष अंतरिक्ष यात्री|पुरुष अंतरिक्ष यात्री: गेहुँआ त्वचा|रॉकेट
	👨🏾‍🚀;पुरुष अंतरिक्ष यात्री: हल्की साँवली त्वचा;अंतरिक्ष|अंतरिक्ष यात्री|आदमी|पुरुष|पुरुष अंतरिक्ष यात्री|पुरुष अंतरिक्ष यात्री: हल्की साँवली त्वचा|रॉकेट|हल्की साँवली त्वचा
	👨🏿‍🚀;पुरुष अंतरिक्ष यात्री: साँवली त्वचा;अंतरिक्ष|अंतरिक्ष यात्री|आदमी|पुरुष|पुरुष अंतरिक्ष यात्री|पुरुष अंतरिक्ष यात्री: साँवली त्वचा|रॉकेट|साँवली त्वचा
👩‍🚀;महिला अंतरिक्ष यात्री;अंतरिक्ष यात्री|महिला|महिला अंतरिक्ष यात्री|रॉकेट|स्पेस
	👩🏻‍🚀;महिला अंतरिक्ष यात्री: गोरी त्वचा;अंतरिक्ष यात्री|गोरी त्वचा|महिला|महिला अंतरिक्ष यात्री|महिला अंतरिक्ष यात्री: गोरी त्वचा|रॉकेट|स्पेस
	👩🏼‍🚀;महिला अंतरिक्ष यात्री: हल्की गोरी त्वचा;अंतरिक्ष यात्री|महिला|महिला अंतरिक्ष यात्री|महिला अंतरिक्ष यात्री: हल्की गोरी त्वचा|रॉकेट|स्पेस|हल्की गोरी त्वचा
	👩🏽‍🚀;महिला अंतरिक्ष यात्री: गेहुँआ त्वचा;अंतरिक्ष यात्री|गेहुँआ त्वचा|महिला|महिला अंतरिक्ष यात्री|महिला अंतरिक्ष यात्री: गेहुँआ त्वचा|रॉकेट|स्पेस
	👩🏾‍🚀;महिला अंतरिक्ष यात्री: हल्की साँवली त्वचा;अंतरिक्ष यात्री|महिला|महिला अंतरिक्ष यात्री|महिला अंतरिक्ष यात्री: हल्की साँवली त्वचा|रॉकेट|स्पेस|हल्की साँवली त्वचा
	👩🏿‍🚀;महिला अंतरिक्ष यात्री: साँवली त्वचा;अंतरिक्ष यात्री|महिला|महिला अंतरिक्ष यात्री|महिला अंतरिक्ष यात्री: साँवली त्वचा|रॉकेट|साँवली त्वचा|स्पेस
🧑‍🚒;अग्निशमक;अग्निशमक|फ़ायरट्रक
	🧑🏻‍🚒;अग्निशमक: गोरी त्वचा;अग्निशमक|अग्निशमक: गोरी त्वचा|गोरी त्वचा|फ़ायरट्रक
	🧑🏼‍🚒;अग्निशमक: हल्की गोरी त्वचा;अग्निशमक|अग्निशमक: हल्की गोरी त्वचा|फ़ायरट्रक|हल्की गोरी त्वचा
	🧑🏽‍🚒;अग्निशमक: गेहुँआ त्वचा;अग्निशमक|अग्निशमक: गेहुँआ त्वचा|गेहुँआ त्वचा|फ़ायरट्रक
