# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;laia naeratusega nägu;irve|laia naeratusega nägu|naeratus|nägu
	👩🏽‍⚖️;naiskohtunik: keskmine nahatoon;keskmine nahatoon|kohus|naine|naiskohtunik|naiskohtunik: keskmine nahatoon|õigusemõistmine
	👩🏾‍⚖️;naiskohtunik: keskmiselt tume nahatoon;keskmiselt tume nahatoon|kohus|naine|naiskohtunik|naiskohtunik: keskmiselt tume nahatoon|õigusemõistmine
	👩🏿‍⚖️;naiskohtunik: tume nahatoon;kohus|naine|naiskohtunik|naiskohtunik: tume nahatoon|õigusemõistmine|tume nahatoon
🧑‍🌾;talunik;aednik|farmer|talunik
	🧑🏻‍🌾;talunik: hele nahatoon;aednik|farmer|hele nahatoon|talunik|talunik: hele nahatoon
	🧑🏼‍🌾;talunik: keskmiselt hele nahatoon;aednik|farmer|keskmiselt hele nahatoon|talunik|talunik: keskmiselt hele nahatoon
	🧑🏽‍🌾;talunik: keskmine nahatoon;aednik|farmer|keskmine nahatoon|talunik|talunik: keskmine nahatoon
	🧑🏾‍🌾;talunik: keskmiselt tume nahatoon;aednik|farmer|keskmiselt tume nahatoon|talunik|talunik: keskmiselt tume nahatoon
	🧑🏿‍🌾;talunik: tume nahatoon;aednik|farmer|talunik|talunik: tume nahatoon|tume nahatoon
👨‍🌾;meesfarmer;aednik|farmer|mees|meesfarmer|põllumees
	👨🏻‍🌾;meesfarmer: hele nahatoon;aednik|farmer|hele nahatoon|mees|meesfarmer|meesfarmer: hele nahatoon|põllumees
	👨🏼‍🌾;meesfarmer: keskmiselt hele nahatoon;aednik|farmer|keskmiselt hele nahatoon|mees|meesfarmer|meesfarmer: keskmiselt hele nahatoon|põllumees
	👨🏽‍🌾;meesfarmer: keskmine nahatoon;aednik|farmer|keskmine nahatoon|mees|meesfarmer|meesfarmer: keskmine nahatoon|põllumees
	👨🏾‍🌾;meesfarmer: keskmiselt tume nahatoon;aednik|farmer|keskmiselt tume nahatoon|mees|meesfarmer|meesfarmer: keskmiselt tume nahatoon|põllumees
	👨🏿‍🌾;meesfarmer: tume nahatoon;aednik|farmer|mees|meesfarmer|meesfarmer: tume nahatoon|põllumees|tume nahatoon
👩‍🌾;naisfarmer;aednik|farmer|naine|naisfarmer
	👩🏻‍🌾;naisfarmer: hele nahatoon;aednik|farmer|hele nahatoon|naine|naisfarmer|naisfarmer: hele nahatoon
	👩🏼‍🌾;naisfarmer: keskmiselt hele nahatoon;aednik|farmer|keskmiselt hele nahatoon|naine|naisfarmer|naisfarmer: keskmiselt hele nahatoon
	👩🏽‍🌾;naisfarmer: keskmine nahatoon;aednik|farmer|keskmine nahatoon|naine|naisfarmer|naisfarmer: keskmine nahatoon
	👩🏾‍🌾;naisfarmer: keskmiselt tume nahatoon;aednik|farmer|keskmiselt tume nahatoon|naine|naisfarmer|naisfarmer: keskmiselt tume nahatoon
	👩🏿‍🌾;naisfarmer: tume nahatoon;aednik|farmer|naine|naisfarmer|naisfarmer: tume nahatoon|tume nahatoon
🧑‍🍳;kokk;kokk|peakokk
	🧑🏻‍🍳;kokk: hele nahatoon;hele nahatoon|kokk|kokk: hele nahatoon|peakokk
	🧑🏼‍🍳;kokk: keskmiselt hele nahatoon;keskmiselt hele nahatoon|kokk|kokk: keskmiselt hele nahatoon|peakokk
	🧑🏽‍🍳;kokk: keskmine nahatoon;keskmine nahatoon|kokk|kokk: keskmine nahatoon|peakokk
	🧑🏾‍🍳;kokk: keskmiselt tume nahatoon;keskmiselt tume nahatoon|kokk|kokk: keskmiselt tume nahatoon|peakokk
	🧑🏿‍🍳;kokk: tume nahatoon;kokk|kokk: tume nahatoon|peakokk|tume nahatoon
👨‍🍳;meeskokk;kokk|mees|meeskokk
	👨🏻‍🍳;meeskokk: hele nahatoon;hele nahatoon|kokk|mees|meeskokk|meeskokk: hele nahatoon
	👨🏼‍🍳;meeskokk: keskmiselt hele nahatoon;keskmiselt hele nahatoon|kokk|mees|meeskokk|meeskokk: keskmiselt hele nahatoon
	👨🏽‍🍳;meeskokk: keskmine nahatoon;keskmine nahatoon|kokk|mees|meeskokk|meeskokk: keskmine nahatoon
	👨🏾‍🍳;meeskokk: keskmiselt tume nahatoon;keskmiselt tume nahatoon|kokk|mees|meeskokk|meeskokk: keskmiselt tume nahatoon
	👨🏿‍🍳;meeskokk: tume nahatoon;kokk|mees|meeskokk|meeskokk: tume nahatoon|tume nahatoon
👩‍🍳;naiskokk;kokk|naine|naiskokk
	👩🏻‍🍳;naiskokk: hele nahatoon;hele nahatoon|kokk|naine|naiskokk|naiskokk: hele nahatoon
	👩🏼‍🍳;naiskokk: keskmiselt hele nahatoon;keskmiselt hele nahatoon|kokk|naine|naiskokk|naiskokk: keskmiselt hele nahatoon
	👩🏽‍🍳;naiskokk: keskmine nahatoon;keskmine nahatoon|kokk|naine|naiskokk|naiskokk: keskmine nahatoon
	👩🏾‍🍳;naiskokk: keskmiselt tume nahatoon;keskmiselt tume nahatoon|kokk|naine|naiskokk|naiskokk: keskmiselt tume nahatoon
	👩🏿‍🍳;naiskokk: tume nahatoon;kokk|naine|naiskokk|naiskokk: tume nahatoon|tume nahatoon
🧑‍🔧;mehaanik;elektrik|mehaanik|torulukksepp|torumees
	🧑🏻‍🔧;mehaanik: hele nahatoon;elektrik|hele nahatoon|mehaanik|mehaanik: hele nahatoon|torulukksepp|torumees
	🧑🏼‍🔧;mehaanik: keskmiselt hele nahatoon;elektrik|keskmiselt hele nahatoon|mehaanik|mehaanik: keskmiselt hele nahatoon|torulukksepp|torumees
	🧑🏽‍🔧;mehaanik: keskmine nahatoon;elektrik|keskmine nahatoon|mehaanik|mehaanik: keskmine nahatoon|torulukksepp|torumees
	🧑🏾‍🔧;mehaanik: keskmiselt tume nahatoon;elektrik|keskmiselt tume nahatoon|mehaanik|mehaanik: keskmiselt tume nahatoon|torulukksepp|torumees
	🧑🏿‍🔧;mehaanik: tume nahatoon;elektrik|mehaanik|mehaanik: tume nahatoon|torulukksepp|torumees|tume nahatoon
👨‍🔧;meesmehaanik;elektrik|mees|meesmehaanik|mehaanik|torulukksepp|torumees
	👨🏻‍🔧;meesmehaanik: hele nahatoon;elektrik|hele nahatoon|mees|meesmehaanik|meesmehaanik: hele nahatoon|mehaanik|torulukksepp|torumees
	👨🏼‍🔧;meesmehaanik: keskmiselt hele nahatoon;elektrik|keskmiselt hele nahatoon|mees|meesmehaanik|meesmehaanik: keskmiselt hele nahatoon|mehaanik|torulukksepp|torumees
	👨🏽‍🔧;meesmehaanik: keskmine nahatoon;elektrik|keskmine nahatoon|mees|meesmehaanik|meesmehaanik: keskmine nahatoon|mehaanik|torulukksepp|torumees
	👨🏾‍🔧;meesmehaanik: keskmiselt tume nahatoon;elektrik|keskmiselt tume nahatoon|mees|meesmehaanik|meesmehaanik: keskmiselt tume nahatoon|mehaanik|torulukksepp|torumees
	👨🏿‍🔧;meesmehaanik: tume nahatoon;elektrik|mees|meesmehaanik|meesmehaanik: tume nahatoon|mehaanik|torulukksepp|torumees|tume nahatoon
👩‍🔧;naismehaanik;elektrik|mehaanik|naine|naismehaanik|torulukksepp
	👩🏻‍🔧;naismehaanik: hele nahatoon;elektrik|hele nahatoon|mehaanik|naine|naismehaanik|naismehaanik: hele nahatoon|torulukksepp
	👩🏼‍🔧;naismehaanik: keskmiselt hele nahatoon;elektrik|keskmiselt hele nahatoon|mehaanik|naine|naismehaanik|naismehaanik: keskmiselt hele nahatoon|torulukksepp
	👩🏽‍🔧;naismehaanik: keskmine nahatoon;elektrik|keskmine nahatoon|mehaanik|naine|naismehaanik|naismehaanik: keskmine nahatoon|torulukksepp
	👩🏾‍🔧;naismehaanik: keskmiselt tume nahatoon;elektrik|keskmiselt tume nahatoon|mehaanik|naine|naismehaanik|naismehaanik: keskmiselt tume nahatoon|torulukksepp
	👩🏿‍🔧;naismehaanik: tume nahatoon;elektrik|mehaanik|naine|naismehaanik|naismehaanik: tume nahatoon|torulukksepp|tume nahatoon
🧑‍🏭;tehasetööline;liinitööline|tehas|tehasetööline|tööline
	🧑🏻‍🏭;tehasetööline: hele nahatoon;hele nahatoon|liinitööline|tehas|tehasetööline|tehasetööline: hele nahatoon|tööline
	🧑🏼‍🏭;tehasetööline: keskmiselt hele nahatoon;keskmiselt hele nahatoon|liinitööline|tehas|tehasetööline|tehasetööline: keskmiselt hele nahatoon|tööline
	🧑🏽‍🏭;tehasetööline: keskmine nahatoon;keskmine nahatoon|liinitööline|tehas|tehasetööline|tehasetööline: keskmine nahatoon|tööline
	🧑🏾‍🏭;tehasetööline: keskmiselt tume nahatoon;keskmiselt tume nahatoon|liinitööline|tehas|tehasetööline|tehasetööline: keskmiselt tume nahatoon|tööline
	🧑🏿‍🏭;tehasetööline: tume nahatoon;liinitööline|tehas|tehasetööline|tehasetööline: tume nahatoon|tööline|tume nahatoon
👨‍🏭;meessoost tehasetööline;liinitööline|mees|meessoost tehasetööline|tehas|tööline
	👨🏻‍🏭;meessoost tehasetööline: hele nahatoon;hele nahatoon|liinitööline|mees|meessoost tehasetööline|meessoost tehasetööline: hele nahatoon|tehas|tööline
	👨🏼‍🏭;meessoost tehasetööline: keskmiselt hele nahatoon;keskmiselt hele nahatoon|liinitööline|mees|meessoost tehasetööline|meessoost tehasetööline: keskmiselt hele nahatoon|tehas|tööline
	👨🏽‍🏭;meessoost tehasetööline: keskmine nahatoon;keskmine nahatoon|liinitööline|mees|meessoost tehasetööline|meessoost tehasetööline: keskmine nahatoon|tehas|tööline
	👨🏾‍🏭;meessoost tehasetööline: keskmiselt tume nahatoon;keskmiselt tume nahatoon|liinitööline|mees|meessoost tehasetööline|meessoost tehasetööline: keskmiselt tume nahatoon|tehas|tööline
	👨🏿‍🏭;meessoost tehasetööline: tume nahatoon;liinitööline|mees|meessoost tehasetööline|meessoost tehasetööline: tume nahatoon|tehas|tööline|tume nahatoon
👩‍🏭;naissoost tehasetööline;liinitööline|naine|naissoost tehasetööline|tehas|tööline
	👩🏻‍🏭;naissoost tehasetööline: hele nahatoon;hele nahatoon|liinitööline|naine|naissoost tehasetööline|naissoost tehasetööline: hele nahatoon|tehas|tööline
	👩🏼‍🏭;naissoost tehasetööline: keskmiselt hele nahatoon;keskmiselt hele nahatoon|liinitööline|naine|naissoost tehasetööline|naissoost tehasetööline: keskmiselt hele nahatoon|tehas|tööline
	👩🏽‍🏭;naissoost tehasetööline: keskmine nahatoon;keskmine nahatoon|liinitööline|naine|naissoost tehasetööline|naissoost tehasetööline: keskmine nahatoon|tehas|tööline
	👩🏾‍🏭;naissoost tehasetööline: keskmiselt tume nahatoon;keskmiselt tume nahatoon|liinitööline|naine|naissoost tehasetööline|naissoost tehasetööline: keskmiselt tume nahatoon|tehas|tööline
	👩🏿‍🏭;naissoost tehasetööline: tume nahatoon;liinitööline|naine|naissoost tehasetööline|naissoost tehasetööline: tume nahatoon|tehas|tööline|tume nahatoon
🧑‍💼;kontoritöötaja;ametnik|arhitekt|ärimees|juhataja|kontoritöötaja|valgekrae
	🧑🏻‍💼;kontoritöötaja: hele nahatoon;ametnik|arhitekt|ärimees|hele nahatoon|juhataja|kontoritöötaja|kontoritöötaja: hele nahatoon|valgekrae
	🧑🏼‍💼;kontoritöötaja: keskmiselt hele nahatoon;ametnik|arhitekt|ärimees|juhataja|keskmiselt hele nahatoon|kontoritöötaja|kontoritöötaja: keskmiselt hele nahatoon|valgekrae
	🧑🏽‍💼;kontoritöötaja: keskmine nahatoon;ametnik|arhitekt|ärimees|juhataja|keskmine nahatoon|kontoritöötaja|kontoritöötaja: keskmine nahatoon|valgekrae
	🧑🏾‍💼;kontoritöötaja: keskmiselt tume nahatoon;ametnik|arhitekt|ärimees|juhataja|keskmiselt tume nahatoon|kontoritöötaja|kontoritöötaja: keskmiselt tume nahatoon|valgekrae
	🧑🏿‍💼;kontoritöötaja: tume nahatoon;ametnik|arhitekt|ärimees|juhataja|kontoritöötaja|kontoritöötaja: tume nahatoon|tume nahatoon|valgekrae
👨‍💼;meeskontoritöötaja;arhitekt|ärimees|juhataja|meeskontoritöötaja|valgekrae
	👨🏻‍💼;meeskontoritöötaja: hele nahatoon;arhitekt|ärimees|hele nahatoon|juhataja|meeskontoritöötaja|meeskontoritöötaja: hele nahatoon|valgekrae
	👨🏼‍💼;meeskontoritöötaja: keskmiselt hele nahatoon;arhitekt|ärimees|juhataja|keskmiselt hele nahatoon|meeskontoritöötaja|meeskontoritöötaja: keskmiselt hele nahatoon|valgekrae
	👨🏽‍💼;meeskontoritöötaja: keskmine nahatoon;arhitekt|ärimees|juhataja|keskmine nahatoon|meeskontoritöötaja|meeskontoritöötaja: keskmine nahatoon|valgekrae
	👨🏾‍💼;meeskontoritöötaja: keskmiselt tume nahatoon;arhitekt|ärimees|juhataja|keskmiselt tume nahatoon|meeskontoritöötaja|meeskontoritöötaja: keskmiselt tume nahatoon|valgekrae
	👨🏿‍💼;meeskontoritöötaja: tume nahatoon;arhitekt|ärimees|juhataja|meeskontoritöötaja|meeskontoritöötaja: tume nahatoon|tume nahatoon|valgekrae
👩‍💼;naiskontoritöötaja;arhitekt|ärinaine|juhataja|naiskontoritöötaja|valgekrae
	👩🏻‍💼;naiskontoritöötaja: hele nahatoon;arhitekt|ärinaine|hele nahatoon|juhataja|naiskontoritöötaja|naiskontoritöötaja: hele nahatoon|valgekrae
	👩🏼‍💼;naiskontoritöötaja: keskmiselt hele nahatoon;arhitekt|ärinaine|juhataja|keskmiselt hele nahatoon|naiskontoritöötaja|naiskontoritöötaja: keskmiselt hele nahatoon|valgekrae
	👩🏽‍💼;naiskontoritöötaja: keskmine nahatoon;arhitekt|ärinaine|juhataja|keskmine nahatoon|naiskontoritöötaja|naiskontoritöötaja: keskmine nahatoon|valgekrae
	👩🏾‍💼;naiskontoritöötaja: keskmiselt tume nahatoon;arhitekt|ärinaine|juhataja|keskmiselt tume nahatoon|naiskontoritöötaja|naiskontoritöötaja: keskmiselt tume nahatoon|valgekrae
	👩🏿‍💼;naiskontoritöötaja: tume nahatoon;arhitekt|ärinaine|juhataja|naiskontoritöötaja|naiskontoritöötaja: tume nahatoon|tume nahatoon|valgekrae
🧑‍🔬;teadlane;bioloog|füüsik|insener|keemik|teadlane
	🧑🏻‍🔬;teadlane: hele nahatoon;bioloog|füüsik|hele nahatoon|insener|keemik|teadlane|teadlane: hele nahatoon
	🧑🏼‍🔬;teadlane: keskmiselt hele nahatoon;bioloog|füüsik|insener|keemik|keskmiselt hele nahatoon|teadlane|teadlane: keskmiselt hele nahatoon
	🧑🏽‍🔬;teadlane: keskmine nahatoon;bioloog|füüsik|insener|keemik|keskmine nahatoon|teadlane|teadlane: keskmine nahatoon
	🧑🏾‍🔬;teadlane: keskmiselt tume nahatoon;bioloog|füüsik|insener|keemik|keskmiselt tume nahatoon|teadlane|teadlane: keskmiselt tume nahatoon
	🧑🏿‍🔬;teadlane: tume nahatoon;bioloog|füüsik|insener|keemik|teadlane|teadlane: tume nahatoon|tume nahatoon
👨‍🔬;meesteadlane;bioloog|füüsik|insener|keemik|meesteadlane
	👨🏻‍🔬;meesteadlane: hele nahatoon;bioloog|füüsik|hele nahatoon|insener|keemik|meesteadlane|meesteadlane: hele nahatoon
	👨🏼‍🔬;meesteadlane: keskmiselt hele nahatoon;bioloog|füüsik|insener|keemik|keskmiselt hele nahatoon|meesteadlane|meesteadlane: keskmiselt hele nahatoon
	👨🏽‍🔬;meesteadlane: keskmine nahatoon;bioloog|füüsik|insener|keemik|keskmine nahatoon|meesteadlane|meesteadlane: keskmine nahatoon
	👨🏾‍🔬;meesteadlane: keskmiselt tume nahatoon;bioloog|füüsik|insener|keemik|keskmiselt tume nahatoon|meesteadlane|meesteadlane: keskmiselt tume nahatoon
	👨🏿‍🔬;meesteadlane: tume nahatoon;bioloog|füüsik|insener|keemik|meesteadlane|meesteadlane: tume nahatoon|tume nahatoon
👩‍🔬;naisteadlane;bioloog|füüsik|insener|keemik|naisteadlane
	👩🏻‍🔬;naisteadlane: hele nahatoon;bioloog|füüsik|hele nahatoon|insener|keemik|naisteadlane|naisteadlane: hele nahatoon
	👩🏼‍🔬;naisteadlane: keskmiselt hele nahatoon;bioloog|füüsik|insener|keemik|keskmiselt hele nahatoon|naisteadlane|naisteadlane: keskmiselt hele nahatoon
	👩🏽‍🔬;naisteadlane: keskmine nahatoon;bioloog|füüsik|insener|keemik|keskmine nahatoon|naisteadlane|naisteadlane: keskmine nahatoon
	👩🏾‍🔬;naisteadlane: keskmiselt tume nahatoon;bioloog|füüsik|insener|keemik|keskmiselt tume nahatoon|naisteadlane|naisteadlane: keskmiselt tume nahatoon
	👩🏿‍🔬;naisteadlane: tume nahatoon;bioloog|füüsik|insener|keemik|naisteadlane|naisteadlane: tume nahatoon|tume nahatoon
🧑‍💻;programmeerija;arendaja|programmeerija|tarkvara|tehnoloog
	🧑🏻‍💻;programmeerija: hele nahatoon;arendaja|hele nahatoon|programmeerija|programmeerija: hele nahatoon|tarkvara|tehnoloog
	🧑🏼‍💻;programmeerija: keskmiselt hele nahatoon;arendaja|keskmiselt hele nahatoon|programmeerija|programmeerija: keskmiselt hele nahatoon|tarkvara|tehnoloog
	🧑🏽‍💻;programmeerija: keskmine nahatoon;arendaja|keskmine nahatoon|programmeerija|programmeerija: keskmine nahatoon|tarkvara|tehnoloog
	🧑🏾‍💻;programmeerija: keskmiselt tume nahatoon;arendaja|keskmiselt tume nahatoon|programmeerija|programmeerija: keskmiselt tume nahatoon|tarkvara|tehnoloog
	🧑🏿‍💻;programmeerija: tume nahatoon;arendaja|programmeerija|programmeerija: tume nahatoon|tarkvara|tehnoloog|tume nahatoon
👨‍💻;meesprogrammeerija;arendaja|mees|meesprogrammeerija|programmeerija|tarkvara|tehnoloog
	👨🏻‍💻;meesprogrammeerija: hele nahatoon;arendaja|hele nahatoon|mees|meesprogrammeerija|meesprogrammeerija: hele nahatoon|programmeerija|tarkvara|tehnoloog
	👨🏼‍💻;meesprogrammeerija: keskmiselt hele nahatoon;arendaja|keskmiselt hele nahatoon|mees|meesprogrammeerija|meesprogrammeerija: keskmiselt hele nahatoon|programmeerija|tarkvara|tehnoloog
	👨🏽‍💻;meesprogrammeerija: keskmine nahatoon;arendaja|keskmine nahatoon|mees|meesprogrammeerija|meesprogrammeerija: keskmine nahatoon|programmeerija|tarkvara|tehnoloog
	👨🏾‍💻;meesprogrammeerija: keskmiselt tume nahatoon;arendaja|keskmiselt tume nahatoon|mees|meesprogrammeerija|meesprogrammeerija: keskmiselt tume nahatoon|programmeerija|tarkvara|tehnoloog
	👨🏿‍💻;meesprogrammeerija: tume nahatoon;arendaja|mees|meesprogrammeerija|meesprogrammeerija: tume nahatoon|programmeerija|tarkvara|tehnoloog|tume nahatoon
👩‍💻;naisprogrammeerija;arendaja|naine|naisprogrammeerija|programmeerija|tarkvara|tehnoloog
	👩🏻‍💻;naisprogrammeerija: hele nahatoon;arendaja|hele nahatoon|naine|naisprogrammeerija|naisprogrammeerija: hele nahatoon|programmeerija|tarkvara|tehnoloog
	👩🏼‍💻;naisprogrammeerija: keskmiselt hele nahatoon;arendaja|keskmiselt hele nahatoon|naine|naisprogrammeerija|naisprogrammeerija: keskmiselt hele nahatoon|programmeerija|tarkvara|tehnoloog
	👩🏽‍💻;naisprogrammeerija: keskmine nahatoon;arendaja|keskmine nahatoon|naine|naisprogrammeerija|naisprogrammeerija: keskmine nahatoon|programmeerija|tarkvara|tehnoloog
	👩🏾‍💻;naisprogrammeerija: keskmiselt tume nahatoon;arendaja|keskmiselt tume nahatoon|naine|naisprogrammeerija|naisprogrammeerija: keskmiselt tume nahatoon|programmeerija|tarkvara|tehnoloog
	👩🏿‍💻;naisprogrammeerija: tume nahatoon;arendaja|naine|naisprogrammeerija|naisprogrammeerija: tume nahatoon|programmeerija|tarkvara|tehnoloog|tume nahatoon
🧑‍🎤;laulja;artist|laulja|meelelahutaja|staar
	🧑🏻‍🎤;laulja: hele nahatoon;artist|hele nahatoon|laulja|laulja: hele nahatoon|meelelahutaja|staar
	🧑🏼‍🎤;laulja: keskmiselt hele nahatoon;artist|keskmiselt hele nahatoon|laulja|laulja: keskmiselt hele nahatoon|meelelahutaja|staar
	🧑🏽‍🎤;laulja: keskmine nahatoon;artist|keskmine nahatoon|laulja|laulja: keskmine nahatoon|meelelahutaja|staar
	🧑🏾‍🎤;laulja: keskmiselt tume nahatoon;artist|keskmiselt tume nahatoon|laulja|laulja: keskmiselt tume nahatoon|meelelahutaja|staar
	🧑🏿‍🎤;laulja: tume nahatoon;artist|laulja|laulja: tume nahatoon|meelelahutaja|staar|tume nahatoon
👨‍🎤;meeslaulja;artist|laulja|mees|meeslaulja|staar
	👨🏻‍🎤;meeslaulja: hele nahatoon;artist|hele nahatoon|laulja|mees|meeslaulja|meeslaulja: hele nahatoon|staar
	👨🏼‍🎤;meeslaulja: keskmiselt hele nahatoon;artist|keskmiselt hele nahatoon|laulja|mees|meeslaulja|meeslaulja: keskmiselt hele nahatoon|staar
	👨🏽‍🎤;meeslaulja: keskmine nahatoon;artist|keskmine nahatoon|laulja|mees|meeslaulja|meeslaulja: keskmine nahatoon|staar
	👨🏾‍🎤;meeslaulja: keskmiselt tume nahatoon;artist|keskmiselt tume nahatoon|laulja|mees|meeslaulja|meeslaulja: keskmiselt tume nahatoon|staar
	👨🏿‍🎤;meeslaulja: tume nahatoon;artist|laulja|mees|meeslaulja|meeslaulja: tume nahatoon|staar|tume nahatoon
👩‍🎤;naislaulja;artist|laulja|naine|naislaulja|staar
	👩🏻‍🎤;naislaulja: hele nahatoon;artist|hele nahatoon|laulja|naine|naislaulja|naislaulja: hele nahatoon|staar
	👩🏼‍🎤;naislaulja: keskmiselt hele nahatoon;artist|keskmiselt hele nahatoon|laulja|naine|naislaulja|naislaulja: keskmiselt hele nahatoon|staar
	👩🏽‍🎤;naislaulja: keskmine nahatoon;artist|keskmine nahatoon|laulja|naine|naislaulja|naislaulja: keskmine nahatoon|staar
	👩🏾‍🎤;naislaulja: keskmiselt tume nahatoon;artist|keskmiselt tume nahatoon|laulja|naine|naislaulja|naislaulja: keskmiselt tume nahatoon|staar
	👩🏿‍🎤;naislaulja: tume nahatoon;artist|laulja|naine|naislaulja|naislaulja: tume nahatoon|staar|tume nahatoon
🧑‍🎨;kunstnik;kunstnik|palett
	🧑🏻‍🎨;kunstnik: hele nahatoon;hele nahatoon|kunstnik|kunstnik: hele nahatoon|palett
	🧑🏼‍🎨;kunstnik: keskmiselt hele nahatoon;keskmiselt hele nahatoon|kunstnik|kunstnik: keskmiselt hele nahatoon|palett
	🧑🏽‍🎨;kunstnik: keskmine nahatoon;keskmine nahatoon|kunstnik|kunstnik: keskmine nahatoon|palett
