# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;خنده;خنده|صورت با لبخند|لبخند|نیش باز
	🙍🏻‍♂️;مرد اخم می‌کند: پوست سفید;اخمو|پوست سفید|مرد ابرو در هم می‌کشد|مرد اخم می‌کند|مرد اخم می‌کند: پوست سفید|مرد عبوس|ناخشنود|ناراضی
	🙍🏼‍♂️;مرد اخم می‌کند: پوست روشن;اخمو|پوست روشن|مرد ابرو در هم می‌کشد|مرد اخم می‌کند|مرد اخم می‌کند: پوست روشن|مرد عبوس|ناخشنود|ناراضی
	🙍🏽‍♂️;مرد اخم می‌کند: پوست طلایی;اخمو|پوست طلایی|مرد ابرو در هم می‌کشد|مرد اخم می‌کند|مرد اخم می‌کند: پوست طلایی|مرد عبوس|ناخشنود|ناراضی
	🙍🏾‍♂️;مرد اخم می‌کند: پوست گندمی;اخمو|پوست گندمی|مرد ابرو در هم می‌کشد|مرد اخم می‌کند|مرد اخم می‌کند: پوست گندمی|مرد عبوس|ناخشنود|ناراضی
	🙍🏿‍♂️;مرد اخم می‌کند: پوست آبنوسی;اخمو|پوست آبنوسی|مرد ابرو در هم می‌کشد|مرد اخم می‌کند|مرد اخم می‌کند: پوست آبنوسی|مرد عبوس|ناخشنود|ناراضی
🙍‍♀️;زن اخم می‌کند;اخمو|زن ابرو در هم می‌کشد|زن اخم می‌کند|مرد عبوس|ناخشنود|ناراضی
	🙍🏻‍♀️;زن اخم می‌کند: پوست سفید;اخمو|پوست سفید|زن ابرو در هم می‌کشد|زن اخم می‌کند|زن اخم می‌کند: پوست سفید|مرد عبوس|ناخشنود|ناراضی
	🙍🏼‍♀️;زن اخم می‌کند: پوست روشن;اخمو|پوست روشن|زن ابرو در هم می‌کشد|زن اخم می‌کند|زن اخم می‌کند: پوست روشن|مرد عبوس|ناخشنود|ناراضی
	🙍🏽‍♀️;زن اخم می‌کند: پوست طلایی;اخمو|پوست طلایی|زن ابرو در هم می‌کشد|زن اخم می‌کند|زن اخم می‌کند: پوست طلایی|مرد عبوس|ناخشنود|ناراضی
	🙍🏾‍♀️;زن اخم می‌کند: پوست گندمی;اخمو|پوست گندمی|زن ابرو در هم می‌کشد|زن اخم می‌کند|زن اخم می‌کند: پوست گندمی|مرد عبوس|ناخشنود|ناراضی
	🙍🏿‍♀️;زن اخم می‌کند: پوست آبنوسی;اخمو|پوست آبنوسی|زن ابرو در هم می‌کشد|زن اخم می‌کند|زن اخم می‌کند: پوست آبنوسی|مرد عبوس|ناخشنود|ناراضی
🙎;آدم ناراضی;آدم ناراضی|اخم|جمع کردن لب|ژست|ناراضی
	🙎🏻;آدم ناراضی: پوست سفید;آدم ناراضی|آدم ناراضی: پوست سفید|اخم|پوست سفید|جمع کردن لب|ژست|ناراضی
	🙎🏼;آدم ناراضی: پوست روشن;آدم ناراضی|آدم ناراضی: پوست روشن|اخم|پوست روشن|جمع کردن لب|ژست|ناراضی
	🙎🏽;آدم ناراضی: پوست طلایی;آدم ناراضی|آدم ناراضی: پوست طلایی|اخم|پوست طلایی|جمع کردن لب|ژست|ناراضی
	🙎🏾;آدم ناراضی: پوست گندمی;آدم ناراضی|آدم ناراضی: پوست گندمی|اخم|پوست گندمی|جمع کردن لب|ژست|ناراضی
	🙎🏿;آدم ناراضی: پوست آبنوسی;آدم ناراضی|آدم ناراضی: پوست آبنوسی|اخم|پوست آبنوسی|جمع کردن لب|ژست|ناراضی
🙎‍♂️;مرد اخم‌وتخم می‌کند;ابرو در هم کشیدن|اخم و‌ تخم|اخمو|ترش‌رویی|عبوس|لب‌ولوچه آویزان|مرد اخم‌وتخم می‌کند
	🙎🏻‍♂️;مرد اخم‌وتخم می‌کند: پوست سفید;ابرو در هم کشیدن|اخم و‌ تخم|اخمو|پوست سفید|ترش‌رویی|عبوس|لب‌ولوچه آویزان|مرد اخم‌وتخم می‌کند|مرد اخم‌وتخم می‌کند: پوست سفید
	🙎🏼‍♂️;مرد اخم‌وتخم می‌کند: پوست روشن;ابرو در هم کشیدن|اخم و‌ تخم|اخمو|پوست روشن|ترش‌رویی|عبوس|لب‌ولوچه آویزان|مرد اخم‌وتخم می‌کند|مرد اخم‌وتخم می‌کند: پوست روشن
	🙎🏽‍♂️;مرد اخم‌وتخم می‌کند: پوست طلایی;ابرو در هم کشیدن|اخم و‌ تخم|اخمو|پوست طلایی|ترش‌رویی|عبوس|لب‌ولوچه آویزان|مرد اخم‌وتخم می‌کند|مرد اخم‌وتخم می‌کند: پوست طلایی
	🙎🏾‍♂️;مرد اخم‌وتخم می‌کند: پوست گندمی;ابرو در هم کشیدن|اخم و‌ تخم|اخمو|پوست گندمی|ترش‌رویی|عبوس|لب‌ولوچه آویزان|مرد اخم‌وتخم می‌کند|مرد اخم‌وتخم می‌کند: پوست گندمی
	🙎🏿‍♂️;مرد اخم‌وتخم می‌کند: پوست آبنوسی;ابرو در هم کشیدن|اخم و‌ تخم|اخمو|پوست آبنوسی|ترش‌رویی|عبوس|لب‌ولوچه آویزان|مرد اخم‌وتخم می‌کند|مرد اخم‌وتخم می‌کند: پوست آبنوسی
🙎‍♀️;زن اخم‌وتخم می‌کند;ابرو در هم کشیدن|اخم و‌ تخم|اخمو|ترش‌رویی|زن اخم‌وتخم می‌کند|عبوس|لب‌ولوچه آویزان
	🙎🏻‍♀️;زن اخم‌وتخم می‌کند: پوست سفید;ابرو در هم کشیدن|اخم و‌ تخم|اخمو|پوست سفید|ترش‌رویی|زن اخم‌وتخم می‌کند|زن اخم‌وتخم می‌کند: پوست سفید|عبوس|لب‌ولوچه آویزان
	🙎🏼‍♀️;زن اخم‌وتخم می‌کند: پوست روشن;ابرو در هم کشیدن|اخم و‌ تخم|اخمو|پوست روشن|ترش‌رویی|زن اخم‌وتخم می‌کند|زن اخم‌وتخم می‌کند: پوست روشن|عبوس|لب‌ولوچه آویزان
	🙎🏽‍♀️;زن اخم‌وتخم می‌کند: پوست طلایی;ابرو در هم کشیدن|اخم و‌ تخم|اخمو|پوست طلایی|ترش‌رویی|زن اخم‌وتخم می‌کند|زن اخم‌وتخم می‌کند: پوست طلایی|عبوس|لب‌ولوچه آویزان
	🙎🏾‍♀️;زن اخم‌وتخم می‌کند: پوست گندمی;ابرو در هم کشیدن|اخم و‌ تخم|اخمو|پوست گندمی|ترش‌رویی|زن اخم‌وتخم می‌کند|زن اخم‌وتخم می‌کند: پوست گندمی|عبوس|لب‌ولوچه آویزان
	🙎🏿‍♀️;زن اخم‌وتخم می‌کند: پوست آبنوسی;ابرو در هم کشیدن|اخم و‌ تخم|اخمو|پوست آبنوسی|ترش‌رویی|زن اخم‌وتخم می‌کند|زن اخم‌وتخم می‌کند: پوست آبنوسی|عبوس|لب‌ولوچه آویزان
🙅;ابداً نه;ابداً نه|خیر|دست|ژست|ممنوع|نه
	🙅🏻;ابداً نه: پوست سفید;ابداً نه|ابداً نه: پوست سفید|پوست سفید|خیر|دست|ژست|ممنوع|نه
	🙅🏼;ابداً نه: پوست روشن;ابداً نه|ابداً نه: پوست روشن|پوست روشن|خیر|دست|ژست|ممنوع|نه
	🙅🏽;ابداً نه: پوست طلایی;ابداً نه|ابداً نه: پوست طلایی|پوست طلایی|خیر|دست|ژست|ممنوع|نه
	🙅🏾;ابداً نه: پوست گندمی;ابداً نه|ابداً نه: پوست گندمی|پوست گندمی|خیر|دست|ژست|ممنوع|نه
	🙅🏿;ابداً نه: پوست آبنوسی;ابداً نه|ابداً نه: پوست آبنوسی|پوست آبنوسی|خیر|دست|ژست|ممنوع|نه
🙅‍♂️;مرد نمی‌پذیرد;ابداً نه|رد|ژست مخالفت|مخالف بودن|مرد نمی‌پذیرد|ممنوع|نه
	🙅🏻‍♂️;مرد نمی‌پذیرد: پوست سفید;ابداً نه|پوست سفید|رد|ژست مخالفت|مخالف بودن|مرد نمی‌پذیرد|مرد نمی‌پذیرد: پوست سفید|ممنوع|نه
	🙅🏼‍♂️;مرد نمی‌پذیرد: پوست روشن;ابداً نه|پوست روشن|رد|ژست مخالفت|مخالف بودن|مرد نمی‌پذیرد|مرد نمی‌پذیرد: پوست روشن|ممنوع|نه
	🙅🏽‍♂️;مرد نمی‌پذیرد: پوست طلایی;ابداً نه|پوست طلایی|رد|ژست مخالفت|مخالف بودن|مرد نمی‌پذیرد|مرد نمی‌پذیرد: پوست طلایی|ممنوع|نه
	🙅🏾‍♂️;مرد نمی‌پذیرد: پوست گندمی;ابداً نه|پوست گندمی|رد|ژست مخالفت|مخالف بودن|مرد نمی‌پذیرد|مرد نمی‌پذیرد: پوست گندمی|ممنوع|نه
	🙅🏿‍♂️;مرد نمی‌پذیرد: پوست آبنوسی;ابداً نه|پوست آبنوسی|رد|ژست مخالفت|مخالف بودن|مرد نمی‌پذیرد|مرد نمی‌پذیرد: پوست آبنوسی|ممنوع|نه
🙅‍♀️;زن نمی‌پذیرد;ابداً نه|رد|زن نمی‌پذیرد|ژست مخالفت|مخالف بودن|ممنوع|نه
	🙅🏻‍♀️;زن نمی‌پذیرد: پوست سفید;ابداً نه|پوست سفید|رد|زن نمی‌پذیرد|زن نمی‌پذیرد: پوست سفید|ژست مخالفت|مخالف بودن|ممنوع|نه
	🙅🏼‍♀️;زن نمی‌پذیرد: پوست روشن;ابداً نه|پوست روشن|رد|زن نمی‌پذیرد|زن نمی‌پذیرد: پوست روشن|ژست مخالفت|مخالف بودن|ممنوع|نه
	🙅🏽‍♀️;زن نمی‌پذیرد: پوست طلایی;ابداً نه|پوست طلایی|رد|زن نمی‌پذیرد|زن نمی‌پذیرد: پوست طلایی|ژست مخالفت|مخالف بودن|ممنوع|نه
	🙅🏾‍♀️;زن نمی‌پذیرد: پوست گندمی;ابداً نه|پوست گندمی|رد|زن نمی‌پذیرد|زن نمی‌پذیرد: پوست گندمی|ژست مخالفت|مخالف بودن|ممنوع|نه
	🙅🏿‍♀️;زن نمی‌پذیرد: پوست آبنوسی;ابداً نه|پوست آبنوسی|رد|زن نمی‌پذیرد|زن نمی‌پذیرد: پوست آبنوسی|ژست مخالفت|مخالف بودن|ممنوع|نه
🙆;باشه;اوکی|باشه|تأیید|دست|ژست
	🙆🏻;باشه: پوست سفید;اوکی|باشه|باشه: پوست سفید|پوست سفید|تأیید|دست|ژست
	🙆🏼;باشه: پوست روشن;اوکی|باشه|باشه: پوست روشن|پوست روشن|تأیید|دست|ژست
	🙆🏽;باشه: پوست طلایی;اوکی|باشه|باشه: پوست طلایی|پوست طلایی|تأیید|دست|ژست
	🙆🏾;باشه: پوست گندمی;اوکی|باشه|باشه: پوست گندمی|پوست گندمی|تأیید|دست|ژست
	🙆🏿;باشه: پوست آبنوسی;اوکی|باشه|باشه: پوست آبنوسی|پوست آبنوسی|تأیید|دست|ژست
🙆‍♂️;مرد می‌پذیرد;اوکی|باشه|تأیید|درست|ژشت موافقت|مرد می‌پذیرد
	🙆🏻‍♂️;مرد می‌پذیرد: پوست سفید;اوکی|باشه|پوست سفید|تأیید|درست|ژشت موافقت|مرد می‌پذیرد|مرد می‌پذیرد: پوست سفید
	🙆🏼‍♂️;مرد می‌پذیرد: پوست روشن;اوکی|باشه|پوست روشن|تأیید|درست|ژشت موافقت|مرد می‌پذیرد|مرد می‌پذیرد: پوست روشن
	🙆🏽‍♂️;مرد می‌پذیرد: پوست طلایی;اوکی|باشه|پوست طلایی|تأیید|درست|ژشت موافقت|مرد می‌پذیرد|مرد می‌پذیرد: پوست طلایی
	🙆🏾‍♂️;مرد می‌پذیرد: پوست گندمی;اوکی|باشه|پوست گندمی|تأیید|درست|ژشت موافقت|مرد می‌پذیرد|مرد می‌پذیرد: پوست گندمی
	🙆🏿‍♂️;مرد می‌پذیرد: پوست آبنوسی;اوکی|باشه|پوست آبنوسی|تأیید|درست|ژشت موافقت|مرد می‌پذیرد|مرد می‌پذیرد: پوست آبنوسی
🙆‍♀️;زن می‌پذیرد;اوکی|باشه|تأیید|درست|زن می‌پذیرد|ژشت موافقت
	🙆🏻‍♀️;زن می‌پذیرد: پوست سفید;اوکی|باشه|پوست سفید|تأیید|درست|زن می‌پذیرد|زن می‌پذیرد: پوست سفید|ژشت موافقت
	🙆🏼‍♀️;زن می‌پذیرد: پوست روشن;اوکی|باشه|پوست روشن|تأیید|درست|زن می‌پذیرد|زن می‌پذیرد: پوست روشن|ژشت موافقت
	🙆🏽‍♀️;زن می‌پذیرد: پوست طلایی;اوکی|باشه|پوست طلایی|تأیید|درست|زن می‌پذیرد|زن می‌پذیرد: پوست طلایی|ژشت موافقت
	🙆🏾‍♀️;زن می‌پذیرد: پوست گندمی;اوکی|باشه|پوست گندمی|تأیید|درست|زن می‌پذیرد|زن می‌پذیرد: پوست گندمی|ژشت موافقت
	🙆🏿‍♀️;زن می‌پذیرد: پوست آبنوسی;اوکی|باشه|پوست آبنوسی|تأیید|درست|زن می‌پذیرد|زن می‌پذیرد: پوست آبنوسی|ژشت موافقت
💁;آماده کمک;آماده کمک|اطلاعات|دست|سرزنده|کمک
	💁🏻;آماده کمک: پوست سفید;آماده کمک|آماده کمک: پوست سفید|اطلاعات|پوست سفید|دست|سرزنده|کمک
	💁🏼;آماده کمک: پوست روشن;آماده کمک|آماده کمک: پوست روشن|اطلاعات|پوست روشن|دست|سرزنده|کمک
	💁🏽;آماده کمک: پوست طلایی;آماده کمک|آماده کمک: پوست طلایی|اطلاعات|پوست طلایی|دست|سرزنده|کمک
	💁🏾;آماده کمک: پوست گندمی;آماده کمک|آماده کمک: پوست گندمی|اطلاعات|پوست گندمی|دست|سرزنده|کمک
	💁🏿;آماده کمک: پوست آبنوسی;آماده کمک|آماده کمک: پوست آبنوسی|اطلاعات|پوست آبنوسی|دست|سرزنده|کمک
💁‍♂️;مرد کمک می‌کند;انعام دادن|انعام گرفتن|رو کردن|کمک کردن|مرد دستش را رو می‌کند|مرد کمک می‌کند
	💁🏻‍♂️;مرد کمک می‌کند: پوست سفید;انعام دادن|انعام گرفتن|پوست سفید|رو کردن|کمک کردن|مرد دستش را رو می‌کند|مرد کمک می‌کند|مرد کمک می‌کند: پوست سفید
	💁🏼‍♂️;مرد کمک می‌کند: پوست روشن;انعام دادن|انعام گرفتن|پوست روشن|رو کردن|کمک کردن|مرد دستش را رو می‌کند|مرد کمک می‌کند|مرد کمک می‌کند: پوست روشن
	💁🏽‍♂️;مرد کمک می‌کند: پوست طلایی;انعام دادن|انعام گرفتن|پوست طلایی|رو کردن|کمک کردن|مرد دستش را رو می‌کند|مرد کمک می‌کند|مرد کمک می‌کند: پوست طلایی
	💁🏾‍♂️;مرد کمک می‌کند: پوست گندمی;انعام دادن|انعام گرفتن|پوست گندمی|رو کردن|کمک کردن|مرد دستش را رو می‌کند|مرد کمک می‌کند|مرد کمک می‌کند: پوست گندمی
	💁🏿‍♂️;مرد کمک می‌کند: پوست آبنوسی;انعام دادن|انعام گرفتن|پوست آبنوسی|رو کردن|کمک کردن|مرد دستش را رو می‌کند|مرد کمک می‌کند|مرد کمک می‌کند: پوست آبنوسی
