# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;režeči obraz;obraz|režanje|režeči obraz
	🙅🏾‍♂️;moški, ki s kretnjo izraža prepoved: srednje temen ten kože;fant|ki s kretnjo izraža prepoved|kretnja|moški|moški, ki s kretnjo izraža prepoved|moški, ki s kretnjo izraža prepoved: srednje temen ten kože|ne|neodobravanje|ni dovoljeno|ni v redu|prepovedano|roka|srednje temen ten kože
	🙅🏿‍♂️;moški, ki s kretnjo izraža prepoved: temen ten kože;fant|ki s kretnjo izraža prepoved|kretnja|moški|moški, ki s kretnjo izraža prepoved|moški, ki s kretnjo izraža prepoved: temen ten kože|ne|neodobravanje|ni dovoljeno|ni v redu|prepovedano|roka|temen ten kože
🙅‍♀️;ženska, ki s kretnjo izraža prepoved;dekle|ki s kretnjo izraža prepoved|kretnja|ne|neodobravanje|ni dovoljeno|ni v redu|prepovedano|roka|ženska|ženska, ki s kretnjo izraža prepoved
	🙅🏻‍♀️;ženska, ki s kretnjo izraža prepoved: svetel ten kože;dekle|ki s kretnjo izraža prepoved|kretnja|ne|neodobravanje|ni dovoljeno|ni v redu|prepovedano|roka|svetel ten kože|ženska|ženska, ki s kretnjo izraža prepoved|ženska, ki s kretnjo izraža prepoved: svetel ten kože
	🙅🏼‍♀️;ženska, ki s kretnjo izraža prepoved: srednje svetel ten kože;dekle|ki s kretnjo izraža prepoved|kretnja|ne|neodobravanje|ni dovoljeno|ni v redu|prepovedano|roka|srednje svetel ten kože|ženska|ženska, ki s kretnjo izraža prepoved|ženska, ki s kretnjo izraža prepoved: srednje svetel ten kože
	🙅🏽‍♀️;ženska, ki s kretnjo izraža prepoved: srednji ten kože;dekle|ki s kretnjo izraža prepoved|kretnja|ne|neodobravanje|ni dovoljeno|ni v redu|prepovedano|roka|srednji ten kože|ženska|ženska, ki s kretnjo izraža prepoved|ženska, ki s kretnjo izraža prepoved: srednji ten kože
	🙅🏾‍♀️;ženska, ki s kretnjo izraža prepoved: srednje temen ten kože;dekle|ki s kretnjo izraža prepoved|kretnja|ne|neodobravanje|ni dovoljeno|ni v redu|prepovedano|roka|srednje temen ten kože|ženska|ženska, ki s kretnjo izraža prepoved|ženska, ki s kretnjo izraža prepoved: srednje temen ten kože
	🙅🏿‍♀️;ženska, ki s kretnjo izraža prepoved: temen ten kože;dekle|ki s kretnjo izraža prepoved|kretnja|ne|neodobravanje|ni dovoljeno|ni v redu|prepovedano|roka|temen ten kože|ženska|ženska, ki s kretnjo izraža prepoved|ženska, ki s kretnjo izraža prepoved: temen ten kože
🙆;oseba, ki kaže V REDU;gesta|ki kaže V REDU|oseba|oseba, ki kaže V REDU|roka|v redu
	🙆🏻;oseba, ki kaže V REDU: svetel ten kože;gesta|ki kaže V REDU|oseba|oseba, ki kaže V REDU|oseba, ki kaže V REDU: svetel ten kože|roka|svetel ten kože|v redu
	🙆🏼;oseba, ki kaže V REDU: srednje svetel ten kože;gesta|ki kaže V REDU|oseba|oseba, ki kaže V REDU|oseba, ki kaže V REDU: srednje svetel ten kože|roka|srednje svetel ten kože|v redu
	🙆🏽;oseba, ki kaže V REDU: srednji ten kože;gesta|ki kaže V REDU|oseba|oseba, ki kaže V REDU|oseba, ki kaže V REDU: srednji ten kože|roka|srednji ten kože|v redu
	🙆🏾;oseba, ki kaže V REDU: srednje temen ten kože;gesta|ki kaže V REDU|oseba|oseba, ki kaže V REDU|oseba, ki kaže V REDU: srednje temen ten kože|roka|srednje temen ten kože|v redu
	🙆🏿;oseba, ki kaže V REDU: temen ten kože;gesta|ki kaže V REDU|oseba|oseba, ki kaže V REDU|oseba, ki kaže V REDU: temen ten kože|roka|temen ten kože|v redu
🙆‍♂️;moški, ki s kretnjo izraža odobravanje;fant|ki s kretnjo izraža odobravanje|kretnja|moški|moški, ki s kretnjo izraža odobravanje|ok|roka|v redu
	🙆🏻‍♂️;moški, ki s kretnjo izraža odobravanje: svetel ten kože;fant|ki s kretnjo izraža odobravanje|kretnja|moški|moški, ki s kretnjo izraža odobravanje|moški, ki s kretnjo izraža odobravanje: svetel ten kože|ok|roka|svetel ten kože|v redu
	🙆🏼‍♂️;moški, ki s kretnjo izraža odobravanje: srednje svetel ten kože;fant|ki s kretnjo izraža odobravanje|kretnja|moški|moški, ki s kretnjo izraža odobravanje|moški, ki s kretnjo izraža odobravanje: srednje svetel ten kože|ok|roka|srednje svetel ten kože|v redu
	🙆🏽‍♂️;moški, ki s kretnjo izraža odobravanje: srednji ten kože;fant|ki s kretnjo izraža odobravanje|kretnja|moški|moški, ki s kretnjo izraža odobravanje|moški, ki s kretnjo izraža odobravanje: srednji ten kože|ok|roka|srednji ten kože|v redu
	🙆🏾‍♂️;moški, ki s kretnjo izraža odobravanje: srednje temen ten kože;fant|ki s kretnjo izraža odobravanje|kretnja|moški|moški, ki s kretnjo izraža odobravanje|moški, ki s kretnjo izraža odobravanje: srednje temen ten kože|ok|roka|srednje temen ten kože|v redu
	🙆🏿‍♂️;moški, ki s kretnjo izraža odobravanje: temen ten kože;fant|ki s kretnjo izraža odobravanje|kretnja|moški|moški, ki s kretnjo izraža odobravanje|moški, ki s kretnjo izraža odobravanje: temen ten kože|ok|roka|temen ten kože|v redu
🙆‍♀️;ženska, ki s kretnjo izraža odobravanje;dekle|ki s kretnjo izraža odobravanje|kretnja|ok|roka|v redu|ženska|ženska, ki s kretnjo izraža odobravanje
	🙆🏻‍♀️;ženska, ki s kretnjo izraža odobravanje: svetel ten kože;dekle|ki s kretnjo izraža odobravanje|kretnja|ok|roka|svetel ten kože|v redu|ženska|ženska, ki s kretnjo izraža odobravanje|ženska, ki s kretnjo izraža odobravanje: svetel ten kože
	🙆🏼‍♀️;ženska, ki s kretnjo izraža odobravanje: srednje svetel ten kože;dekle|ki s kretnjo izraža odobravanje|kretnja|ok|roka|srednje svetel ten kože|v redu|ženska|ženska, ki s kretnjo izraža odobravanje|ženska, ki s kretnjo izraža odobravanje: srednje svetel ten kože
	🙆🏽‍♀️;ženska, ki s kretnjo izraža odobravanje: srednji ten kože;dekle|ki s kretnjo izraža odobravanje|kretnja|ok|roka|srednji ten kože|v redu|ženska|ženska, ki s kretnjo izraža odobravanje|ženska, ki s kretnjo izraža odobravanje: srednji ten kože
	🙆🏾‍♀️;ženska, ki s kretnjo izraža odobravanje: srednje temen ten kože;dekle|ki s kretnjo izraža odobravanje|kretnja|ok|roka|srednje temen ten kože|v redu|ženska|ženska, ki s kretnjo izraža odobravanje|ženska, ki s kretnjo izraža odobravanje: srednje temen ten kože
	🙆🏿‍♀️;ženska, ki s kretnjo izraža odobravanje: temen ten kože;dekle|ki s kretnjo izraža odobravanje|kretnja|ok|roka|temen ten kože|v redu|ženska|ženska, ki s kretnjo izraža odobravanje|ženska, ki s kretnjo izraža odobravanje: temen ten kože
💁;oseba, ki dela na informacijah;informacije|ki dela na informacijah|oseba|oseba, ki dela na informacijah|pomoč|roka|zgovorno|živahno
	💁🏻;oseba, ki dela na informacijah: svetel ten kože;informacije|ki dela na informacijah|oseba|oseba, ki dela na informacijah|oseba, ki dela na informacijah: svetel ten kože|pomoč|roka|svetel ten kože|zgovorno|živahno
	💁🏼;oseba, ki dela na informacijah: srednje svetel ten kože;informacije|ki dela na informacijah|oseba|oseba, ki dela na informacijah|oseba, ki dela na informacijah: srednje svetel ten kože|pomoč|roka|srednje svetel ten kože|zgovorno|živahno
	💁🏽;oseba, ki dela na informacijah: srednji ten kože;informacije|ki dela na informacijah|oseba|oseba, ki dela na informacijah|oseba, ki dela na informacijah: srednji ten kože|pomoč|roka|srednji ten kože|zgovorno|živahno
	💁🏾;oseba, ki dela na informacijah: srednje temen ten kože;informacije|ki dela na informacijah|oseba|oseba, ki dela na informacijah|oseba, ki dela na informacijah: srednje temen ten kože|pomoč|roka|srednje temen ten kože|zgovorno|živahno
	💁🏿;oseba, ki dela na informacijah: temen ten kože;informacije|ki dela na informacijah|oseba|oseba, ki dela na informacijah|oseba, ki dela na informacijah: temen ten kože|pomoč|roka|temen ten kože|zgovorno|živahno
💁‍♂️;uslužbenec na informacijah;informacije|moški|pomoč|uslužbenec na informacijah|zgovoren
	💁🏻‍♂️;uslužbenec na informacijah: svetel ten kože;informacije|moški|pomoč|svetel ten kože|uslužbenec na informacijah|uslužbenec na informacijah: svetel ten kože|zgovoren
	💁🏼‍♂️;uslužbenec na informacijah: srednje svetel ten kože;informacije|moški|pomoč|srednje svetel ten kože|uslužbenec na informacijah|uslužbenec na informacijah: srednje svetel ten kože|zgovoren
	💁🏽‍♂️;uslužbenec na informacijah: srednji ten kože;informacije|moški|pomoč|srednji ten kože|uslužbenec na informacijah|uslužbenec na informacijah: srednji ten kože|zgovoren
	💁🏾‍♂️;uslužbenec na informacijah: srednje temen ten kože;informacije|moški|pomoč|srednje temen ten kože|uslužbenec na informacijah|uslužbenec na informacijah: srednje temen ten kože|zgovoren
	💁🏿‍♂️;uslužbenec na informacijah: temen ten kože;informacije|moški|pomoč|temen ten kože|uslužbenec na informacijah|uslužbenec na informacijah: temen ten kože|zgovoren
💁‍♀️;uslužbenka na informacijah;informacije|pomoč|uslužbenka na informacijah|ženska|zgovorna
	💁🏻‍♀️;uslužbenka na informacijah: svetel ten kože;informacije|pomoč|svetel ten kože|uslužbenka na informacijah|uslužbenka na informacijah: svetel ten kože|ženska|zgovorna
	💁🏼‍♀️;uslužbenka na informacijah: srednje svetel ten kože;informacije|pomoč|srednje svetel ten kože|uslužbenka na informacijah|uslužbenka na informacijah: srednje svetel ten kože|ženska|zgovorna
	💁🏽‍♀️;uslužbenka na informacijah: srednji ten kože;informacije|pomoč|srednji ten kože|uslužbenka na informacijah|uslužbenka na informacijah: srednji ten kože|ženska|zgovorna
	💁🏾‍♀️;uslužbenka na informacijah: srednje temen ten kože;informacije|pomoč|srednje temen ten kože|uslužbenka na informacijah|uslužbenka na informacijah: srednje temen ten kože|ženska|zgovorna
	💁🏿‍♀️;uslužbenka na informacijah: temen ten kože;informacije|pomoč|temen ten kože|uslužbenka na informacijah|uslužbenka na informacijah: temen ten kože|ženska|zgovorna
🙋;vesela oseba, ki dvigne roko;dvignjeno|gesta|ki dvigne roko|roka|vesela oseba|vesela oseba, ki dvigne roko|veselo
	🙋🏻;vesela oseba, ki dvigne roko: svetel ten kože;dvignjeno|gesta|ki dvigne roko|roka|svetel ten kože|vesela oseba|vesela oseba, ki dvigne roko|vesela oseba, ki dvigne roko: svetel ten kože|veselo
	🙋🏼;vesela oseba, ki dvigne roko: srednje svetel ten kože;dvignjeno|gesta|ki dvigne roko|roka|srednje svetel ten kože|vesela oseba|vesela oseba, ki dvigne roko|vesela oseba, ki dvigne roko: srednje svetel ten kože|veselo
	🙋🏽;vesela oseba, ki dvigne roko: srednji ten kože;dvignjeno|gesta|ki dvigne roko|roka|srednji ten kože|vesela oseba|vesela oseba, ki dvigne roko|vesela oseba, ki dvigne roko: srednji ten kože|veselo
	🙋🏾;vesela oseba, ki dvigne roko: srednje temen ten kože;dvignjeno|gesta|ki dvigne roko|roka|srednje temen ten kože|vesela oseba|vesela oseba, ki dvigne roko|vesela oseba, ki dvigne roko: srednje temen ten kože|veselo
	🙋🏿;vesela oseba, ki dvigne roko: temen ten kože;dvignjeno|gesta|ki dvigne roko|roka|temen ten kože|vesela oseba|vesela oseba, ki dvigne roko|vesela oseba, ki dvigne roko: temen ten kože|veselo
🙋‍♂️;moški, ki dviguje roko;dvigovanje roke|fant|ki dviguje roko|kretnje|moški|moški, ki dviguje roko
	🙋🏻‍♂️;moški, ki dviguje roko: svetel ten kože;dvigovanje roke|fant|ki dviguje roko|kretnje|moški|moški, ki dviguje roko|moški, ki dviguje roko: svetel ten kože|svetel ten kože
	🙋🏼‍♂️;moški, ki dviguje roko: srednje svetel ten kože;dvigovanje roke|fant|ki dviguje roko|kretnje|moški|moški, ki dviguje roko|moški, ki dviguje roko: srednje svetel ten kože|srednje svetel ten kože
	🙋🏽‍♂️;moški, ki dviguje roko: srednji ten kože;dvigovanje roke|fant|ki dviguje roko|kretnje|moški|moški, ki dviguje roko|moški, ki dviguje roko: srednji ten kože|srednji ten kože
	🙋🏾‍♂️;moški, ki dviguje roko: srednje temen ten kože;dvigovanje roke|fant|ki dviguje roko|kretnje|moški|moški, ki dviguje roko|moški, ki dviguje roko: srednje temen ten kože|srednje temen ten kože
	🙋🏿‍♂️;moški, ki dviguje roko: temen ten kože;dvigovanje roke|fant|ki dviguje roko|kretnje|moški|moški, ki dviguje roko|moški, ki dviguje roko: temen ten kože|temen ten kože
🙋‍♀️;ženska, ki dviguje roko;dekle|dvigovanje roke|ki dviguje roko|kretnje|ženska|ženska, ki dviguje roko
	🙋🏻‍♀️;ženska, ki dviguje roko: svetel ten kože;dekle|dvigovanje roke|ki dviguje roko|kretnje|svetel ten kože|ženska|ženska, ki dviguje roko|ženska, ki dviguje roko: svetel ten kože
	🙋🏼‍♀️;ženska, ki dviguje roko: srednje svetel ten kože;dekle|dvigovanje roke|ki dviguje roko|kretnje|srednje svetel ten kože|ženska|ženska, ki dviguje roko|ženska, ki dviguje roko: srednje svetel ten kože
	🙋🏽‍♀️;ženska, ki dviguje roko: srednji ten kože;dekle|dvigovanje roke|ki dviguje roko|kretnje|srednji ten kože|ženska|ženska, ki dviguje roko|ženska, ki dviguje roko: srednji ten kože
	🙋🏾‍♀️;ženska, ki dviguje roko: srednje temen ten kože;dekle|dvigovanje roke|ki dviguje roko|kretnje|srednje temen ten kože|ženska|ženska, ki dviguje roko|ženska, ki dviguje roko: srednje temen ten kože
	🙋🏿‍♀️;ženska, ki dviguje roko: temen ten kože;dekle|dvigovanje roke|ki dviguje roko|kretnje|temen ten kože|ženska|ženska, ki dviguje roko|ženska, ki dviguje roko: temen ten kože
🧏;gluha oseba;gluh|gluha oseba|invalid|sluh|uho
	🧏🏻;gluha oseba: svetel ten kože;gluh|gluha oseba|gluha oseba: svetel ten kože|invalid|sluh|svetel ten kože|uho
	🧏🏼;gluha oseba: srednje svetel ten kože;gluh|gluha oseba|gluha oseba: srednje svetel ten kože|invalid|sluh|srednje svetel ten kože|uho
	🧏🏽;gluha oseba: srednji ten kože;gluh|gluha oseba|gluha oseba: srednji ten kože|invalid|sluh|srednji ten kože|uho
	🧏🏾;gluha oseba: srednje temen ten kože;gluh|gluha oseba|gluha oseba: srednje temen ten kože|invalid|sluh|srednje temen ten kože|uho
	🧏🏿;gluha oseba: temen ten kože;gluh|gluha oseba|gluha oseba: temen ten kože|invalid|sluh|temen ten kože|uho
🧏‍♂️;gluh moški;gluh|moški
	🧏🏻‍♂️;gluh moški: svetel ten kože;gluh|gluh moški: svetel ten kože|moški|svetel ten kože
	🧏🏼‍♂️;gluh moški: srednje svetel ten kože;gluh|gluh moški: srednje svetel ten kože|moški|srednje svetel ten kože
	🧏🏽‍♂️;gluh moški: srednji ten kože;gluh|gluh moški: srednji ten kože|moški|srednji ten kože
	🧏🏾‍♂️;gluh moški: srednje temen ten kože;gluh|gluh moški: srednje temen ten kože|moški|srednje temen ten kože
	🧏🏿‍♂️;gluh moški: temen ten kože;gluh|gluh moški: temen ten kože|moški|temen ten kože
🧏‍♀️;gluha ženska;gluha|ženska
	🧏🏻‍♀️;gluha ženska: svetel ten kože;gluha|gluha ženska: svetel ten kože|svetel ten kože|ženska
	🧏🏼‍♀️;gluha ženska: srednje svetel ten kože;gluha|gluha ženska: srednje svetel ten kože|srednje svetel ten kože|ženska
	🧏🏽‍♀️;gluha ženska: srednji ten kože;gluha|gluha ženska: srednji ten kože|srednji ten kože|ženska
	🧏🏾‍♀️;gluha ženska: srednje temen ten kože;gluha|gluha ženska: srednje temen ten kože|srednje temen ten kože|ženska
	🧏🏿‍♀️;gluha ženska: temen ten kože;gluha|gluha ženska: temen ten kože|temen ten kože|ženska
🙇;oseba, ki se prikloni;gesta|ki se prikloni|opravičilo|oprosti|oseba|oseba, ki se prikloni|priklon
	🙇🏻;oseba, ki se prikloni: svetel ten kože;gesta|ki se prikloni|opravičilo|oprosti|oseba|oseba, ki se prikloni|oseba, ki se prikloni: svetel ten kože|priklon|svetel ten kože
	🙇🏼;oseba, ki se prikloni: srednje svetel ten kože;gesta|ki se prikloni|opravičilo|oprosti|oseba|oseba, ki se prikloni|oseba, ki se prikloni: srednje svetel ten kože|priklon|srednje svetel ten kože
	🙇🏽;oseba, ki se prikloni: srednji ten kože;gesta|ki se prikloni|opravičilo|oprosti|oseba|oseba, ki se prikloni|oseba, ki se prikloni: srednji ten kože|priklon|srednji ten kože
	🙇🏾;oseba, ki se prikloni: srednje temen ten kože;gesta|ki se prikloni|opravičilo|oprosti|oseba|oseba, ki se prikloni|oseba, ki se prikloni: srednje temen ten kože|priklon|srednje temen ten kože
	🙇🏿;oseba, ki se prikloni: temen ten kože;gesta|ki se prikloni|opravičilo|oprosti|oseba|oseba, ki se prikloni|oseba, ki se prikloni: temen ten kože|priklon|temen ten kože
🙇‍♂️;moški, ki se globoko priklanja;fant|gesta|ki se globoko priklanja|moški|moški, ki se globoko priklanja|opravičilo|oprosti|priklanjanje|priklon|usluga
	🙇🏻‍♂️;moški, ki se globoko priklanja: svetel ten kože;fant|gesta|ki se globoko priklanja|moški|moški, ki se globoko priklanja|moški, ki se globoko priklanja: svetel ten kože|opravičilo|oprosti|priklanjanje|priklon|svetel ten kože|usluga
	🙇🏼‍♂️;moški, ki se globoko priklanja: srednje svetel ten kože;fant|gesta|ki se globoko priklanja|moški|moški, ki se globoko priklanja|moški, ki se globoko priklanja: srednje svetel ten kože|opravičilo|oprosti|priklanjanje|priklon|srednje svetel ten kože|usluga
	🙇🏽‍♂️;moški, ki se globoko priklanja: srednji ten kože;fant|gesta|ki se globoko priklanja|moški|moški, ki se globoko priklanja|moški, ki se globoko priklanja: srednji ten kože|opravičilo|oprosti|priklanjanje|priklon|srednji ten kože|usluga
	🙇🏾‍♂️;moški, ki se globoko priklanja: srednje temen ten kože;fant|gesta|ki se globoko priklanja|moški|moški, ki se globoko priklanja|moški, ki se globoko priklanja: srednje temen ten kože|opravičilo|oprosti|priklanjanje|priklon|srednje temen ten kože|usluga
