# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;πλατύ χαμόγελο;πλατύ χαμόγελο|πρόσωπο|σαρκασμός
	🧑🏽‍🦰;ενήλικας: μεσαίος τόνος δέρματος, κόκκινα μαλλιά;άφυλος|ενήλικας|ενήλικας: μεσαίος τόνος δέρματος, κόκκινα μαλλιά|κόκκινα μαλλιά|μεσαίος τόνος δέρματος
	🧑🏾‍🦰;ενήλικας: μεσαίος-σκούρος τόνος δέρματος, κόκκινα μαλλιά;άφυλος|ενήλικας|ενήλικας: μεσαίος-σκούρος τόνος δέρματος, κόκκινα μαλλιά|κόκκινα μαλλιά|μεσαίος-σκούρος τόνος δέρματος
	🧑🏿‍🦰;ενήλικας: σκούρος τόνος δέρματος, κόκκινα μαλλιά;άφυλος|ενήλικας|ενήλικας: σκούρος τόνος δέρματος, κόκκινα μαλλιά|κόκκινα μαλλιά|σκούρος τόνος δέρματος
👩‍🦱;γυναίκα: σγουρά μαλλιά;γυναίκα|γυναίκα: σγουρά μαλλιά|ενήλικας|σγουρά μαλλιά
	👩🏻‍🦱;γυναίκα: ανοιχτόχρωμος τόνος δέρματος, σγουρά μαλλιά;ανοιχτόχρωμος τόνος δέρματος|γυναίκα|γυναίκα: ανοιχτόχρωμος τόνος δέρματος, σγουρά μαλλιά|ενήλικας|σγουρά μαλλιά
	👩🏼‍🦱;γυναίκα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σγουρά μαλλιά;γυναίκα|γυναίκα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σγουρά μαλλιά|ενήλικας|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|σγουρά μαλλιά
	👩🏽‍🦱;γυναίκα: μεσαίος τόνος δέρματος, σγουρά μαλλιά;γυναίκα|γυναίκα: μεσαίος τόνος δέρματος, σγουρά μαλλιά|ενήλικας|μεσαίος τόνος δέρματος|σγουρά μαλλιά
	👩🏾‍🦱;γυναίκα: μεσαίος-σκούρος τόνος δέρματος, σγουρά μαλλιά;γυναίκα|γυναίκα: μεσαίος-σκούρος τόνος δέρματος, σγουρά μαλλιά|ενήλικας|μεσαίος-σκούρος τόνος δέρματος|σγουρά μαλλιά
	👩🏿‍🦱;γυναίκα: σκούρος τόνος δέρματος, σγουρά μαλλιά;γυναίκα|γυναίκα: σκούρος τόνος δέρματος, σγουρά μαλλιά|ενήλικας|σγουρά μαλλιά|σκούρος τόνος δέρματος
🧑‍🦱;ενήλικας: σγουρά μαλλιά;άφυλος|ενήλικας|ενήλικας: σγουρά μαλλιά|σγουρά μαλλιά
	🧑🏻‍🦱;ενήλικας: ανοιχτόχρωμος τόνος δέρματος, σγουρά μαλλιά;ανοιχτόχρωμος τόνος δέρματος|άφυλος|ενήλικας|ενήλικας: ανοιχτόχρωμος τόνος δέρματος, σγουρά μαλλιά|σγουρά μαλλιά
	🧑🏼‍🦱;ενήλικας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σγουρά μαλλιά;άφυλος|ενήλικας|ενήλικας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σγουρά μαλλιά|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|σγουρά μαλλιά
	🧑🏽‍🦱;ενήλικας: μεσαίος τόνος δέρματος, σγουρά μαλλιά;άφυλος|ενήλικας|ενήλικας: μεσαίος τόνος δέρματος, σγουρά μαλλιά|μεσαίος τόνος δέρματος|σγουρά μαλλιά
	🧑🏾‍🦱;ενήλικας: μεσαίος-σκούρος τόνος δέρματος, σγουρά μαλλιά;άφυλος|ενήλικας|ενήλικας: μεσαίος-σκούρος τόνος δέρματος, σγουρά μαλλιά|μεσαίος-σκούρος τόνος δέρματος|σγουρά μαλλιά
	🧑🏿‍🦱;ενήλικας: σκούρος τόνος δέρματος, σγουρά μαλλιά;άφυλος|ενήλικας|ενήλικας: σκούρος τόνος δέρματος, σγουρά μαλλιά|σγουρά μαλλιά|σκούρος τόνος δέρματος
👩‍🦳;γυναίκα: άσπρα μαλλιά;άσπρα μαλλιά|γυναίκα|γυναίκα: άσπρα μαλλιά|ενήλικας
	👩🏻‍🦳;γυναίκα: ανοιχτόχρωμος τόνος δέρματος, άσπρα μαλλιά;ανοιχτόχρωμος τόνος δέρματος|άσπρα μαλλιά|γυναίκα|γυναίκα: ανοιχτόχρωμος τόνος δέρματος, άσπρα μαλλιά|ενήλικας
	👩🏼‍🦳;γυναίκα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, άσπρα μαλλιά;άσπρα μαλλιά|γυναίκα|γυναίκα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, άσπρα μαλλιά|ενήλικας|μεσαίος-ανοιχτόχρωμος τόνος δέρματος
	👩🏽‍🦳;γυναίκα: μεσαίος τόνος δέρματος, άσπρα μαλλιά;άσπρα μαλλιά|γυναίκα|γυναίκα: μεσαίος τόνος δέρματος, άσπρα μαλλιά|ενήλικας|μεσαίος τόνος δέρματος
	👩🏾‍🦳;γυναίκα: μεσαίος-σκούρος τόνος δέρματος, άσπρα μαλλιά;άσπρα μαλλιά|γυναίκα|γυναίκα: μεσαίος-σκούρος τόνος δέρματος, άσπρα μαλλιά|ενήλικας|μεσαίος-σκούρος τόνος δέρματος
	👩🏿‍🦳;γυναίκα: σκούρος τόνος δέρματος, άσπρα μαλλιά;άσπρα μαλλιά|γυναίκα|γυναίκα: σκούρος τόνος δέρματος, άσπρα μαλλιά|ενήλικας|σκούρος τόνος δέρματος
🧑‍🦳;ενήλικας: άσπρα μαλλιά;άσπρα μαλλιά|άφυλος|ενήλικας|ενήλικας: άσπρα μαλλιά
	🧑🏻‍🦳;ενήλικας: ανοιχτόχρωμος τόνος δέρματος, άσπρα μαλλιά;ανοιχτόχρωμος τόνος δέρματος|άσπρα μαλλιά|άφυλος|ενήλικας|ενήλικας: ανοιχτόχρωμος τόνος δέρματος, άσπρα μαλλιά
	🧑🏼‍🦳;ενήλικας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, άσπρα μαλλιά;άσπρα μαλλιά|άφυλος|ενήλικας|ενήλικας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, άσπρα μαλλιά|μεσαίος-ανοιχτόχρωμος τόνος δέρματος
	🧑🏽‍🦳;ενήλικας: μεσαίος τόνος δέρματος, άσπρα μαλλιά;άσπρα μαλλιά|άφυλος|ενήλικας|ενήλικας: μεσαίος τόνος δέρματος, άσπρα μαλλιά|μεσαίος τόνος δέρματος
	🧑🏾‍🦳;ενήλικας: μεσαίος-σκούρος τόνος δέρματος, άσπρα μαλλιά;άσπρα μαλλιά|άφυλος|ενήλικας|ενήλικας: μεσαίος-σκούρος τόνος δέρματος, άσπρα μαλλιά|μεσαίος-σκούρος τόνος δέρματος
	🧑🏿‍🦳;ενήλικας: σκούρος τόνος δέρματος, άσπρα μαλλιά;άσπρα μαλλιά|άφυλος|ενήλικας|ενήλικας: σκούρος τόνος δέρματος, άσπρα μαλλιά|σκούρος τόνος δέρματος
👩‍🦲;γυναίκα: καραφλός;γυναίκα|γυναίκα: καραφλός|ενήλικας|καραφλός
	👩🏻‍🦲;γυναίκα: ανοιχτόχρωμος τόνος δέρματος, καραφλός;ανοιχτόχρωμος τόνος δέρματος|γυναίκα|γυναίκα: ανοιχτόχρωμος τόνος δέρματος, καραφλός|ενήλικας|καραφλός
	👩🏼‍🦲;γυναίκα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, καραφλός;γυναίκα|γυναίκα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, καραφλός|ενήλικας|καραφλός|μεσαίος-ανοιχτόχρωμος τόνος δέρματος
	👩🏽‍🦲;γυναίκα: μεσαίος τόνος δέρματος, καραφλός;γυναίκα|γυναίκα: μεσαίος τόνος δέρματος, καραφλός|ενήλικας|καραφλός|μεσαίος τόνος δέρματος
	👩🏾‍🦲;γυναίκα: μεσαίος-σκούρος τόνος δέρματος, καραφλός;γυναίκα|γυναίκα: μεσαίος-σκούρος τόνος δέρματος, καραφλός|ενήλικας|καραφλός|μεσαίος-σκούρος τόνος δέρματος
	👩🏿‍🦲;γυναίκα: σκούρος τόνος δέρματος, καραφλός;γυναίκα|γυναίκα: σκούρος τόνος δέρματος, καραφλός|ενήλικας|καραφλός|σκούρος τόνος δέρματος
🧑‍🦲;ενήλικας: καραφλός;άφυλος|ενήλικας|ενήλικας: καραφλός|καραφλός
	🧑🏻‍🦲;ενήλικας: ανοιχτόχρωμος τόνος δέρματος, καραφλός;ανοιχτόχρωμος τόνος δέρματος|άφυλος|ενήλικας|ενήλικας: ανοιχτόχρωμος τόνος δέρματος, καραφλός|καραφλός
	🧑🏼‍🦲;ενήλικας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, καραφλός;άφυλος|ενήλικας|ενήλικας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, καραφλός|καραφλός|μεσαίος-ανοιχτόχρωμος τόνος δέρματος
	🧑🏽‍🦲;ενήλικας: μεσαίος τόνος δέρματος, καραφλός;άφυλος|ενήλικας|ενήλικας: μεσαίος τόνος δέρματος, καραφλός|καραφλός|μεσαίος τόνος δέρματος
	🧑🏾‍🦲;ενήλικας: μεσαίος-σκούρος τόνος δέρματος, καραφλός;άφυλος|ενήλικας|ενήλικας: μεσαίος-σκούρος τόνος δέρματος, καραφλός|καραφλός|μεσαίος-σκούρος τόνος δέρματος
	🧑🏿‍🦲;ενήλικας: σκούρος τόνος δέρματος, καραφλός;άφυλος|ενήλικας|ενήλικας: σκούρος τόνος δέρματος, καραφλός|καραφλός|σκούρος τόνος δέρματος
👱‍♀️;γυναίκα: ξανθά μαλλιά;γυναίκα|γυναίκα: ξανθά μαλλιά|μαλλιά|ξανθιά
	👱🏻‍♀️;γυναίκα: ανοιχτόχρωμος τόνος δέρματος, ξανθά μαλλιά;ανοιχτόχρωμος τόνος δέρματος|γυναίκα|γυναίκα: ανοιχτόχρωμος τόνος δέρματος, ξανθά μαλλιά|γυναίκα: ξανθά μαλλιά|μαλλιά|ξανθά μαλλιά|ξανθιά
	👱🏼‍♀️;γυναίκα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ξανθά μαλλιά;γυναίκα|γυναίκα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ξανθά μαλλιά|γυναίκα: ξανθά μαλλιά|μαλλιά|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|ξανθά μαλλιά|ξανθιά
	👱🏽‍♀️;γυναίκα: μεσαίος τόνος δέρματος, ξανθά μαλλιά;γυναίκα|γυναίκα: μεσαίος τόνος δέρματος, ξανθά μαλλιά|γυναίκα: ξανθά μαλλιά|μαλλιά|μεσαίος τόνος δέρματος|ξανθά μαλλιά|ξανθιά
