# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ပြုံးဖြဲဖြဲ မျက်နှာ;ပြုံးဖြဲဖြဲ|မျက်နှာ
🙌;လက်မြှောက်ပြနေသူ;လက်|လက်မြှောက်ပြနေသည့် လက်ဟန်|လက်မြှောက်ပြနေသူ|လက်ဟန်|အောင်ပွဲခံခြင်း
	🙌🏻;လက်မြှောက်ပြနေသူ − အသားဖြူရောင်;လက်|လက်မြှောက်ပြနေသည့် လက်ဟန်|လက်မြှောက်ပြနေသူ|လက်ဟန်|အသားဖြူရောင်|အောင်ပွဲခံခြင်း
	🙌🏼;လက်မြှောက်ပြနေသူ − အသားနုရောင်;လက်|လက်မြှောက်ပြနေသည့် လက်ဟန်|လက်မြှောက်ပြနေသူ|လက်ဟန်|အသားနုရောင်|အောင်ပွဲခံခြင်း
	🙌🏽;လက်မြှောက်ပြနေသူ − အသားလတ်ရောင်;လက်|လက်မြှောက်ပြနေသည့် လက်ဟန်|လက်မြှောက်ပြနေသူ|လက်ဟန်|အသားလတ်ရောင်|အောင်ပွဲခံခြင်း
	🙌🏾;လက်မြှောက်ပြနေသူ − အသားညိုရောင်;လက်|လက်မြှောက်ပြနေသည့် လက်ဟန်|လက်မြှောက်ပြနေသူ|လက်ဟန်|အသားညိုရောင်|အောင်ပွဲခံခြင်း
	🙌🏿;လက်မြှောက်ပြနေသူ − အသားမည်းရောင်;လက်|လက်မြှောက်ပြနေသည့် လက်ဟန်|လက်မြှောက်ပြနေသူ|လက်ဟန်|အသားမည်းရောင်|အောင်ပွဲခံခြင်း
🫶;လက်ချောင်းများဖြင့် အသည်းနှလုံးပုံဖော်ခြင်း;ချစ်ခြင်း|လက်ချောင်းများဖြင့် အသည်းနှလုံးပုံဖော်ခြင်း
	🫶🏻;လက်ချောင်းများဖြင့် အသည်းနှလုံးပုံဖော်ခြင်း − အသားဖြူရောင်;ချစ်ခြင်း|လက်ချောင်းများဖြင့် အသည်းနှလုံးပုံဖော်ခြင်း|အသားဖြူရောင်
	🫶🏼;လက်ချောင်းများဖြင့် အသည်းနှလုံးပုံဖော်ခြင်း − အသားနုရောင်;ချစ်ခြင်း|လက်ချောင်းများဖြင့် အသည်းနှလုံးပုံဖော်ခြင်း|အသားနုရောင်
	🫶🏽;လက်ချောင်းများဖြင့် အသည်းနှလုံးပုံဖော်ခြင်း − အသားလတ်ရောင်;ချစ်ခြင်း|လက်ချောင်းများဖြင့် အသည်းနှလုံးပုံဖော်ခြင်း|အသားလတ်ရောင်
	🫶🏾;လက်ချောင်းများဖြင့် အသည်းနှလုံးပုံဖော်ခြင်း − အသားညိုရောင်;ချစ်ခြင်း|လက်ချောင်းများဖြင့် အသည်းနှလုံးပုံဖော်ခြင်း|အသားညိုရောင်
	🫶🏿;လက်ချောင်းများဖြင့် အသည်းနှလုံးပုံဖော်ခြင်း − အသားမည်းရောင်;ချစ်ခြင်း|လက်ချောင်းများဖြင့် အသည်းနှလုံးပုံဖော်ခြင်း|အသားမည်းရောင်
👐;ဖွင့်ထားသည့် လက်များ;ဖွင့်ထားသည့် လက်များ|လက်|လက်နှစ်ခြောင်း ဖြန့်ထားပုံ
	👐🏻;ဖွင့်ထားသည့် လက်များ − အသားဖြူရောင်;ဖွင့်ထားသည့် လက်များ|လက်|လက်နှစ်ခြောင်း ဖြန့်ထားပုံ|အသားဖြူရောင်
	👐🏼;ဖွင့်ထားသည့် လက်များ − အသားနုရောင်;ဖွင့်ထားသည့် လက်များ|လက်|လက်နှစ်ခြောင်း ဖြန့်ထားပုံ|အသားနုရောင်
	👐🏽;ဖွင့်ထားသည့် လက်များ − အသားလတ်ရောင်;ဖွင့်ထားသည့် လက်များ|လက်|လက်နှစ်ခြောင်း ဖြန့်ထားပုံ|အသားလတ်ရောင်
	👐🏾;ဖွင့်ထားသည့် လက်များ − အသားညိုရောင်;ဖွင့်ထားသည့် လက်များ|လက်|လက်နှစ်ခြောင်း ဖြန့်ထားပုံ|အသားညိုရောင်
	👐🏿;ဖွင့်ထားသည့် လက်များ − အသားမည်းရောင်;ဖွင့်ထားသည့် လက်များ|လက်|လက်နှစ်ခြောင်း ဖြန့်ထားပုံ|အသားမည်းရောင်
🤲;လက်နှစ်ဘက်အတူတူမြှောက်သည်;ဆုတောင်းသူ|လက်နှစ်ဘက်အတူတူမြှောက်သည်
	🤲🏻;လက်နှစ်ဘက်အတူတူမြှောက်သည် − အသားဖြူရောင်;ဆုတောင်းသူ|လက်နှစ်ဘက်အတူတူမြှောက်သည်|အသားဖြူရောင်
	🤲🏼;လက်နှစ်ဘက်အတူတူမြှောက်သည် − အသားနုရောင်;ဆုတောင်းသူ|လက်နှစ်ဘက်အတူတူမြှောက်သည်|အသားနုရောင်
	🤲🏽;လက်နှစ်ဘက်အတူတူမြှောက်သည် − အသားလတ်ရောင်;ဆုတောင်းသူ|လက်နှစ်ဘက်အတူတူမြှောက်သည်|အသားလတ်ရောင်
	🤲🏾;လက်နှစ်ဘက်အတူတူမြှောက်သည် − အသားညိုရောင်;ဆုတောင်းသူ|လက်နှစ်ဘက်အတူတူမြှောက်သည်|အသားညိုရောင်
	🤲🏿;လက်နှစ်ဘက်အတူတူမြှောက်သည် − အသားမည်းရောင်;ဆုတောင်းသူ|လက်နှစ်ဘက်အတူတူမြှောက်သည်|အသားမည်းရောင်
🤝;လက်ဆွဲနှုတ်ဆက်;ဆွဲလှုပ်|တွေ့ဆုံခြင်း|လက်|လက်ဆွဲနှုတ်ဆက်|သဘောတူညီချက်
	🤝🏻;လက်ဆွဲနှုတ်ဆက် − အသားဖြူရောင်;ဆွဲလှုပ်|တွေ့ဆုံခြင်း|လက်|လက်ဆွဲနှုတ်ဆက်|သဘောတူညီချက်|အသားဖြူရောင်
	🤝🏼;လက်ဆွဲနှုတ်ဆက် − အသားနုရောင်;ဆွဲလှုပ်|တွေ့ဆုံခြင်း|လက်|လက်ဆွဲနှုတ်ဆက်|သဘောတူညီချက်|အသားနုရောင်
	🤝🏽;လက်ဆွဲနှုတ်ဆက် − အသားလတ်ရောင်;ဆွဲလှုပ်|တွေ့ဆုံခြင်း|လက်|လက်ဆွဲနှုတ်ဆက်|သဘောတူညီချက်|အသားလတ်ရောင်
