# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;दाँत दिखाता चेहरा;खीस|खुश|चेहरा|दाँत दिखाता चेहरा|मजाकिया
📳;वाइब्रेशन मोड;कंपन मोड|फ़ोन|मोड|मोबाइल|वाइब्रेशन|सेल फ़ोन
📴;मोबाइल फ़ोन बंद;फ़ोन|बंद|मोबाइल|सेल फ़ोन|सेल फ़ोन बंद
♀️;मादा चिह्न;औरत|मादा चिह्न
♂️;नर चिह्न;आदमी|नर चिह्न|पुरुष
⚧️;ट्रांसजेंडर चिह्न;ट्रांसजेंडर|ट्रांसजेंडर चिह्न
✖️;गुणा;x|गुणन|गुणा|बड़ा क्रॉस चिह्न
➕;धन चिह्न;+|गणित|चिह्न|धन|भारी प्लस चिह्न
➖;ऋण;-|−|ऋण|गणित|चिह्न
➗;भाग;÷|गणित|चिह्न|भाग|विभाजन
🟰;मोटा बराबर चिह्न;एक जैसा|गणित|जवाब|बराबर|बराबरी|मोटा बराबर चिह्न|समानता
♾️;अनंत;अनंत|अपार|सार्वभौमिक|हमेशा
‼️;दोहरा विस्मयादिबोधक चिह्न;चिह्न|चिह्न विचार|दोहरा विस्मयादिबोधक चिह्न|विस्मयादिबोधक
⁉️;विस्मयादिबोधक प्रश्न चिह्न;चिह्न|चिह्न विचार|प्रश्न|विराम चिह्न|विस्मयादिबोधक
❓;प्रश्न चिह्न;?|चिह्न|चिह्न विचार|प्रश्न|लाल प्रश्न चिह्न
❔;सफ़ेद प्रश्न चिह्न;चिह्न|चिह्न विचार|प्रश्न|सफ़ेद प्रश्न चिह्न
❕;सफ़ेद विस्मयादिबोधक चिह्न;!|चिह्न|विस्मयादि बोधक|विस्मयादिबोधक|सफ़ेद विस्मयादिबोधक|सफ़ेद विस्मयादिबोधक चिह्न
❗;लाल विस्मयादिबोधक चिह्न;चिह्न|चिह्न विचार|लाल विस्मयादिबोधक चिह्न|विराम चिह्न|विस्मयादिबोधक
〰️;लहरिल डैश;चिह्न विचार|डैश|लहराती|लहरिल
💱;मुद्रा विनिमय;धन|पैसे|मुद्रा|विनिमय
💲;डॉलर का चिह्न;गहरा डॉलर चिह्न|डॉलर|डॉलर का चिह्न|पैसे
⚕️;चिकित्सा प्रतीक;कर्मचारी|चिकित्सा|चिकित्सा प्रतीक
♻️;पुनर्चक्रीकरण प्रतीक, रीसाइक्लिंग, वैश्विक, चिह्न;चिह्न|ठोस वैश्विक पुनर्चक्रीकरण प्रतीक|पुनरावृत्ति|पुनर्चक्रीकरण प्रतीक|पुनर्चक्रीकरण प्रतीक, रीसाइक्लिंग, वैश्विक, चिह्न|रीसाइक्लिंग|वैश्विक
⚜️;कुमुदिनी का फूल;कुमुदिनी का फूल|शूरवीर
🔱;त्रिशूल का चिह्न;एंकर|त्रिशूल|त्रिशूल का चिह्न|प्रतीक
📛;नाम बैज, बैज;नाम|नाम बैज, बैज|बिल्ला|बैज
🔰;हरी और पीली पत्ती, शुरुआतकर्ता के लिए जापानी चिह्न;पत्ती|शुरुआतकर्ता के लिए जापानी चिह्न|हरा और पीला|हरी और पीली पत्ती|हरी और पीली पत्ती, शुरुआतकर्ता के लिए जापानी चिह्न
⭕;बड़ा लाल छल्ला;गोला|बड़ा लाल छल्ला|वृत्त
✅;सफेद चेक मार्क, सही का चिह्न;चेक|चेक मार्क|पूरा|पूर्ण|बड़ा चेक मार्क|सफेद चेक मार्क|सफेद चेक मार्क, सही का चिह्न|सही का चिह्न
☑️;चेक के साथ मतपत्र, मतपत्र;चेक के साथ मतपत्र|चेक के साथ मतपत्र, मतपत्र|बॉक्स|मतपत्र
✔️;बड़ा चेक मार्क;चेक|चेकमार्क|बड़ा चेक मार्क|मार्क
❌;क्रॉस चिह्न;x|क्रॉस चिह्न|गुणन|गुणा
❎;क्रॉस चिह्न बटन;क्रॉस चिह्न बटन|गुणन|गुणा|चिह्न|वर्ग
➰;लहरदार फंदा;मोड़|लहरदार फंदा|लूप
➿;दोहरा कर्ली लूप;दोहरा|दोहरा कर्ली लूप|दोहरा लहरदार फंदा|लहरदार फंदा|लूप
〽️;भाग परिवर्तन चिह्न;एक भाग|चिह्न|निशान|भाग परिवर्तन चिह्न
✳️;आठ सिरों वाला तारक चिह्न;आठ सिरों वाला तारक चिह्न|चिह्न|तारांकन|तारे का चिहन
✴️;आठ किनारों वाला तारा;आठ किनारों वाला तारा|चिह्न|तारा
