# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;חיוך רחב;חיוך|חיוך רחב|מחייך|פרצוף|שמח
	👨🏻‍🚀;אסטרונאוט: גוון עור בהיר;איש|אסטרונאוט|גבר|גוון עור בהיר|חלל|חללית|משימת חלל
	👨🏼‍🚀;אסטרונאוט: גוון עור בהיר בינוני;איש|אסטרונאוט|גבר|גוון עור בהיר בינוני|חלל|חללית|משימת חלל
	👨🏽‍🚀;אסטרונאוט: גוון עור בינוני;איש|אסטרונאוט|גבר|גוון עור בינוני|חלל|חללית|משימת חלל
	👨🏾‍🚀;אסטרונאוט: גוון עור כהה בינוני;איש|אסטרונאוט|גבר|גוון עור כהה בינוני|חלל|חללית|משימת חלל
	👨🏿‍🚀;אסטרונאוט: גוון עור כהה;איש|אסטרונאוט|גבר|גוון עור כהה|חלל|חללית|משימת חלל
👩‍🚀;אסטרונאוטית;אישה|אסטרונאוטית|חלל|חללית
	👩🏻‍🚀;אסטרונאוטית: גוון עור בהיר;אישה|אסטרונאוטית|גוון עור בהיר|חלל|חללית
	👩🏼‍🚀;אסטרונאוטית: גוון עור בהיר בינוני;אישה|אסטרונאוטית|גוון עור בהיר בינוני|חלל|חללית
	👩🏽‍🚀;אסטרונאוטית: גוון עור בינוני;אישה|אסטרונאוטית|גוון עור בינוני|חלל|חללית
	👩🏾‍🚀;אסטרונאוטית: גוון עור כהה בינוני;אישה|אסטרונאוטית|גוון עור כהה בינוני|חלל|חללית
	👩🏿‍🚀;אסטרונאוטית: גוון עור כהה;אישה|אסטרונאוטית|גוון עור כהה|חלל|חללית
🧑‍🚒;לוחם/ת אש;כבאות|כבאי|כבאית|כיבוי|לוחם אש|לוחמת אש|מכבי אש
	🧑🏻‍🚒;לוחם/ת אש: גוון עור בהיר;גוון עור בהיר|כבאות|כבאי|כבאית|כיבוי|לוחם אש|לוחמת אש|מכבי אש
	🧑🏼‍🚒;לוחם/ת אש: גוון עור בהיר בינוני;גוון עור בהיר בינוני|כבאות|כבאי|כבאית|כיבוי|לוחם אש|לוחמת אש|מכבי אש
	🧑🏽‍🚒;לוחם/ת אש: גוון עור בינוני;גוון עור בינוני|כבאות|כבאי|כבאית|כיבוי|לוחם אש|לוחמת אש|מכבי אש
	🧑🏾‍🚒;לוחם/ת אש: גוון עור כהה בינוני;גוון עור כהה בינוני|כבאות|כבאי|כבאית|כיבוי|לוחם אש|לוחמת אש|מכבי אש
	🧑🏿‍🚒;לוחם/ת אש: גוון עור כהה;גוון עור כהה|כבאות|כבאי|כבאית|כיבוי|לוחם אש|לוחמת אש|מכבי אש
👨‍🚒;לוחם אש;איש|גבר|כבאי|כיבוי|לוחם אש|מכבי אש
	👨🏻‍🚒;לוחם אש: גוון עור בהיר;איש|גבר|גוון עור בהיר|כבאי|כיבוי|לוחם אש|מכבי אש
	👨🏼‍🚒;לוחם אש: גוון עור בהיר בינוני;איש|גבר|גוון עור בהיר בינוני|כבאי|כיבוי|לוחם אש|מכבי אש
	👨🏽‍🚒;לוחם אש: גוון עור בינוני;איש|גבר|גוון עור בינוני|כבאי|כיבוי|לוחם אש|מכבי אש
	👨🏾‍🚒;לוחם אש: גוון עור כהה בינוני;איש|גבר|גוון עור כהה בינוני|כבאי|כיבוי|לוחם אש|מכבי אש
	👨🏿‍🚒;לוחם אש: גוון עור כהה;איש|גבר|גוון עור כהה|כבאי|כיבוי|לוחם אש|מכבי אש
👩‍🚒;לוחמת אש;אישה|כבאית|כיבוי|לוחמת אש|מכבי אש
	👩🏻‍🚒;לוחמת אש: גוון עור בהיר;אישה|גוון עור בהיר|כבאית|כיבוי|לוחמת אש|מכבי אש
	👩🏼‍🚒;לוחמת אש: גוון עור בהיר בינוני;אישה|גוון עור בהיר בינוני|כבאית|כיבוי|לוחמת אש|מכבי אש
	👩🏽‍🚒;לוחמת אש: גוון עור בינוני;אישה|גוון עור בינוני|כבאית|כיבוי|לוחמת אש|מכבי אש
	👩🏾‍🚒;לוחמת אש: גוון עור כהה בינוני;אישה|גוון עור כהה בינוני|כבאית|כיבוי|לוחמת אש|מכבי אש
	👩🏿‍🚒;לוחמת אש: גוון עור כהה;אישה|גוון עור כהה|כבאית|כיבוי|לוחמת אש|מכבי אש
👮;שוטר;אדם|זימון לבית משפט|חוק|חוק וסדר|מעצר|משטרה|סוכן חשאי|קצין משטרה|שוטר
	👮🏻;שוטר: גוון עור בהיר;אדם|גוון עור בהיר|זימון לבית משפט|חוק|חוק וסדר|מעצר|משטרה|סוכן חשאי|קצין משטרה|שוטר
	👮🏼;שוטר: גוון עור בהיר בינוני;אדם|גוון עור בהיר בינוני|זימון לבית משפט|חוק|חוק וסדר|מעצר|משטרה|סוכן חשאי|קצין משטרה|שוטר
	👮🏽;שוטר: גוון עור בינוני;אדם|גוון עור בינוני|זימון לבית משפט|חוק|חוק וסדר|מעצר|משטרה|סוכן חשאי|קצין משטרה|שוטר
	👮🏾;שוטר: גוון עור כהה בינוני;אדם|גוון עור כהה בינוני|זימון לבית משפט|חוק|חוק וסדר|מעצר|משטרה|סוכן חשאי|קצין משטרה|שוטר
	👮🏿;שוטר: גוון עור כהה;אדם|גוון עור כהה|זימון לבית משפט|חוק|חוק וסדר|מעצר|משטרה|סוכן חשאי|קצין משטרה|שוטר
👮‍♂️;קצין משטרה;איש|גבר|משטרה|קצין משטרה|שוטר
	👮🏻‍♂️;קצין משטרה: גוון עור בהיר;איש|גבר|גוון עור בהיר|משטרה|קצין משטרה|שוטר
	👮🏼‍♂️;קצין משטרה: גוון עור בהיר בינוני;איש|גבר|גוון עור בהיר בינוני|משטרה|קצין משטרה|שוטר
	👮🏽‍♂️;קצין משטרה: גוון עור בינוני;איש|גבר|גוון עור בינוני|משטרה|קצין משטרה|שוטר
	👮🏾‍♂️;קצין משטרה: גוון עור כהה בינוני;איש|גבר|גוון עור כהה בינוני|משטרה|קצין משטרה|שוטר
	👮🏿‍♂️;קצין משטרה: גוון עור כהה;איש|גבר|גוון עור כהה|משטרה|קצין משטרה|שוטר
👮‍♀️;קצינת משטרה;אדם|אישה|חוק|מעצר|משטרה|צו מעצר|קצינת משטרה|שוטרת|שוטרת סמויה
	👮🏻‍♀️;קצינת משטרה: גוון עור בהיר;אדם|אישה|גוון עור בהיר|חוק|מעצר|משטרה|צו מעצר|קצינת משטרה|שוטרת|שוטרת סמויה
	👮🏼‍♀️;קצינת משטרה: גוון עור בהיר בינוני;אדם|אישה|גוון עור בהיר בינוני|חוק|מעצר|משטרה|צו מעצר|קצינת משטרה|שוטרת|שוטרת סמויה
	👮🏽‍♀️;קצינת משטרה: גוון עור בינוני;אדם|אישה|גוון עור בינוני|חוק|מעצר|משטרה|צו מעצר|קצינת משטרה|שוטרת|שוטרת סמויה
	👮🏾‍♀️;קצינת משטרה: גוון עור כהה בינוני;אדם|אישה|גוון עור כהה בינוני|חוק|מעצר|משטרה|צו מעצר|קצינת משטרה|שוטרת|שוטרת סמויה
	👮🏿‍♀️;קצינת משטרה: גוון עור כהה;אדם|אישה|גוון עור כהה|חוק|מעצר|משטרה|צו מעצר|קצינת משטרה|שוטרת|שוטרת סמויה
🕵️;בלש;בלש|מרגל
	🕵🏻;בלש: גוון עור בהיר;בלש|גוון עור בהיר|מרגל
	🕵🏼;בלש: גוון עור בהיר בינוני;בלש|גוון עור בהיר בינוני|מרגל
	🕵🏽;בלש: גוון עור בינוני;בלש|גוון עור בינוני|מרגל
	🕵🏾;בלש: גוון עור כהה בינוני;בלש|גוון עור כהה בינוני|מרגל
	🕵🏿;בלש: גוון עור כהה;בלש|גוון עור כהה|מרגל
🕵️‍♂️;חוקר פרטי;איש|בלש|גבר|חוקר פרטי|מרגל
	🕵🏻‍♂️;חוקר פרטי: גוון עור בהיר;איש|בלש|גבר|גוון עור בהיר|חוקר פרטי|מרגל
	🕵🏼‍♂️;חוקר פרטי: גוון עור בהיר בינוני;איש|בלש|גבר|גוון עור בהיר בינוני|חוקר פרטי|מרגל
	🕵🏽‍♂️;חוקר פרטי: גוון עור בינוני;איש|בלש|גבר|גוון עור בינוני|חוקר פרטי|מרגל
	🕵🏾‍♂️;חוקר פרטי: גוון עור כהה בינוני;איש|בלש|גבר|גוון עור כהה בינוני|חוקר פרטי|מרגל
	🕵🏿‍♂️;חוקר פרטי: גוון עור כהה;איש|בלש|גבר|גוון עור כהה|חוקר פרטי|מרגל
🕵️‍♀️;חוקרת פרטית;אישה|בלשית|חוקרת פרטית|מרגלת
	🕵🏻‍♀️;חוקרת פרטית: גוון עור בהיר;אישה|בלשית|גוון עור בהיר|חוקרת פרטית|מרגלת
	🕵🏼‍♀️;חוקרת פרטית: גוון עור בהיר בינוני;אישה|בלשית|גוון עור בהיר בינוני|חוקרת פרטית|מרגלת
	🕵🏽‍♀️;חוקרת פרטית: גוון עור בינוני;אישה|בלשית|גוון עור בינוני|חוקרת פרטית|מרגלת
	🕵🏾‍♀️;חוקרת פרטית: גוון עור כהה בינוני;אישה|בלשית|גוון עור כהה בינוני|חוקרת פרטית|מרגלת
	🕵🏿‍♀️;חוקרת פרטית: גוון עור כהה;אישה|בלשית|גוון עור כהה|חוקרת פרטית|מרגלת
💂;שומר;אבטחה|אנגליה|ארמון בקינגהאם|באקינגהאם|לונדון|מאבטח|משמר המלכה|שומר|שמירה
	💂🏻;שומר: גוון עור בהיר;אבטחה|אנגליה|ארמון בקינגהאם|באקינגהאם|גוון עור בהיר|לונדון|מאבטח|משמר המלכה|שומר|שמירה
	💂🏼;שומר: גוון עור בהיר בינוני;אבטחה|אנגליה|ארמון בקינגהאם|באקינגהאם|גוון עור בהיר בינוני|לונדון|מאבטח|משמר המלכה|שומר|שמירה
	💂🏽;שומר: גוון עור בינוני;אבטחה|אנגליה|ארמון בקינגהאם|באקינגהאם|גוון עור בינוני|לונדון|מאבטח|משמר המלכה|שומר|שמירה
	💂🏾;שומר: גוון עור כהה בינוני;אבטחה|אנגליה|ארמון בקינגהאם|באקינגהאם|גוון עור כהה בינוני|לונדון|מאבטח|משמר המלכה|שומר|שמירה
	💂🏿;שומר: גוון עור כהה;אבטחה|אנגליה|ארמון בקינגהאם|באקינגהאם|גוון עור כהה|לונדון|מאבטח|משמר המלכה|שומר|שמירה
💂‍♂️;מאבטח;איש|גבר|מאבטח|שומר
	💂🏻‍♂️;מאבטח: גוון עור בהיר;איש|גבר|גוון עור בהיר|מאבטח|שומר
	💂🏼‍♂️;מאבטח: גוון עור בהיר בינוני;איש|גבר|גוון עור בהיר בינוני|מאבטח|שומר
	💂🏽‍♂️;מאבטח: גוון עור בינוני;איש|גבר|גוון עור בינוני|מאבטח|שומר
	💂🏾‍♂️;מאבטח: גוון עור כהה בינוני;איש|גבר|גוון עור כהה בינוני|מאבטח|שומר
	💂🏿‍♂️;מאבטח: גוון עור כהה;איש|גבר|גוון עור כהה|מאבטח|שומר
💂‍♀️;שומרת;אישה|ארמון באקינגהאם|לונדון|מאבטחת|משמר המלכה|שומרת
	💂🏻‍♀️;שומרת: גוון עור בהיר;אישה|ארמון באקינגהאם|גוון עור בהיר|לונדון|מאבטחת|משמר המלכה|שומרת
	💂🏼‍♀️;שומרת: גוון עור בהיר בינוני;אישה|ארמון באקינגהאם|גוון עור בהיר בינוני|לונדון|מאבטחת|משמר המלכה|שומרת
	💂🏽‍♀️;שומרת: גוון עור בינוני;אישה|ארמון באקינגהאם|גוון עור בינוני|לונדון|מאבטחת|משמר המלכה|שומרת
	💂🏾‍♀️;שומרת: גוון עור כהה בינוני;אישה|ארמון באקינגהאם|גוון עור כהה בינוני|לונדון|מאבטחת|משמר המלכה|שומרת
	💂🏿‍♀️;שומרת: גוון עור כהה;אישה|ארמון באקינגהאם|גוון עור כהה|לונדון|מאבטחת|משמר המלכה|שומרת
🥷;נינג׳ה;אומנויות לחימה|לוחם|נינג׳ה
	🥷🏻;נינג׳ה: גוון עור בהיר;אומנויות לחימה|גוון עור בהיר|לוחם|נינג׳ה
	🥷🏼;נינג׳ה: גוון עור בהיר בינוני;אומנויות לחימה|גוון עור בהיר בינוני|לוחם|נינג׳ה
	🥷🏽;נינג׳ה: גוון עור בינוני;אומנויות לחימה|גוון עור בינוני|לוחם|נינג׳ה
	🥷🏾;נינג׳ה: גוון עור כהה בינוני;אומנויות לחימה|גוון עור כהה בינוני|לוחם|נינג׳ה
	🥷🏿;נינג׳ה: גוון עור כהה;אומנויות לחימה|גוון עור כהה|לוחם|נינג׳ה
👷;פועל בניין;אדם|איש|בטיחות|מהנדס|עובד בבניין|עובד בניין|פועל|פועל בניין|קסדה
	👷🏻;פועל בניין: גוון עור בהיר;אדם|איש|בטיחות|גוון עור בהיר|מהנדס|עובד בבניין|עובד בניין|פועל|פועל בניין|קסדה
	👷🏼;פועל בניין: גוון עור בהיר בינוני;אדם|איש|בטיחות|גוון עור בהיר בינוני|מהנדס|עובד בבניין|עובד בניין|פועל|פועל בניין|קסדה
	👷🏽;פועל בניין: גוון עור בינוני;אדם|איש|בטיחות|גוון עור בינוני|מהנדס|עובד בבניין|עובד בניין|פועל|פועל בניין|קסדה
	👷🏾;פועל בניין: גוון עור כהה בינוני;אדם|איש|בטיחות|גוון עור כהה בינוני|מהנדס|עובד בבניין|עובד בניין|פועל|פועל בניין|קסדה
	👷🏿;פועל בניין: גוון עור כהה;אדם|איש|בטיחות|גוון עור כהה|מהנדס|עובד בבניין|עובד בניין|פועל|פועל בניין|קסדה
👷‍♂️;בנאי;איש|בנאי|בניין|גבר|פועל
	👷🏻‍♂️;בנאי: גוון עור בהיר;איש|בנאי|בניין|גבר|גוון עור בהיר|פועל
	👷🏼‍♂️;בנאי: גוון עור בהיר בינוני;איש|בנאי|בניין|גבר|גוון עור בהיר בינוני|פועל
	👷🏽‍♂️;בנאי: גוון עור בינוני;איש|בנאי|בניין|גבר|גוון עור בינוני|פועל
