# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;خنده;خنده|صورت|صورت با لبخند|لبخند|نیش باز
	🤦🏽‍♂️;مرد با کف دست به پیشانی می‌زند: پوست طلایی;افتضاح|ای وای|با کف دست به پیشانی زدن|باورم نمیشه|باورم نمی‌شود|پوست طلایی|خجالت دارد|دست|شوک|صورت|کف دست|گذاشتن دست ها روی صورت|مرد|مرد با کف دست به پیشانی می‌زند|مرد مستأصل|مرد ناراحت|ناامیدی
	🤦🏾‍♂️;مرد با کف دست به پیشانی می‌زند: پوست گندمی;افتضاح|ای وای|با کف دست به پیشانی زدن|باورم نمیشه|باورم نمی‌شود|پوست گندمی|خجالت دارد|دست|شوک|صورت|کف دست|گذاشتن دست ها روی صورت|مرد|مرد با کف دست به پیشانی می‌زند|مرد مستأصل|مرد ناراحت|ناامیدی
	🤦🏿‍♂️;مرد با کف دست به پیشانی می‌زند: پوست آبنوسی;افتضاح|ای وای|با کف دست به پیشانی زدن|باورم نمیشه|باورم نمی‌شود|پوست آبنوسی|خجالت دارد|دست|شوک|صورت|کف دست|گذاشتن دست ها روی صورت|مرد|مرد با کف دست به پیشانی می‌زند|مرد مستأصل|مرد ناراحت|ناامیدی
🤦‍♀️;زن با کف دست به پیشانی می‌زند;افتضاح|ای وای|با کف دست به پیشانی زدن|باورم نمیشه|باورم نمی‌شود|خجالت دارد|دست|زن|زن با کف دست به پیشانی می‌زند|زن مستأصل|شوک|صورت|کف دست|گذاشتن دست ها روی صورت|ناامیدی
	🤦🏻‍♀️;زن با کف دست به پیشانی می‌زند: پوست سفید;افتضاح|ای وای|با کف دست به پیشانی زدن|باورم نمیشه|باورم نمی‌شود|پوست سفید|خجالت دارد|دست|زن|زن با کف دست به پیشانی می‌زند|زن مستأصل|شوک|صورت|کف دست|گذاشتن دست ها روی صورت|ناامیدی
	🤦🏼‍♀️;زن با کف دست به پیشانی می‌زند: پوست روشن;افتضاح|ای وای|با کف دست به پیشانی زدن|باورم نمیشه|باورم نمی‌شود|پوست روشن|خجالت دارد|دست|زن|زن با کف دست به پیشانی می‌زند|زن مستأصل|شوک|صورت|کف دست|گذاشتن دست ها روی صورت|ناامیدی
	🤦🏽‍♀️;زن با کف دست به پیشانی می‌زند: پوست طلایی;افتضاح|ای وای|با کف دست به پیشانی زدن|باورم نمیشه|باورم نمی‌شود|پوست طلایی|خجالت دارد|دست|زن|زن با کف دست به پیشانی می‌زند|زن مستأصل|شوک|صورت|کف دست|گذاشتن دست ها روی صورت|ناامیدی
	🤦🏾‍♀️;زن با کف دست به پیشانی می‌زند: پوست گندمی;افتضاح|ای وای|با کف دست به پیشانی زدن|باورم نمیشه|باورم نمی‌شود|پوست گندمی|خجالت دارد|دست|زن|زن با کف دست به پیشانی می‌زند|زن مستأصل|شوک|صورت|کف دست|گذاشتن دست ها روی صورت|ناامیدی
	🤦🏿‍♀️;زن با کف دست به پیشانی می‌زند: پوست آبنوسی;افتضاح|ای وای|با کف دست به پیشانی زدن|باورم نمیشه|باورم نمی‌شود|پوست آبنوسی|خجالت دارد|دست|زن|زن با کف دست به پیشانی می‌زند|زن مستأصل|شوک|صورت|کف دست|گذاشتن دست ها روی صورت|ناامیدی
🤷;شانه بالا انداختن;بدن|به من چه|حالا هرچی|زن|شانه بالا انداختن|شاید|شک|شک داشتن|کی میدونه|ندانستن|نمی‌دانم
	🤷🏻;شانه بالا انداختن: پوست سفید;بدن|به من چه|پوست سفید|حالا هرچی|زن|شانه بالا انداختن|شاید|شک|شک داشتن|کی میدونه|ندانستن|نمی‌دانم
	🤷🏼;شانه بالا انداختن: پوست روشن;بدن|به من چه|پوست روشن|حالا هرچی|زن|شانه بالا انداختن|شاید|شک|شک داشتن|کی میدونه|ندانستن|نمی‌دانم
	🤷🏽;شانه بالا انداختن: پوست طلایی;بدن|به من چه|پوست طلایی|حالا هرچی|زن|شانه بالا انداختن|شاید|شک|شک داشتن|کی میدونه|ندانستن|نمی‌دانم
	🤷🏾;شانه بالا انداختن: پوست گندمی;بدن|به من چه|پوست گندمی|حالا هرچی|زن|شانه بالا انداختن|شاید|شک|شک داشتن|کی میدونه|ندانستن|نمی‌دانم
	🤷🏿;شانه بالا انداختن: پوست آبنوسی;بدن|به من چه|پوست آبنوسی|حالا هرچی|زن|شانه بالا انداختن|شاید|شک|شک داشتن|کی میدونه|ندانستن|نمی‌دانم
🤷‍♂️;مرد شانه بالا می‌اندازد;احتمالا|به من چه|بی‌تفاوتی|حالا هر چی|شانه بالا انداختن|شاید|شک|کی میدونه|مرد|مرد شانه بالا می‌اندازد|مطمئن نبودن|ندانستن|نمی دونم|نمی‌دانم
	🤷🏻‍♂️;مرد شانه بالا می‌اندازد: پوست سفید;احتمالا|به من چه|بی‌تفاوتی|پوست سفید|حالا هر چی|شانه بالا انداختن|شاید|شک|کی میدونه|مرد|مرد شانه بالا می‌اندازد|مطمئن نبودن|ندانستن|نمی دونم|نمی‌دانم
	🤷🏼‍♂️;مرد شانه بالا می‌اندازد: پوست روشن;احتمالا|به من چه|بی‌تفاوتی|پوست روشن|حالا هر چی|شانه بالا انداختن|شاید|شک|کی میدونه|مرد|مرد شانه بالا می‌اندازد|مطمئن نبودن|ندانستن|نمی دونم|نمی‌دانم
	🤷🏽‍♂️;مرد شانه بالا می‌اندازد: پوست طلایی;احتمالا|به من چه|بی‌تفاوتی|پوست طلایی|حالا هر چی|شانه بالا انداختن|شاید|شک|کی میدونه|مرد|مرد شانه بالا می‌اندازد|مطمئن نبودن|ندانستن|نمی دونم|نمی‌دانم
	🤷🏾‍♂️;مرد شانه بالا می‌اندازد: پوست گندمی;احتمالا|به من چه|بی‌تفاوتی|پوست گندمی|حالا هر چی|شانه بالا انداختن|شاید|شک|کی میدونه|مرد|مرد شانه بالا می‌اندازد|مطمئن نبودن|ندانستن|نمی دونم|نمی‌دانم
	🤷🏿‍♂️;مرد شانه بالا می‌اندازد: پوست آبنوسی;احتمالا|به من چه|بی‌تفاوتی|پوست آبنوسی|حالا هر چی|شانه بالا انداختن|شاید|شک|کی میدونه|مرد|مرد شانه بالا می‌اندازد|مطمئن نبودن|ندانستن|نمی دونم|نمی‌دانم
🤷‍♀️;زن شانه بالا می‌اندازد;آدم|احتمالا|بدن|به من چه|بی‌تفاوتی|حالا هر چی|زن|زن شانه بالا می‌اندازد|شانه بالا انداختن|شاید|شک|مطمئن نبودن|ندانستن|نمی دانم|نمی‌دانم
	🤷🏻‍♀️;زن شانه بالا می‌اندازد: پوست سفید;آدم|احتمالا|بدن|به من چه|بی‌تفاوتی|پوست سفید|حالا هر چی|زن|زن شانه بالا می‌اندازد|شانه بالا انداختن|شاید|شک|مطمئن نبودن|ندانستن|نمی دانم|نمی‌دانم
	🤷🏼‍♀️;زن شانه بالا می‌اندازد: پوست روشن;آدم|احتمالا|بدن|به من چه|بی‌تفاوتی|پوست روشن|حالا هر چی|زن|زن شانه بالا می‌اندازد|شانه بالا انداختن|شاید|شک|مطمئن نبودن|ندانستن|نمی دانم|نمی‌دانم
	🤷🏽‍♀️;زن شانه بالا می‌اندازد: پوست طلایی;آدم|احتمالا|بدن|به من چه|بی‌تفاوتی|پوست طلایی|حالا هر چی|زن|زن شانه بالا می‌اندازد|شانه بالا انداختن|شاید|شک|مطمئن نبودن|ندانستن|نمی دانم|نمی‌دانم
	🤷🏾‍♀️;زن شانه بالا می‌اندازد: پوست گندمی;آدم|احتمالا|بدن|به من چه|بی‌تفاوتی|پوست گندمی|حالا هر چی|زن|زن شانه بالا می‌اندازد|شانه بالا انداختن|شاید|شک|مطمئن نبودن|ندانستن|نمی دانم|نمی‌دانم
	🤷🏿‍♀️;زن شانه بالا می‌اندازد: پوست آبنوسی;آدم|احتمالا|بدن|به من چه|بی‌تفاوتی|پوست آبنوسی|حالا هر چی|زن|زن شانه بالا می‌اندازد|شانه بالا انداختن|شاید|شک|مطمئن نبودن|ندانستن|نمی دانم|نمی‌دانم
🧑‍⚕️;مأمور بهداشت;پرستار|پزشک|درمانگر|مأمور بهداشت|مراقبت بهداشتی
	🧑🏻‍⚕️;مأمور بهداشت: پوست سفید;پرستار|پزشک|پوست سفید|درمانگر|مأمور بهداشت|مراقبت بهداشتی
	🧑🏼‍⚕️;مأمور بهداشت: پوست روشن;پرستار|پزشک|پوست روشن|درمانگر|مأمور بهداشت|مراقبت بهداشتی
	🧑🏽‍⚕️;مأمور بهداشت: پوست طلایی;پرستار|پزشک|پوست طلایی|درمانگر|مأمور بهداشت|مراقبت بهداشتی
	🧑🏾‍⚕️;مأمور بهداشت: پوست گندمی;پرستار|پزشک|پوست گندمی|درمانگر|مأمور بهداشت|مراقبت بهداشتی
	🧑🏿‍⚕️;مأمور بهداشت: پوست آبنوسی;پرستار|پزشک|پوست آبنوسی|درمانگر|مأمور بهداشت|مراقبت بهداشتی
👨‍⚕️;مددکار بهداشت مرد;مددکار|مددکار بهداشت|مددکار بهداشت آقا|مددکار بهداشت مرد
	👨🏻‍⚕️;مددکار بهداشت مرد: پوست سفید;پوست سفید|مددکار|مددکار بهداشت|مددکار بهداشت آقا|مددکار بهداشت مرد
	👨🏼‍⚕️;مددکار بهداشت مرد: پوست روشن;پوست روشن|مددکار|مددکار بهداشت|مددکار بهداشت آقا|مددکار بهداشت مرد
	👨🏽‍⚕️;مددکار بهداشت مرد: پوست طلایی;پوست طلایی|مددکار|مددکار بهداشت|مددکار بهداشت آقا|مددکار بهداشت مرد
	👨🏾‍⚕️;مددکار بهداشت مرد: پوست گندمی;پوست گندمی|مددکار|مددکار بهداشت|مددکار بهداشت آقا|مددکار بهداشت مرد
	👨🏿‍⚕️;مددکار بهداشت مرد: پوست آبنوسی;پوست آبنوسی|مددکار|مددکار بهداشت|مددکار بهداشت آقا|مددکار بهداشت مرد
👩‍⚕️;مددکار بهداشت زن;مددکار|مددکار بهداشت|مددکار بهداشت خانم|مددکار بهداشت زن
	👩🏻‍⚕️;مددکار بهداشت زن: پوست سفید;پوست سفید|مددکار|مددکار بهداشت|مددکار بهداشت خانم|مددکار بهداشت زن
	👩🏼‍⚕️;مددکار بهداشت زن: پوست روشن;پوست روشن|مددکار|مددکار بهداشت|مددکار بهداشت خانم|مددکار بهداشت زن
	👩🏽‍⚕️;مددکار بهداشت زن: پوست طلایی;پوست طلایی|مددکار|مددکار بهداشت|مددکار بهداشت خانم|مددکار بهداشت زن
	👩🏾‍⚕️;مددکار بهداشت زن: پوست گندمی;پوست گندمی|مددکار|مددکار بهداشت|مددکار بهداشت خانم|مددکار بهداشت زن
	👩🏿‍⚕️;مددکار بهداشت زن: پوست آبنوسی;پوست آبنوسی|مددکار|مددکار بهداشت|مددکار بهداشت خانم|مددکار بهداشت زن
🧑‍🎓;دانش‌آموز;دانش‌آموز|دانشجو|فارغ‌التحصیل
	🧑🏻‍🎓;دانش‌آموز: پوست سفید;پوست سفید|دانش‌آموز|دانشجو|فارغ‌التحصیل
	🧑🏼‍🎓;دانش‌آموز: پوست روشن;پوست روشن|دانش‌آموز|دانشجو|فارغ‌التحصیل
	🧑🏽‍🎓;دانش‌آموز: پوست طلایی;پوست طلایی|دانش‌آموز|دانشجو|فارغ‌التحصیل
	🧑🏾‍🎓;دانش‌آموز: پوست گندمی;پوست گندمی|دانش‌آموز|دانشجو|فارغ‌التحصیل
	🧑🏿‍🎓;دانش‌آموز: پوست آبنوسی;پوست آبنوسی|دانش‌آموز|دانشجو|فارغ‌التحصیل
👨‍🎓;دانشجوی مرد;دانش‌آموز|دانشجو|دانشجوی مرد|شاگرد|فارغ‌التحصیل|محصل
	👨🏻‍🎓;دانشجوی مرد: پوست سفید;پوست سفید|دانش‌آموز|دانشجو|دانشجوی مرد|شاگرد|فارغ‌التحصیل|محصل
	👨🏼‍🎓;دانشجوی مرد: پوست روشن;پوست روشن|دانش‌آموز|دانشجو|دانشجوی مرد|شاگرد|فارغ‌التحصیل|محصل
	👨🏽‍🎓;دانشجوی مرد: پوست طلایی;پوست طلایی|دانش‌آموز|دانشجو|دانشجوی مرد|شاگرد|فارغ‌التحصیل|محصل
	👨🏾‍🎓;دانشجوی مرد: پوست گندمی;پوست گندمی|دانش‌آموز|دانشجو|دانشجوی مرد|شاگرد|فارغ‌التحصیل|محصل
	👨🏿‍🎓;دانشجوی مرد: پوست آبنوسی;پوست آبنوسی|دانش‌آموز|دانشجو|دانشجوی مرد|شاگرد|فارغ‌التحصیل|محصل
👩‍🎓;دانشجوی زن;دانش‌آموز|دانشجو|دانشجو زن|دانشجوی زن|شاگرد|فارغ‌التحصیل|محصل
	👩🏻‍🎓;دانشجوی زن: پوست سفید;پوست سفید|دانش‌آموز|دانشجو|دانشجو زن|دانشجوی زن|شاگرد|فارغ‌التحصیل|محصل
	👩🏼‍🎓;دانشجوی زن: پوست روشن;پوست روشن|دانش‌آموز|دانشجو|دانشجو زن|دانشجوی زن|شاگرد|فارغ‌التحصیل|محصل
