# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;рӯи хандон;рӯи хандон|рӯй|фарох табассум кардан
	👨🏾‍⚖️;марди судя: ранги торики миёнаи пӯст;адолат|мард|марди судя|ранги торики миёнаи пӯст|тарозу
	👨🏿‍⚖️;марди судя: ранги торики пӯст;адолат|мард|марди судя|ранги торики пӯст|тарозу
👩‍⚖️;зани судя;зан|зани судя|судя|тарозу
	👩🏻‍⚖️;зани судя: ранги равшани пӯст;зан|зани судя|ранги равшани пӯст|судя|тарозу
	👩🏼‍⚖️;зани судя: ранги равшании миёнаи пӯст;зан|зани судя|ранги равшании миёнаи пӯст|судя|тарозу
	👩🏽‍⚖️;зани судя: ранги миёнаи пӯст;зан|зани судя|ранги миёнаи пӯст|судя|тарозу
	👩🏾‍⚖️;зани судя: ранги торики миёнаи пӯст;зан|зани судя|ранги торики миёнаи пӯст|судя|тарозу
	👩🏿‍⚖️;зани судя: ранги торики пӯст;зан|зани судя|ранги торики пӯст|судя|тарозу
🧑‍🌾;;
	🧑🏻‍🌾;;
	🧑🏼‍🌾;;
	🧑🏽‍🌾;;
	🧑🏾‍🌾;;
	🧑🏿‍🌾;;
👨‍🌾;марди фермер;боғбон|мард|марди фермер|соҳиби фермаи чорво|фермер
	👨🏻‍🌾;марди фермер: ранги равшани пӯст;боғбон|мард|марди фермер|ранги равшани пӯст|соҳиби фермаи чорво|фермер
	👨🏼‍🌾;марди фермер: ранги равшании миёнаи пӯст;боғбон|мард|марди фермер|ранги равшании миёнаи пӯст|соҳиби фермаи чорво|фермер
	👨🏽‍🌾;марди фермер: ранги миёнаи пӯст;боғбон|мард|марди фермер|ранги миёнаи пӯст|соҳиби фермаи чорво|фермер
	👨🏾‍🌾;марди фермер: ранги торики миёнаи пӯст;боғбон|мард|марди фермер|ранги торики миёнаи пӯст|соҳиби фермаи чорво|фермер
	👨🏿‍🌾;марди фермер: ранги торики пӯст;боғбон|мард|марди фермер|ранги торики пӯст|соҳиби фермаи чорво|фермер
👩‍🌾;зани фермер;боғбон|зан|зани фермер|соҳиби фермаи чорво|фермер
	👩🏻‍🌾;зани фермер: ранги равшани пӯст;боғбон|зан|зани фермер|ранги равшани пӯст|соҳиби фермаи чорво|фермер
	👩🏼‍🌾;зани фермер: ранги равшании миёнаи пӯст;боғбон|зан|зани фермер|ранги равшании миёнаи пӯст|соҳиби фермаи чорво|фермер
	👩🏽‍🌾;зани фермер: ранги миёнаи пӯст;боғбон|зан|зани фермер|ранги миёнаи пӯст|соҳиби фермаи чорво|фермер
	👩🏾‍🌾;зани фермер: ранги торики миёнаи пӯст;боғбон|зан|зани фермер|ранги торики миёнаи пӯст|соҳиби фермаи чорво|фермер
	👩🏿‍🌾;зани фермер: ранги торики пӯст;боғбон|зан|зани фермер|ранги торики пӯст|соҳиби фермаи чорво|фермер
🧑‍🍳;;
	🧑🏻‍🍳;;
	🧑🏼‍🍳;;
	🧑🏽‍🍳;;
	🧑🏾‍🍳;;
	🧑🏿‍🍳;;
👨‍🍳;марди ошпаз;мард|марди ошпаз|ошпаз|сардори ошпазон
	👨🏻‍🍳;марди ошпаз: ранги равшани пӯст;мард|марди ошпаз|ошпаз|ранги равшани пӯст|сардори ошпазон
	👨🏼‍🍳;марди ошпаз: ранги равшании миёнаи пӯст;мард|марди ошпаз|ошпаз|ранги равшании миёнаи пӯст|сардори ошпазон
	👨🏽‍🍳;марди ошпаз: ранги миёнаи пӯст;мард|марди ошпаз|ошпаз|ранги миёнаи пӯст|сардори ошпазон
	👨🏾‍🍳;марди ошпаз: ранги торики миёнаи пӯст;мард|марди ошпаз|ошпаз|ранги торики миёнаи пӯст|сардори ошпазон
	👨🏿‍🍳;марди ошпаз: ранги торики пӯст;мард|марди ошпаз|ошпаз|ранги торики пӯст|сардори ошпазон
👩‍🍳;зани ошпаз;зан|зани ошпаз|ошпаз|сардори ошпазон
	👩🏻‍🍳;зани ошпаз: ранги равшани пӯст;зан|зани ошпаз|ошпаз|ранги равшани пӯст|сардори ошпазон
	👩🏼‍🍳;зани ошпаз: ранги равшании миёнаи пӯст;зан|зани ошпаз|ошпаз|ранги равшании миёнаи пӯст|сардори ошпазон
