# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ansikte med stort leende;ansikte|glad|kul|leende|roligt|skratt
	👲🏾;man med kinesisk hatt: mellanmörk hy;hatt|kinesisk hatt|man|man med hatt|man med kinesisk hatt|mellanmörk hy
	👲🏿;man med kinesisk hatt: mörk hy;hatt|kinesisk hatt|man|man med hatt|man med kinesisk hatt|mörk hy
🧕;kvinna i sjal;hijab|kvinna i sjal|sjal|slöja
	🧕🏻;kvinna i sjal: ljus hy;hijab|kvinna i sjal|ljus hy|sjal|slöja
	🧕🏼;kvinna i sjal: mellanljus hy;hijab|kvinna i sjal|mellanljus hy|sjal|slöja
	🧕🏽;kvinna i sjal: mellanfärgad hy;hijab|kvinna i sjal|mellanfärgad hy|sjal|slöja
	🧕🏾;kvinna i sjal: mellanmörk hy;hijab|kvinna i sjal|mellanmörk hy|sjal|slöja
	🧕🏿;kvinna i sjal: mörk hy;hijab|kvinna i sjal|mörk hy|sjal|slöja
🤵;person i smoking;bröllop|brudgum|person|person i smoking|smoking
	🤵🏻;person i smoking: ljus hy;bröllop|brudgum|ljus hy|person|person i smoking|smoking
	🤵🏼;person i smoking: mellanljus hy;bröllop|brudgum|mellanljus hy|person|person i smoking|smoking
	🤵🏽;person i smoking: mellanfärgad hy;bröllop|brudgum|mellanfärgad hy|person|person i smoking|smoking
	🤵🏾;person i smoking: mellanmörk hy;bröllop|brudgum|mellanmörk hy|person|person i smoking|smoking
	🤵🏿;person i smoking: mörk hy;bröllop|brudgum|mörk hy|person|person i smoking|smoking
🤵‍♂️;man i smoking;man|man i smoking|smoking
	🤵🏻‍♂️;man i smoking: ljus hy;ljus hy|man|man i smoking|smoking
	🤵🏼‍♂️;man i smoking: mellanljus hy;man|man i smoking|mellanljus hy|smoking
	🤵🏽‍♂️;man i smoking: mellanfärgad hy;man|man i smoking|mellanfärgad hy|smoking
	🤵🏾‍♂️;man i smoking: mellanmörk hy;man|man i smoking|mellanmörk hy|smoking
	🤵🏿‍♂️;man i smoking: mörk hy;man|man i smoking|mörk hy|smoking
🤵‍♀️;kvinna i smoking;kvinna|kvinna i smoking|smoking
	🤵🏻‍♀️;kvinna i smoking: ljus hy;kvinna|kvinna i smoking|ljus hy|smoking
	🤵🏼‍♀️;kvinna i smoking: mellanljus hy;kvinna|kvinna i smoking|mellanljus hy|smoking
	🤵🏽‍♀️;kvinna i smoking: mellanfärgad hy;kvinna|kvinna i smoking|mellanfärgad hy|smoking
	🤵🏾‍♀️;kvinna i smoking: mellanmörk hy;kvinna|kvinna i smoking|mellanmörk hy|smoking
	🤵🏿‍♀️;kvinna i smoking: mörk hy;kvinna|kvinna i smoking|mörk hy|smoking
👰;person i brudslöja;bröllop|brud|brud med slöja|brudslöja|person|person i brudslöja
	👰🏻;person i brudslöja: ljus hy;bröllop|brud|brud med slöja|brudslöja|ljus hy|person|person i brudslöja
	👰🏼;person i brudslöja: mellanljus hy;bröllop|brud|brud med slöja|brudslöja|mellanljus hy|person|person i brudslöja
	👰🏽;person i brudslöja: mellanfärgad hy;bröllop|brud|brud med slöja|brudslöja|mellanfärgad hy|person|person i brudslöja
	👰🏾;person i brudslöja: mellanmörk hy;bröllop|brud|brud med slöja|brudslöja|mellanmörk hy|person|person i brudslöja
	👰🏿;person i brudslöja: mörk hy;bröllop|brud|brud med slöja|brudslöja|mörk hy|person|person i brudslöja
👰‍♂️;man i brudslöja;brudslöja|man|man i brudslöja
	👰🏻‍♂️;man i brudslöja: ljus hy;brudslöja|ljus hy|man|man i brudslöja
	👰🏼‍♂️;man i brudslöja: mellanljus hy;brudslöja|man|man i brudslöja|mellanljus hy
	👰🏽‍♂️;man i brudslöja: mellanfärgad hy;brudslöja|man|man i brudslöja|mellanfärgad hy
	👰🏾‍♂️;man i brudslöja: mellanmörk hy;brudslöja|man|man i brudslöja|mellanmörk hy
	👰🏿‍♂️;man i brudslöja: mörk hy;brudslöja|man|man i brudslöja|mörk hy
👰‍♀️;kvinna i brudslöja;brudslöja|kvinna|kvinna i brudslöja
	👰🏻‍♀️;kvinna i brudslöja: ljus hy;brudslöja|kvinna|kvinna i brudslöja|ljus hy
	👰🏼‍♀️;kvinna i brudslöja: mellanljus hy;brudslöja|kvinna|kvinna i brudslöja|mellanljus hy
	👰🏽‍♀️;kvinna i brudslöja: mellanfärgad hy;brudslöja|kvinna|kvinna i brudslöja|mellanfärgad hy
	👰🏾‍♀️;kvinna i brudslöja: mellanmörk hy;brudslöja|kvinna|kvinna i brudslöja|mellanmörk hy
	👰🏿‍♀️;kvinna i brudslöja: mörk hy;brudslöja|kvinna|kvinna i brudslöja|mörk hy
🤰;gravid kvinna;gravid|kvinna
	🤰🏻;gravid kvinna: ljus hy;gravid|kvinna|ljus hy
	🤰🏼;gravid kvinna: mellanljus hy;gravid|kvinna|mellanljus hy
	🤰🏽;gravid kvinna: mellanfärgad hy;gravid|kvinna|mellanfärgad hy
	🤰🏾;gravid kvinna: mellanmörk hy;gravid|kvinna|mellanmörk hy
	🤰🏿;gravid kvinna: mörk hy;gravid|kvinna|mörk hy
🫃;gravid man;gravid|gravid man|proppmätt|stor mage|uppsvälld
	🫃🏻;gravid man: ljus hy;gravid|gravid man|ljus hy|proppmätt|stor mage|uppsvälld
	🫃🏼;gravid man: mellanljus hy;gravid|gravid man|mellanljus hy|proppmätt|stor mage|uppsvälld
	🫃🏽;gravid man: mellanfärgad hy;gravid|gravid man|mellanfärgad hy|proppmätt|stor mage|uppsvälld
	🫃🏾;gravid man: mellanmörk hy;gravid|gravid man|mellanmörk hy|proppmätt|stor mage|uppsvälld
	🫃🏿;gravid man: mörk hy;gravid|gravid man|mörk hy|proppmätt|stor mage|uppsvälld
🫄;gravid person;gravid|gravid person|stor mage|uppsvälld
	🫄🏻;gravid person: ljus hy;gravid|gravid person|ljus hy|stor mage|uppsvälld
	🫄🏼;gravid person: mellanljus hy;gravid|gravid person|mellanljus hy|stor mage|uppsvälld
	🫄🏽;gravid person: mellanfärgad hy;gravid|gravid person|mellanfärgad hy|stor mage|uppsvälld
	🫄🏾;gravid person: mellanmörk hy;gravid|gravid person|mellanmörk hy|stor mage|uppsvälld
	🫄🏿;gravid person: mörk hy;gravid|gravid person|mörk hy|stor mage|uppsvälld
🤱;amning;amma|amning|baby|bröst
	🤱🏻;amning: ljus hy;amma|amning|baby|bröst|ljus hy
	🤱🏼;amning: mellanljus hy;amma|amning|baby|bröst|mellanljus hy
	🤱🏽;amning: mellanfärgad hy;amma|amning|baby|bröst|mellanfärgad hy
	🤱🏾;amning: mellanmörk hy;amma|amning|baby|bröst|mellanmörk hy
	🤱🏿;amning: mörk hy;amma|amning|baby|bröst|mörk hy
👩‍🍼;kvinna matar spädbarn;amma|kvinna|kvinna matar spädbarn|mata|spädbarn
	👩🏻‍🍼;kvinna matar spädbarn: ljus hy;amma|kvinna|kvinna matar spädbarn|ljus hy|mata|spädbarn
	👩🏼‍🍼;kvinna matar spädbarn: mellanljus hy;amma|kvinna|kvinna matar spädbarn|mata|mellanljus hy|spädbarn
	👩🏽‍🍼;kvinna matar spädbarn: mellanfärgad hy;amma|kvinna|kvinna matar spädbarn|mata|mellanfärgad hy|spädbarn
	👩🏾‍🍼;kvinna matar spädbarn: mellanmörk hy;amma|kvinna|kvinna matar spädbarn|mata|mellanmörk hy|spädbarn
	👩🏿‍🍼;kvinna matar spädbarn: mörk hy;amma|kvinna|kvinna matar spädbarn|mata|mörk hy|spädbarn
👨‍🍼;man matar spädbarn;amma|barnskötare|fader|far|man|man matar spädbarn|mata|pappa|spädbarn
	👨🏻‍🍼;man matar spädbarn: ljus hy;amma|barnskötare|fader|far|ljus hy|man|man matar spädbarn|mata|pappa|spädbarn
	👨🏼‍🍼;man matar spädbarn: mellanljus hy;amma|barnskötare|fader|far|man|man matar spädbarn|mata|mellanljus hy|pappa|spädbarn
	👨🏽‍🍼;man matar spädbarn: mellanfärgad hy;amma|barnskötare|fader|far|man|man matar spädbarn|mata|mellanfärgad hy|pappa|spädbarn
	👨🏾‍🍼;man matar spädbarn: mellanmörk hy;amma|barnskötare|fader|far|man|man matar spädbarn|mata|mellanmörk hy|pappa|spädbarn
	👨🏿‍🍼;man matar spädbarn: mörk hy;amma|barnskötare|fader|far|man|man matar spädbarn|mata|mörk hy|pappa|spädbarn
🧑‍🍼;person ammar spädbarn;amma|barnskötare|bebis|förälder|mata|person|person ammar spädbarn|person matar spädbarn|spädbarn
	🧑🏻‍🍼;person ammar spädbarn: ljus hy;amma|barnskötare|bebis|förälder|ljus hy|mata|person|person ammar spädbarn|person matar spädbarn|spädbarn
	🧑🏼‍🍼;person ammar spädbarn: mellanljus hy;amma|barnskötare|bebis|förälder|mata|mellanljus hy|person|person ammar spädbarn|person matar spädbarn|spädbarn
	🧑🏽‍🍼;person ammar spädbarn: mellanfärgad hy;amma|barnskötare|bebis|förälder|mata|mellanfärgad hy|person|person ammar spädbarn|person matar spädbarn|spädbarn
	🧑🏾‍🍼;person ammar spädbarn: mellanmörk hy;amma|barnskötare|bebis|förälder|mata|mellanmörk hy|person|person ammar spädbarn|person matar spädbarn|spädbarn
	🧑🏿‍🍼;person ammar spädbarn: mörk hy;amma|barnskötare|bebis|förälder|mata|mörk hy|person|person ammar spädbarn|person matar spädbarn|spädbarn
👼;bebisängel;ängel|bebisängel|saga
	👼🏻;bebisängel: ljus hy;ängel|bebisängel|ljus hy|saga
	👼🏼;bebisängel: mellanljus hy;ängel|bebisängel|mellanljus hy|saga
	👼🏽;bebisängel: mellanfärgad hy;ängel|bebisängel|mellanfärgad hy|saga
	👼🏾;bebisängel: mellanmörk hy;ängel|bebisängel|mellanmörk hy|saga
	👼🏿;bebisängel: mörk hy;ängel|bebisängel|mörk hy|saga
🎅;jultomte;högtid|jul|jultomte|tomten
	🎅🏻;jultomte: ljus hy;högtid|jul|jultomte|ljus hy|tomten
	🎅🏼;jultomte: mellanljus hy;högtid|jul|jultomte|mellanljus hy|tomten
	🎅🏽;jultomte: mellanfärgad hy;högtid|jul|jultomte|mellanfärgad hy|tomten
	🎅🏾;jultomte: mellanmörk hy;högtid|jul|jultomte|mellanmörk hy|tomten
	🎅🏿;jultomte: mörk hy;högtid|jul|jultomte|mörk hy|tomten
🤶;tomtemor;jul|mor|nisse|tomtemor
	🤶🏻;tomtemor: ljus hy;jul|ljus hy|mor|nisse|tomtemor
	🤶🏼;tomtemor: mellanljus hy;jul|mellanljus hy|mor|nisse|tomtemor
	🤶🏽;tomtemor: mellanfärgad hy;jul|mellanfärgad hy|mor|nisse|tomtemor
	🤶🏾;tomtemor: mellanmörk hy;jul|mellanmörk hy|mor|nisse|tomtemor
	🤶🏿;tomtemor: mörk hy;jul|mor|mörk hy|nisse|tomtemor
🧑‍🎄;könsneutral tomte;
	🧑🏻‍🎄;könsneutral tomte: ljus hy;jul|jultomte|könsneutral tomte|ljus hy|tomte
	🧑🏼‍🎄;könsneutral tomte: mellanljus hy;jul|jultomte|könsneutral tomte|mellanljus hy|tomte
	🧑🏽‍🎄;könsneutral tomte: mellanfärgad hy;jul|jultomte|könsneutral tomte|mellanfärgad hy|tomte
	🧑🏾‍🎄;könsneutral tomte: mellanmörk hy;jul|jultomte|könsneutral tomte|mellanmörk hy|tomte
	🧑🏿‍🎄;könsneutral tomte: mörk hy;jul|jultomte|könsneutral tomte|mörk hy|tomte
🦸;superhjälte;god|hjälte|hjältinna|superhjälte|superkraft|superkrafter
	🦸🏻;superhjälte: ljus hy;god|hjälte|hjältinna|ljus hy|superhjälte|superkraft|superkrafter
	🦸🏼;superhjälte: mellanljus hy;god|hjälte|hjältinna|mellanljus hy|superhjälte|superkraft|superkrafter
	🦸🏽;superhjälte: mellanfärgad hy;god|hjälte|hjältinna|mellanfärgad hy|superhjälte|superkraft|superkrafter
	🦸🏾;superhjälte: mellanmörk hy;god|hjälte|hjältinna|mellanmörk hy|superhjälte|superkraft|superkrafter
	🦸🏿;superhjälte: mörk hy;god|hjälte|hjältinna|mörk hy|superhjälte|superkraft|superkrafter
🦸‍♂️;manlig superhjälte;god|hjälte|man|manlig superhjälte|superkraft
	🦸🏻‍♂️;manlig superhjälte: ljus hy;god|hjälte|ljus hy|man|manlig superhjälte|superkraft
	🦸🏼‍♂️;manlig superhjälte: mellanljus hy;god|hjälte|man|manlig superhjälte|mellanljus hy|superkraft
	🦸🏽‍♂️;manlig superhjälte: mellanfärgad hy;god|hjälte|man|manlig superhjälte|mellanfärgad hy|superkraft
	🦸🏾‍♂️;manlig superhjälte: mellanmörk hy;god|hjälte|man|manlig superhjälte|mellanmörk hy|superkraft
	🦸🏿‍♂️;manlig superhjälte: mörk hy;god|hjälte|man|manlig superhjälte|mörk hy|superkraft
🦸‍♀️;kvinnlig superhjälte;god|hjälte|hjältinna|kvinna|kvinnlig superhjälte|man|superkraft
	🦸🏻‍♀️;kvinnlig superhjälte: ljus hy;god|hjälte|hjältinna|kvinna|kvinnlig superhjälte|ljus hy|man|superkraft
	🦸🏼‍♀️;kvinnlig superhjälte: mellanljus hy;god|hjälte|hjältinna|kvinna|kvinnlig superhjälte|man|mellanljus hy|superkraft
	🦸🏽‍♀️;kvinnlig superhjälte: mellanfärgad hy;god|hjälte|hjältinna|kvinna|kvinnlig superhjälte|man|mellanfärgad hy|superkraft
	🦸🏾‍♀️;kvinnlig superhjälte: mellanmörk hy;god|hjälte|hjältinna|kvinna|kvinnlig superhjälte|man|mellanmörk hy|superkraft
	🦸🏿‍♀️;kvinnlig superhjälte: mörk hy;god|hjälte|hjältinna|kvinna|kvinnlig superhjälte|man|mörk hy|superkraft
🦹;superskurk;brottsling|elak|ond|skurk|superkraft|superkrafter|superskurk
	🦹🏻;superskurk: ljus hy;brottsling|elak|ljus hy|ond|skurk|superkraft|superkrafter|superskurk
	🦹🏼;superskurk: mellanljus hy;brottsling|elak|mellanljus hy|ond|skurk|superkraft|superkrafter|superskurk
	🦹🏽;superskurk: mellanfärgad hy;brottsling|elak|mellanfärgad hy|ond|skurk|superkraft|superkrafter|superskurk
	🦹🏾;superskurk: mellanmörk hy;brottsling|elak|mellanmörk hy|ond|skurk|superkraft|superkrafter|superskurk
	🦹🏿;superskurk: mörk hy;brottsling|elak|mörk hy|ond|skurk|superkraft|superkrafter|superskurk
🦹‍♂️;manlig superskurk;brottsling|man|manlig superskurk|ond|skurk|superkraft
	🦹🏻‍♂️;manlig superskurk: ljus hy;brottsling|ljus hy|man|manlig superskurk|ond|skurk|superkraft
	🦹🏼‍♂️;manlig superskurk: mellanljus hy;brottsling|man|manlig superskurk|mellanljus hy|ond|skurk|superkraft
	🦹🏽‍♂️;manlig superskurk: mellanfärgad hy;brottsling|man|manlig superskurk|mellanfärgad hy|ond|skurk|superkraft
	🦹🏾‍♂️;manlig superskurk: mellanmörk hy;brottsling|man|manlig superskurk|mellanmörk hy|ond|skurk|superkraft
	🦹🏿‍♂️;manlig superskurk: mörk hy;brottsling|man|manlig superskurk|mörk hy|ond|skurk|superkraft
🦹‍♀️;kvinnlig superskurk;brottsling|kvinna|kvinnlig superskurk|ond|skurk|superkraft
	🦹🏻‍♀️;kvinnlig superskurk: ljus hy;brottsling|kvinna|kvinnlig superskurk|ljus hy|ond|skurk|superkraft
	🦹🏼‍♀️;kvinnlig superskurk: mellanljus hy;brottsling|kvinna|kvinnlig superskurk|mellanljus hy|ond|skurk|superkraft
	🦹🏽‍♀️;kvinnlig superskurk: mellanfärgad hy;brottsling|kvinna|kvinnlig superskurk|mellanfärgad hy|ond|skurk|superkraft
	🦹🏾‍♀️;kvinnlig superskurk: mellanmörk hy;brottsling|kvinna|kvinnlig superskurk|mellanmörk hy|ond|skurk|superkraft
	🦹🏿‍♀️;kvinnlig superskurk: mörk hy;brottsling|kvinna|kvinnlig superskurk|mörk hy|ond|skurk|superkraft
🧙;magiker;häxa|magiker|trollkarl
	🧙🏻;magiker: ljus hy;häxa|ljus hy|magiker|trollkarl
	🧙🏼;magiker: mellanljus hy;häxa|magiker|mellanljus hy|trollkarl
	🧙🏽;magiker: mellanfärgad hy;häxa|magiker|mellanfärgad hy|trollkarl
	🧙🏾;magiker: mellanmörk hy;häxa|magiker|mellanmörk hy|trollkarl
	🧙🏿;magiker: mörk hy;häxa|magiker|mörk hy|trollkarl
🧙‍♂️;manlig magiker;manlig magiker|trollkarl
	🧙🏻‍♂️;manlig magiker: ljus hy;ljus hy|manlig magiker|trollkarl
	🧙🏼‍♂️;manlig magiker: mellanljus hy;manlig magiker|mellanljus hy|trollkarl
	🧙🏽‍♂️;manlig magiker: mellanfärgad hy;manlig magiker|mellanfärgad hy|trollkarl
	🧙🏾‍♂️;manlig magiker: mellanmörk hy;manlig magiker|mellanmörk hy|trollkarl
	🧙🏿‍♂️;manlig magiker: mörk hy;manlig magiker|mörk hy|trollkarl
🧙‍♀️;kvinnlig magiker;häxa|kvinnlig magiker
	🧙🏻‍♀️;kvinnlig magiker: ljus hy;häxa|kvinnlig magiker|ljus hy
	🧙🏼‍♀️;kvinnlig magiker: mellanljus hy;häxa|kvinnlig magiker|mellanljus hy
	🧙🏽‍♀️;kvinnlig magiker: mellanfärgad hy;häxa|kvinnlig magiker|mellanfärgad hy
	🧙🏾‍♀️;kvinnlig magiker: mellanmörk hy;häxa|kvinnlig magiker|mellanmörk hy
	🧙🏿‍♀️;kvinnlig magiker: mörk hy;häxa|kvinnlig magiker|mörk hy
🧚;fé;
	🧚🏻;fé: ljus hy;älva|fé|ljus hy|Oberon|Puck|Titania|vingar
	🧚🏼;fé: mellanljus hy;älva|fé|mellanljus hy|Oberon|Puck|Titania|vingar
	🧚🏽;fé: mellanfärgad hy;älva|fé|mellanfärgad hy|Oberon|Puck|Titania|vingar
	🧚🏾;fé: mellanmörk hy;älva|fé|mellanmörk hy|Oberon|Puck|Titania|vingar
	🧚🏿;fé: mörk hy;älva|fé|mörk hy|Oberon|Puck|Titania|vingar
🧚‍♂️;manlig älva;manlig älva|Oberon|Puck
	🧚🏻‍♂️;manlig älva: ljus hy;ljus hy|manlig älva|Oberon|Puck
	🧚🏼‍♂️;manlig älva: mellanljus hy;manlig älva|mellanljus hy|Oberon|Puck
	🧚🏽‍♂️;manlig älva: mellanfärgad hy;manlig älva|mellanfärgad hy|Oberon|Puck
	🧚🏾‍♂️;manlig älva: mellanmörk hy;manlig älva|mellanmörk hy|Oberon|Puck
	🧚🏿‍♂️;manlig älva: mörk hy;manlig älva|mörk hy|Oberon|Puck
🧚‍♀️;kvinnlig fé;kvinnlig älva|kvinnlig fé|Titania
	🧚🏻‍♀️;kvinnlig fé: ljus hy;kvinnlig älva|kvinnlig fé|ljus hy|Titania
	🧚🏼‍♀️;kvinnlig fé: mellanljus hy;kvinnlig älva|kvinnlig fé|mellanljus hy|Titania
	🧚🏽‍♀️;kvinnlig fé: mellanfärgad hy;kvinnlig älva|kvinnlig fé|mellanfärgad hy|Titania
	🧚🏾‍♀️;kvinnlig fé: mellanmörk hy;kvinnlig älva|kvinnlig fé|mellanmörk hy|Titania
	🧚🏿‍♀️;kvinnlig fé: mörk hy;kvinnlig älva|kvinnlig fé|mörk hy|Titania
🧛;vampyr;blod|Drakula|huggtänder|vampyr|vandöd
	🧛🏻;vampyr: ljus hy;blod|Drakula|huggtänder|ljus hy|vampyr|vandöd
	🧛🏼;vampyr: mellanljus hy;blod|Drakula|huggtänder|mellanljus hy|vampyr|vandöd
	🧛🏽;vampyr: mellanfärgad hy;blod|Drakula|huggtänder|mellanfärgad hy|vampyr|vandöd
	🧛🏾;vampyr: mellanmörk hy;blod|Drakula|huggtänder|mellanmörk hy|vampyr|vandöd
	🧛🏿;vampyr: mörk hy;blod|Drakula|huggtänder|mörk hy|vampyr|vandöd
🧛‍♂️;manlig vampyr;Drakula|manlig vampyr|vandöd
	🧛🏻‍♂️;manlig vampyr: ljus hy;Drakula|ljus hy|manlig vampyr|vandöd
	🧛🏼‍♂️;manlig vampyr: mellanljus hy;Drakula|manlig vampyr|mellanljus hy|vandöd
	🧛🏽‍♂️;manlig vampyr: mellanfärgad hy;Drakula|manlig vampyr|mellanfärgad hy|vandöd
	🧛🏾‍♂️;manlig vampyr: mellanmörk hy;Drakula|manlig vampyr|mellanmörk hy|vandöd
	🧛🏿‍♂️;manlig vampyr: mörk hy;Drakula|manlig vampyr|mörk hy|vandöd
🧛‍♀️;kvinnlig vampyr;kvinnlig vampyr|vandöd
	🧛🏻‍♀️;kvinnlig vampyr: ljus hy;kvinnlig vampyr|ljus hy|vandöd
	🧛🏼‍♀️;kvinnlig vampyr: mellanljus hy;kvinnlig vampyr|mellanljus hy|vandöd
	🧛🏽‍♀️;kvinnlig vampyr: mellanfärgad hy;kvinnlig vampyr|mellanfärgad hy|vandöd
	🧛🏾‍♀️;kvinnlig vampyr: mellanmörk hy;kvinnlig vampyr|mellanmörk hy|vandöd
	🧛🏿‍♀️;kvinnlig vampyr: mörk hy;kvinnlig vampyr|mörk hy|vandöd
🧜;vattenväsen;näcken|sjöjungfru|sjörå|vattenväsen
	🧜🏻;vattenväsen: ljus hy;ljus hy|näcken|sjöjungfru|sjörå|vattenväsen
	🧜🏼;vattenväsen: mellanljus hy;mellanljus hy|näcken|sjöjungfru|sjörå|vattenväsen
	🧜🏽;vattenväsen: mellanfärgad hy;mellanfärgad hy|näcken|sjöjungfru|sjörå|vattenväsen
	🧜🏾;vattenväsen: mellanmörk hy;mellanmörk hy|näcken|sjöjungfru|sjörå|vattenväsen
	🧜🏿;vattenväsen: mörk hy;mörk hy|näcken|sjöjungfru|sjörå|vattenväsen
🧜‍♂️;strömkarl;strömkarl|Triton
	🧜🏻‍♂️;strömkarl: ljus hy;ljus hy|strömkarl|Triton
	🧜🏼‍♂️;strömkarl: mellanljus hy;mellanljus hy|strömkarl|Triton
	🧜🏽‍♂️;strömkarl: mellanfärgad hy;mellanfärgad hy|strömkarl|Triton
	🧜🏾‍♂️;strömkarl: mellanmörk hy;mellanmörk hy|strömkarl|Triton
	🧜🏿‍♂️;strömkarl: mörk hy;mörk hy|strömkarl|Triton
🧜‍♀️;sjöjungfru;sjöjungfru|sjörå
	🧜🏻‍♀️;sjöjungfru: ljus hy;ljus hy|sjöjungfru|sjörå
	🧜🏼‍♀️;sjöjungfru: mellanljus hy;mellanljus hy|sjöjungfru|sjörå
	🧜🏽‍♀️;sjöjungfru: mellanfärgad hy;mellanfärgad hy|sjöjungfru|sjörå
	🧜🏾‍♀️;sjöjungfru: mellanmörk hy;mellanmörk hy|sjöjungfru|sjörå
	🧜🏿‍♀️;sjöjungfru: mörk hy;mörk hy|sjöjungfru|sjörå
🧝;alv;
	🧝🏻;alv: ljus hy;alv|ljus hy|magisk|mystisk
	🧝🏼;alv: mellanljus hy;alv|magisk|mellanljus hy|mystisk
	🧝🏽;alv: mellanfärgad hy;alv|magisk|mellanfärgad hy|mystisk
	🧝🏾;alv: mellanmörk hy;alv|magisk|mellanmörk hy|mystisk
	🧝🏿;alv: mörk hy;alv|magisk|mörk hy|mystisk
🧝‍♂️;manlig alv;magisk|manlig alv
	🧝🏻‍♂️;manlig alv: ljus hy;ljus hy|magisk|manlig alv
	🧝🏼‍♂️;manlig alv: mellanljus hy;magisk|manlig alv|mellanljus hy
	🧝🏽‍♂️;manlig alv: mellanfärgad hy;magisk|manlig alv|mellanfärgad hy
	🧝🏾‍♂️;manlig alv: mellanmörk hy;magisk|manlig alv|mellanmörk hy
	🧝🏿‍♂️;manlig alv: mörk hy;magisk|manlig alv|mörk hy
🧝‍♀️;kvinnlig alv;kvinnlig alv|magisk
	🧝🏻‍♀️;kvinnlig alv: ljus hy;kvinnlig alv|ljus hy|magisk
	🧝🏼‍♀️;kvinnlig alv: mellanljus hy;kvinnlig alv|magisk|mellanljus hy
	🧝🏽‍♀️;kvinnlig alv: mellanfärgad hy;kvinnlig alv|magisk|mellanfärgad hy
	🧝🏾‍♀️;kvinnlig alv: mellanmörk hy;kvinnlig alv|magisk|mellanmörk hy
	🧝🏿‍♀️;kvinnlig alv: mörk hy;kvinnlig alv|magisk|mörk hy
🧞;ande;
🧞‍♂️;manlig ande;ande|manlig ande|manlig djinn
