# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;মুখে দেঁতো হাসি;দেঁতো হাসি|মুখ|মুখে দেঁতো হাসি|হাসি
🦻;শ্রবণযন্ত্র সহ কান;অ্যাক্সেসিবিলিটি|কান|কানে কালা|কানে শোনার যন্ত্র|মানুষ ও শরীর|শোনার যন্ত্র|শ্রবণযন্ত্র|শ্রবণযন্ত্র সহ কান|হিয়ারিং এইড
	🦻🏻;শ্রবণযন্ত্র সহ কান: হালকা ত্বকের রঙ;অ্যাক্সেসিবিলিটি|কান|কানে কালা|কানে শোনার যন্ত্র|মানুষ ও শরীর|শোনার যন্ত্র|শ্রবণযন্ত্র|শ্রবণযন্ত্র সহ কান|হালকা ত্বকের রঙ|হিয়ারিং এইড
	🦻🏼;শ্রবণযন্ত্র সহ কান: মাঝারি-হালকা ত্বকের রঙ;অ্যাক্সেসিবিলিটি|কান|কানে কালা|কানে শোনার যন্ত্র|মাঝারি-হালকা ত্বকের রঙ|মানুষ ও শরীর|শোনার যন্ত্র|শ্রবণযন্ত্র|শ্রবণযন্ত্র সহ কান|হিয়ারিং এইড
	🦻🏽;শ্রবণযন্ত্র সহ কান: মাঝারি ত্বকের রঙ;অ্যাক্সেসিবিলিটি|কান|কানে কালা|কানে শোনার যন্ত্র|মাঝারি ত্বকের রঙ|মানুষ ও শরীর|শোনার যন্ত্র|শ্রবণযন্ত্র|শ্রবণযন্ত্র সহ কান|হিয়ারিং এইড
	🦻🏾;শ্রবণযন্ত্র সহ কান: মাঝারি-কালো ত্বকের রঙ;অ্যাক্সেসিবিলিটি|কান|কানে কালা|কানে শোনার যন্ত্র|মাঝারি-কালো ত্বকের রঙ|মানুষ ও শরীর|শোনার যন্ত্র|শ্রবণযন্ত্র|শ্রবণযন্ত্র সহ কান|হিয়ারিং এইড
	🦻🏿;শ্রবণযন্ত্র সহ কান: কালো ত্বকের রঙ;অ্যাক্সেসিবিলিটি|কান|কানে কালা|কানে শোনার যন্ত্র|কালো ত্বকের রঙ|মানুষ ও শরীর|শোনার যন্ত্র|শ্রবণযন্ত্র|শ্রবণযন্ত্র সহ কান|হিয়ারিং এইড
👃;নাক;গন্ধ|নাক|নাক গলানো|শরীর
	👃🏻;নাক: হালকা ত্বকের রঙ;গন্ধ|নাক|নাক গলানো|শরীর|হালকা ত্বকের রঙ
	👃🏼;নাক: মাঝারি-হালকা ত্বকের রঙ;গন্ধ|নাক|নাক গলানো|মাঝারি-হালকা ত্বকের রঙ|শরীর
	👃🏽;নাক: মাঝারি ত্বকের রঙ;গন্ধ|নাক|নাক গলানো|মাঝারি ত্বকের রঙ|শরীর
	👃🏾;নাক: মাঝারি-কালো ত্বকের রঙ;গন্ধ|নাক|নাক গলানো|মাঝারি-কালো ত্বকের রঙ|শরীর
	👃🏿;নাক: কালো ত্বকের রঙ;কালো ত্বকের রঙ|গন্ধ|নাক|নাক গলানো|শরীর
🧠;মস্তিষ্ক;চিন্তা|বুদ্ধি|বুদ্ধিমত্তা|বুদ্ধিমান|ব্রেইন|মগজ|মস্তিষ্ক|স্মাইলি|স্মার্ট
🫀;হৃদয়;অঙ্গ|অ্যানাটমিকাল|আন্তরিক|কেন্দ্র|পাল্স|লাল|সাহস|হার্টবিট|হৃৎস্পন্দন|হৃদয়|হৃদযন্ত্র|হৃদিবিজ্ঞান
🫁;শ্বাসযন্ত্র;অঙ্গ|প্রশ্বাস|ফুসফুস|শ্বাস|শ্বাসত্যাগ|শ্বাসযন্ত্র
🦷;দাঁত;দন্ত-চিকিৎসক|দন্তচিকিত্সক|দাঁত|মুক্তাপূর্ণ|সাদা
🦴;হাড়;কঙ্কাল|কঙ্কালসার|হাড়
👀;চোখ গুলি;চোখ|চোখ গুলি|মুখ|শরীর
👁️;চোখ;চোখ|শরীর
👅;জিভ;জিভ|শরীর
👄;মুখ;কিস|চুমু|ঠোট|ঠোঁট|মুখ|শরীর
🫦;দাঁত দিয়ে কমড়ানো ঠোঁট;অস্বস্তিকর|উদ্বেগপূর্ণ|কি করি|চিন্তিত|চুমু|ঠোঁট|দাঁত দিয়ে কমড়ানো ঠোঁট|প্রেমের ভান করা|ফ্লার্ট করা|বিচলিত|ভয়
👶;শিশু;নবজাতক|বাচ্চা|শিশু|সদ্যজাত
	👶🏻;শিশু: হালকা ত্বকের রঙ;নবজাতক|বাচ্চা|শিশু|সদ্যজাত|হালকা ত্বকের রঙ
	👶🏼;শিশু: মাঝারি-হালকা ত্বকের রঙ;নবজাতক|বাচ্চা|মাঝারি-হালকা ত্বকের রঙ|শিশু|সদ্যজাত
	👶🏽;শিশু: মাঝারি ত্বকের রঙ;নবজাতক|বাচ্চা|মাঝারি ত্বকের রঙ|শিশু|সদ্যজাত
	👶🏾;শিশু: মাঝারি-কালো ত্বকের রঙ;নবজাতক|বাচ্চা|মাঝারি-কালো ত্বকের রঙ|শিশু|সদ্যজাত
	👶🏿;শিশু: কালো ত্বকের রঙ;কালো ত্বকের রঙ|নবজাতক|বাচ্চা|শিশু|সদ্যজাত
🧒;বাচ্চা;বাচ্চা|বেবি|ব্যক্তি|মানুষ|যুবক|লিঙ্গ- নিরপেক্ষ|শিশু
	🧒🏻;বাচ্চা: হালকা ত্বকের রঙ;বাচ্চা|বেবি|ব্যক্তি|মানুষ|যুবক|লিঙ্গ- নিরপেক্ষ|শিশু|হালকা ত্বকের রঙ
	🧒🏼;বাচ্চা: মাঝারি-হালকা ত্বকের রঙ;বাচ্চা|বেবি|ব্যক্তি|মাঝারি-হালকা ত্বকের রঙ|মানুষ|যুবক|লিঙ্গ- নিরপেক্ষ|শিশু
	🧒🏽;বাচ্চা: মাঝারি ত্বকের রঙ;বাচ্চা|বেবি|ব্যক্তি|মাঝারি ত্বকের রঙ|মানুষ|যুবক|লিঙ্গ- নিরপেক্ষ|শিশু
	🧒🏾;বাচ্চা: মাঝারি-কালো ত্বকের রঙ;বাচ্চা|বেবি|ব্যক্তি|মাঝারি-কালো ত্বকের রঙ|মানুষ|যুবক|লিঙ্গ- নিরপেক্ষ|শিশু
	🧒🏿;বাচ্চা: কালো ত্বকের রঙ;কালো ত্বকের রঙ|বাচ্চা|বেবি|ব্যক্তি|মানুষ|যুবক|লিঙ্গ- নিরপেক্ষ|শিশু
👦;ছেলে;ছেলে|পুরুষ|যুবক
	👦🏻;ছেলে: হালকা ত্বকের রঙ;ছেলে|পুরুষ|যুবক|হালকা ত্বকের রঙ
	👦🏼;ছেলে: মাঝারি-হালকা ত্বকের রঙ;ছেলে|পুরুষ|মাঝারি-হালকা ত্বকের রঙ|যুবক
	👦🏽;ছেলে: মাঝারি ত্বকের রঙ;ছেলে|পুরুষ|মাঝারি ত্বকের রঙ|যুবক
