# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;cerenje;cerenje|lice
	👨🏿‍🎤;pjevač muškarac: tamna boja kože;izvođač|pjevač|pjevač muškarac|roker|tamna boja kože|zabavljač|zvijezda
👩‍🎤;pjevačica;izvođač|pjevačica|roker|zabavljač|zvijezda
	👩🏻‍🎤;pjevačica: svijetla boja kože;izvođač|pjevačica|roker|svijetla boja kože|zabavljač|zvijezda
	👩🏼‍🎤;pjevačica: umjereno svijetla boja kože;izvođač|pjevačica|roker|umjereno svijetla boja kože|zabavljač|zvijezda
	👩🏽‍🎤;pjevačica: umjerena boja kože;izvođač|pjevačica|roker|umjerena boja kože|zabavljač|zvijezda
	👩🏾‍🎤;pjevačica: umjereno tamna boja kože;izvođač|pjevačica|roker|umjereno tamna boja kože|zabavljač|zvijezda
	👩🏿‍🎤;pjevačica: tamna boja kože;izvođač|pjevačica|roker|tamna boja kože|zabavljač|zvijezda
🧑‍🎨;umjetnik;slikarska paleta|umjetnik
	🧑🏻‍🎨;umjetnik: svijetla boja kože;slikarska paleta|svijetla boja kože|umjetnik
	🧑🏼‍🎨;umjetnik: umjereno svijetla boja kože;slikarska paleta|umjereno svijetla boja kože|umjetnik
	🧑🏽‍🎨;umjetnik: umjerena boja kože;slikarska paleta|umjerena boja kože|umjetnik
	🧑🏾‍🎨;umjetnik: umjereno tamna boja kože;slikarska paleta|umjereno tamna boja kože|umjetnik
	🧑🏿‍🎨;umjetnik: tamna boja kože;slikarska paleta|tamna boja kože|umjetnik
👨‍🎨;umjetnik muškarac;muškarac|paleta|umjetnik
	👨🏻‍🎨;umjetnik muškarac: svijetla boja kože;muškarac|paleta|svijetla boja kože|umjetnik
	👨🏼‍🎨;umjetnik muškarac: umjereno svijetla boja kože;muškarac|paleta|umjereno svijetla boja kože|umjetnik
	👨🏽‍🎨;umjetnik muškarac: umjerena boja kože;muškarac|paleta|umjerena boja kože|umjetnik
	👨🏾‍🎨;umjetnik muškarac: umjereno tamna boja kože;muškarac|paleta|umjereno tamna boja kože|umjetnik
	👨🏿‍🎨;umjetnik muškarac: tamna boja kože;muškarac|paleta|tamna boja kože|umjetnik
👩‍🎨;umjetnica;paleta|umjetnica|žena
	👩🏻‍🎨;umjetnica: svijetla boja kože;paleta|svijetla boja kože|umjetnica|žena
	👩🏼‍🎨;umjetnica: umjereno svijetla boja kože;paleta|umjereno svijetla boja kože|umjetnica|žena
	👩🏽‍🎨;umjetnica: umjerena boja kože;paleta|umjerena boja kože|umjetnica|žena
	👩🏾‍🎨;umjetnica: umjereno tamna boja kože;paleta|umjereno tamna boja kože|umjetnica|žena
	👩🏿‍🎨;umjetnica: tamna boja kože;paleta|tamna boja kože|umjetnica|žena
🧑‍✈️;pilot;avion|pilot
	🧑🏻‍✈️;pilot: svijetla boja kože;avion|pilot|svijetla boja kože
	🧑🏼‍✈️;pilot: umjereno svijetla boja kože;avion|pilot|umjereno svijetla boja kože
	🧑🏽‍✈️;pilot: umjerena boja kože;avion|pilot|umjerena boja kože
	🧑🏾‍✈️;pilot: umjereno tamna boja kože;avion|pilot|umjereno tamna boja kože
	🧑🏿‍✈️;pilot: tamna boja kože;avion|pilot|tamna boja kože
👨‍✈️;pilot muškarac;avion|muškarac|pilot
	👨🏻‍✈️;pilot muškarac: svijetla boja kože;avion|muškarac|pilot|svijetla boja kože
	👨🏼‍✈️;pilot muškarac: umjereno svijetla boja kože;avion|muškarac|pilot|umjereno svijetla boja kože
	👨🏽‍✈️;pilot muškarac: umjerena boja kože;avion|muškarac|pilot|umjerena boja kože
	👨🏾‍✈️;pilot muškarac: umjereno tamna boja kože;avion|muškarac|pilot|umjereno tamna boja kože
	👨🏿‍✈️;pilot muškarac: tamna boja kože;avion|muškarac|pilot|tamna boja kože
👩‍✈️;žena pilot;avion|pilot|žena
	👩🏻‍✈️;žena pilot: svijetla boja kože;avion|pilot|svijetla boja kože|žena
	👩🏼‍✈️;žena pilot: umjereno svijetla boja kože;avion|pilot|umjereno svijetla boja kože|žena
	👩🏽‍✈️;žena pilot: umjerena boja kože;avion|pilot|umjerena boja kože|žena
	👩🏾‍✈️;žena pilot: umjereno tamna boja kože;avion|pilot|umjereno tamna boja kože|žena
	👩🏿‍✈️;žena pilot: tamna boja kože;avion|pilot|tamna boja kože|žena
🧑‍🚀;astronaut;astronaut|raketa
	🧑🏻‍🚀;astronaut: svijetla boja kože;astronaut|raketa|svijetla boja kože
	🧑🏼‍🚀;astronaut: umjereno svijetla boja kože;astronaut|raketa|umjereno svijetla boja kože
	🧑🏽‍🚀;astronaut: umjerena boja kože;astronaut|raketa|umjerena boja kože
	🧑🏾‍🚀;astronaut: umjereno tamna boja kože;astronaut|raketa|umjereno tamna boja kože
	🧑🏿‍🚀;astronaut: tamna boja kože;astronaut|raketa|tamna boja kože
👨‍🚀;astronaut muškarac;astronaut|muškarac|raketa
	👨🏻‍🚀;astronaut muškarac: svijetla boja kože;astronaut|muškarac|raketa|svijetla boja kože
	👨🏼‍🚀;astronaut muškarac: umjereno svijetla boja kože;astronaut|muškarac|raketa|umjereno svijetla boja kože
	👨🏽‍🚀;astronaut muškarac: umjerena boja kože;astronaut|muškarac|raketa|umjerena boja kože
	👨🏾‍🚀;astronaut muškarac: umjereno tamna boja kože;astronaut|muškarac|raketa|umjereno tamna boja kože
	👨🏿‍🚀;astronaut muškarac: tamna boja kože;astronaut|muškarac|raketa|tamna boja kože
👩‍🚀;astronautkinja;astronautkinja|raketa|žena
	👩🏻‍🚀;astronautkinja: svijetla boja kože;astronautkinja|raketa|svijetla boja kože|žena
	👩🏼‍🚀;astronautkinja: umjereno svijetla boja kože;astronautkinja|raketa|umjereno svijetla boja kože|žena
	👩🏽‍🚀;astronautkinja: umjerena boja kože;astronautkinja|raketa|umjerena boja kože|žena
	👩🏾‍🚀;astronautkinja: umjereno tamna boja kože;astronautkinja|raketa|umjereno tamna boja kože|žena
	👩🏿‍🚀;astronautkinja: tamna boja kože;astronautkinja|raketa|tamna boja kože|žena
🧑‍🚒;vatrogasac;vatrogasac|vatrogasno vozilo
	🧑🏻‍🚒;vatrogasac: svijetla boja kože;svijetla boja kože|vatrogasac|vatrogasno vozilo
	🧑🏼‍🚒;vatrogasac: umjereno svijetla boja kože;umjereno svijetla boja kože|vatrogasac|vatrogasno vozilo
	🧑🏽‍🚒;vatrogasac: umjerena boja kože;umjerena boja kože|vatrogasac|vatrogasno vozilo
	🧑🏾‍🚒;vatrogasac: umjereno tamna boja kože;umjereno tamna boja kože|vatrogasac|vatrogasno vozilo
	🧑🏿‍🚒;vatrogasac: tamna boja kože;tamna boja kože|vatrogasac|vatrogasno vozilo
👨‍🚒;vatrogasac muškarac;muškarac|vatrogasac|vatrogasna kola
	👨🏻‍🚒;vatrogasac muškarac: svijetla boja kože;muškarac|svijetla boja kože|vatrogasac|vatrogasna kola
	👨🏼‍🚒;vatrogasac muškarac: umjereno svijetla boja kože;muškarac|umjereno svijetla boja kože|vatrogasac|vatrogasna kola
	👨🏽‍🚒;vatrogasac muškarac: umjerena boja kože;muškarac|umjerena boja kože|vatrogasac|vatrogasna kola
	👨🏾‍🚒;vatrogasac muškarac: umjereno tamna boja kože;muškarac|umjereno tamna boja kože|vatrogasac|vatrogasna kola
	👨🏿‍🚒;vatrogasac muškarac: tamna boja kože;muškarac|tamna boja kože|vatrogasac|vatrogasna kola
👩‍🚒;žena vatrogasac;vatrogasac|vatrogasna kola|žena
	👩🏻‍🚒;žena vatrogasac: svijetla boja kože;svijetla boja kože|vatrogasac|vatrogasna kola|žena
	👩🏼‍🚒;žena vatrogasac: umjereno svijetla boja kože;umjereno svijetla boja kože|vatrogasac|vatrogasna kola|žena
	👩🏽‍🚒;žena vatrogasac: umjerena boja kože;umjerena boja kože|vatrogasac|vatrogasna kola|žena
	👩🏾‍🚒;žena vatrogasac: umjereno tamna boja kože;umjereno tamna boja kože|vatrogasac|vatrogasna kola|žena
	👩🏿‍🚒;žena vatrogasac: tamna boja kože;tamna boja kože|vatrogasac|vatrogasna kola|žena
👮;policijski službenik;policajac|policija|policijski službenik
	👮🏻;policijski službenik: svijetla boja kože;policajac|policija|policijski službenik|svijetla boja kože
	👮🏼;policijski službenik: umjereno svijetla boja kože;policajac|policija|policijski službenik|umjereno svijetla boja kože
	👮🏽;policijski službenik: umjerena boja kože;policajac|policija|policijski službenik|umjerena boja kože
	👮🏾;policijski službenik: umjereno tamna boja kože;policajac|policija|policijski službenik|umjereno tamna boja kože
	👮🏿;policijski službenik: tamna boja kože;policajac|policija|policijski službenik|tamna boja kože
👮‍♂️;policajac;muškarac|policajac|policija|službenik
	👮🏻‍♂️;policajac: svijetla boja kože;muškarac|policajac|policija|službenik|svijetla boja kože
	👮🏼‍♂️;policajac: umjereno svijetla boja kože;muškarac|policajac|policija|službenik|umjereno svijetla boja kože
	👮🏽‍♂️;policajac: umjerena boja kože;muškarac|policajac|policija|službenik|umjerena boja kože
	👮🏾‍♂️;policajac: umjereno tamna boja kože;muškarac|policajac|policija|službenik|umjereno tamna boja kože
	👮🏿‍♂️;policajac: tamna boja kože;muškarac|policajac|policija|službenik|tamna boja kože
👮‍♀️;žena policajac;policajac|policija|žena
	👮🏻‍♀️;žena policajac: svijetla boja kože;policajac|policija|svijetla boja kože|žena
	👮🏼‍♀️;žena policajac: umjereno svijetla boja kože;policajac|policija|umjereno svijetla boja kože|žena
	👮🏽‍♀️;žena policajac: umjerena boja kože;policajac|policija|umjerena boja kože|žena
	👮🏾‍♀️;žena policajac: umjereno tamna boja kože;policajac|policija|umjereno tamna boja kože|žena
	👮🏿‍♀️;žena policajac: tamna boja kože;policajac|policija|tamna boja kože|žena
🕵️;detektiv;detektiv|muškarac|špijun
	🕵🏻;detektiv: svijetla boja kože;detektiv|muškarac|špijun|svijetla boja kože
	🕵🏼;detektiv: umjereno svijetla boja kože;detektiv|muškarac|špijun|umjereno svijetla boja kože
	🕵🏽;detektiv: umjerena boja kože;detektiv|muškarac|špijun|umjerena boja kože
	🕵🏾;detektiv: umjereno tamna boja kože;detektiv|muškarac|špijun|umjereno tamna boja kože
	🕵🏿;detektiv: tamna boja kože;detektiv|muškarac|špijun|tamna boja kože
🕵️‍♂️;muškarac detektiv;detektiv|detektiv muškarac|muškarac detektiv|špijun
	🕵🏻‍♂️;muškarac detektiv: svijetla boja kože;detektiv|detektiv muškarac|muškarac detektiv|špijun|svijetla boja kože
	🕵🏼‍♂️;muškarac detektiv: umjereno svijetla boja kože;detektiv|detektiv muškarac|muškarac detektiv|špijun|umjereno svijetla boja kože
	🕵🏽‍♂️;muškarac detektiv: umjerena boja kože;detektiv|detektiv muškarac|muškarac detektiv|špijun|umjerena boja kože
	🕵🏾‍♂️;muškarac detektiv: umjereno tamna boja kože;detektiv|detektiv muškarac|muškarac detektiv|špijun|umjereno tamna boja kože
	🕵🏿‍♂️;muškarac detektiv: tamna boja kože;detektiv|detektiv muškarac|muškarac detektiv|špijun|tamna boja kože
🕵️‍♀️;detektivka;detektiv|detektivka|špijun|žena
	🕵🏻‍♀️;detektivka: svijetla boja kože;detektiv|detektivka|špijun|svijetla boja kože|žena
	🕵🏼‍♀️;detektivka: umjereno svijetla boja kože;detektiv|detektivka|špijun|umjereno svijetla boja kože|žena
	🕵🏽‍♀️;detektivka: umjerena boja kože;detektiv|detektivka|špijun|umjerena boja kože|žena
	🕵🏾‍♀️;detektivka: umjereno tamna boja kože;detektiv|detektivka|špijun|umjereno tamna boja kože|žena
	🕵🏿‍♀️;detektivka: tamna boja kože;detektiv|detektivka|špijun|tamna boja kože|žena
💂;stražar;straža|stražar
	💂🏻;stražar: svijetla boja kože;straža|stražar|svijetla boja kože
	💂🏼;stražar: umjereno svijetla boja kože;straža|stražar|umjereno svijetla boja kože
	💂🏽;stražar: umjerena boja kože;straža|stražar|umjerena boja kože
	💂🏾;stražar: umjereno tamna boja kože;straža|stražar|umjereno tamna boja kože
	💂🏿;stražar: tamna boja kože;straža|stražar|tamna boja kože
💂‍♂️;muškarac stražar;muškarac|muškarac stražar|straža
	💂🏻‍♂️;muškarac stražar: svijetla boja kože;muškarac|muškarac stražar|straža|svijetla boja kože
	💂🏼‍♂️;muškarac stražar: umjereno svijetla boja kože;muškarac|muškarac stražar|straža|umjereno svijetla boja kože
	💂🏽‍♂️;muškarac stražar: umjerena boja kože;muškarac|muškarac stražar|straža|umjerena boja kože
	💂🏾‍♂️;muškarac stražar: umjereno tamna boja kože;muškarac|muškarac stražar|straža|umjereno tamna boja kože
	💂🏿‍♂️;muškarac stražar: tamna boja kože;muškarac|muškarac stražar|straža|tamna boja kože
💂‍♀️;stražarka;straža|stražarka
	💂🏻‍♀️;stražarka: svijetla boja kože;straža|stražarka|svijetla boja kože
	💂🏼‍♀️;stražarka: umjereno svijetla boja kože;straža|stražarka|umjereno svijetla boja kože
	💂🏽‍♀️;stražarka: umjerena boja kože;straža|stražarka|umjerena boja kože
	💂🏾‍♀️;stražarka: umjereno tamna boja kože;straža|stražarka|umjereno tamna boja kože
	💂🏿‍♀️;stražarka: tamna boja kože;straža|stražarka|tamna boja kože
🥷;nindža;borac|nindža|prikradanje|sakrivanje
	🥷🏻;nindža: svijetla boja kože;borac|nindža|prikradanje|sakrivanje|svijetla boja kože
	🥷🏼;nindža: umjereno svijetla boja kože;borac|nindža|prikradanje|sakrivanje|umjereno svijetla boja kože
	🥷🏽;nindža: umjerena boja kože;borac|nindža|prikradanje|sakrivanje|umjerena boja kože
	🥷🏾;nindža: umjereno tamna boja kože;borac|nindža|prikradanje|sakrivanje|umjereno tamna boja kože
	🥷🏿;nindža: tamna boja kože;borac|nindža|prikradanje|sakrivanje|tamna boja kože
👷;građevinski radnik;građevina|građevinski radnik|građevinski radovi|radnik|šljem
	👷🏻;građevinski radnik: svijetla boja kože;građevina|građevinski radnik|građevinski radovi|radnik|šljem|svijetla boja kože
	👷🏼;građevinski radnik: umjereno svijetla boja kože;građevina|građevinski radnik|građevinski radovi|radnik|šljem|umjereno svijetla boja kože
	👷🏽;građevinski radnik: umjerena boja kože;građevina|građevinski radnik|građevinski radovi|radnik|šljem|umjerena boja kože
	👷🏾;građevinski radnik: umjereno tamna boja kože;građevina|građevinski radnik|građevinski radovi|radnik|šljem|umjereno tamna boja kože
	👷🏿;građevinski radnik: tamna boja kože;građevina|građevinski radnik|građevinski radovi|radnik|šljem|tamna boja kože
👷‍♂️;građevinski radnik muško;građevina|građevinski radnik|građevinski radnik muško|građevinski radovi|radnik|šljem
	👷🏻‍♂️;građevinski radnik muško: svijetla boja kože;građevina|građevinski radnik|građevinski radnik muško|građevinski radovi|radnik|šljem|svijetla boja kože
	👷🏼‍♂️;građevinski radnik muško: umjereno svijetla boja kože;građevina|građevinski radnik|građevinski radnik muško|građevinski radovi|radnik|šljem|umjereno svijetla boja kože
	👷🏽‍♂️;građevinski radnik muško: umjerena boja kože;građevina|građevinski radnik|građevinski radnik muško|građevinski radovi|radnik|šljem|umjerena boja kože
	👷🏾‍♂️;građevinski radnik muško: umjereno tamna boja kože;građevina|građevinski radnik|građevinski radnik muško|građevinski radovi|radnik|šljem|umjereno tamna boja kože
	👷🏿‍♂️;građevinski radnik muško: tamna boja kože;građevina|građevinski radnik|građevinski radnik muško|građevinski radovi|radnik|šljem|tamna boja kože
👷‍♀️;građevinska radnica;građevina|građevinska radnica|građevinski radovi|radnik|šljem
	👷🏻‍♀️;građevinska radnica: svijetla boja kože;građevina|građevinska radnica|građevinski radovi|radnik|šljem|svijetla boja kože
	👷🏼‍♀️;građevinska radnica: umjereno svijetla boja kože;građevina|građevinska radnica|građevinski radovi|radnik|šljem|umjereno svijetla boja kože
	👷🏽‍♀️;građevinska radnica: umjerena boja kože;građevina|građevinska radnica|građevinski radovi|radnik|šljem|umjerena boja kože
	👷🏾‍♀️;građevinska radnica: umjereno tamna boja kože;građevina|građevinska radnica|građevinski radovi|radnik|šljem|umjereno tamna boja kože
	👷🏿‍♀️;građevinska radnica: tamna boja kože;građevina|građevinska radnica|građevinski radovi|radnik|šljem|tamna boja kože
🫅;osoba s krunom;kraljevski|osoba s krunom|plemićki|plemstvo|vladar
	🫅🏻;osoba s krunom: svijetla boja kože;kraljevski|osoba s krunom|plemićki|plemstvo|svijetla boja kože|vladar
	🫅🏼;osoba s krunom: umjereno svijetla boja kože;kraljevski|osoba s krunom|plemićki|plemstvo|umjereno svijetla boja kože|vladar
	🫅🏽;osoba s krunom: umjerena boja kože;kraljevski|osoba s krunom|plemićki|plemstvo|umjerena boja kože|vladar
	🫅🏾;osoba s krunom: umjereno tamna boja kože;kraljevski|osoba s krunom|plemićki|plemstvo|umjereno tamna boja kože|vladar
	🫅🏿;osoba s krunom: tamna boja kože;kraljevski|osoba s krunom|plemićki|plemstvo|tamna boja kože|vladar
🤴;princ;princ
	🤴🏻;princ: svijetla boja kože;princ|svijetla boja kože
	🤴🏼;princ: umjereno svijetla boja kože;princ|umjereno svijetla boja kože
	🤴🏽;princ: umjerena boja kože;princ|umjerena boja kože
	🤴🏾;princ: umjereno tamna boja kože;princ|umjereno tamna boja kože
	🤴🏿;princ: tamna boja kože;princ|tamna boja kože
👸;princeza;bajka|fantazija|princeza
	👸🏻;princeza: svijetla boja kože;bajka|fantazija|princeza|svijetla boja kože
	👸🏼;princeza: umjereno svijetla boja kože;bajka|fantazija|princeza|umjereno svijetla boja kože
	👸🏽;princeza: umjerena boja kože;bajka|fantazija|princeza|umjerena boja kože
	👸🏾;princeza: umjereno tamna boja kože;bajka|fantazija|princeza|umjereno tamna boja kože
	👸🏿;princeza: tamna boja kože;bajka|fantazija|princeza|tamna boja kože
👳;osoba s turbanom;osoba s turbanom|turban
	👳🏻;osoba s turbanom: svijetla boja kože;osoba s turbanom|svijetla boja kože|turban
	👳🏼;osoba s turbanom: umjereno svijetla boja kože;osoba s turbanom|turban|umjereno svijetla boja kože
	👳🏽;osoba s turbanom: umjerena boja kože;osoba s turbanom|turban|umjerena boja kože
