# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;gülən üz;gülən üz|gülmək|üz
	🙅🏻‍♀️;əleyhinə olan qadın: açıq dəri tonu;açıq dəri tonu|əl|əleyhinə|əleyhinə olan qadın|jest|qadağandır|qadın
	🙅🏼‍♀️;əleyhinə olan qadın: orta-açıq dəri tonu;əl|əleyhinə|əleyhinə olan qadın|jest|orta-açıq dəri tonu|qadağandır|qadın
	🙅🏽‍♀️;əleyhinə olan qadın: orta dəri tonu;əl|əleyhinə|əleyhinə olan qadın|jest|orta dəri tonu|qadağandır|qadın
	🙅🏾‍♀️;əleyhinə olan qadın: orta-tünd dəri tonu;əl|əleyhinə|əleyhinə olan qadın|jest|orta-tünd dəri tonu|qadağandır|qadın
	🙅🏿‍♀️;əleyhinə olan qadın: tünd dəri tonu;əl|əleyhinə|əleyhinə olan qadın|jest|qadağandır|qadın|tünd dəri tonu
🙆;ok jesti;Aman Allahım jesti|əl|jest|məşq|ok|OK|ok jesti|razılaşan qadın
	🙆🏻;ok jesti: açıq dəri tonu;açıq dəri tonu|Aman Allahım jesti|əl|jest|məşq|ok|OK|ok jesti|razılaşan qadın
	🙆🏼;ok jesti: orta-açıq dəri tonu;Aman Allahım jesti|əl|jest|məşq|ok|OK|ok jesti|orta-açıq dəri tonu|razılaşan qadın
	🙆🏽;ok jesti: orta dəri tonu;Aman Allahım jesti|əl|jest|məşq|ok|OK|ok jesti|orta dəri tonu|razılaşan qadın
	🙆🏾;ok jesti: orta-tünd dəri tonu;Aman Allahım jesti|əl|jest|məşq|ok|OK|ok jesti|orta-tünd dəri tonu|razılaşan qadın
	🙆🏿;ok jesti: tünd dəri tonu;Aman Allahım jesti|əl|jest|məşq|ok|OK|ok jesti|razılaşan qadın|tünd dəri tonu
🙆‍♂️;lehinə olan kişi;əl|jest|kişi|lehinə|lehinə olan kişi|razılaşan kişi
	🙆🏻‍♂️;lehinə olan kişi: açıq dəri tonu;açıq dəri tonu|əl|jest|kişi|lehinə|lehinə olan kişi|razılaşan kişi
	🙆🏼‍♂️;lehinə olan kişi: orta-açıq dəri tonu;əl|jest|kişi|lehinə|lehinə olan kişi|orta-açıq dəri tonu|razılaşan kişi
	🙆🏽‍♂️;lehinə olan kişi: orta dəri tonu;əl|jest|kişi|lehinə|lehinə olan kişi|orta dəri tonu|razılaşan kişi
	🙆🏾‍♂️;lehinə olan kişi: orta-tünd dəri tonu;əl|jest|kişi|lehinə|lehinə olan kişi|orta-tünd dəri tonu|razılaşan kişi
	🙆🏿‍♂️;lehinə olan kişi: tünd dəri tonu;əl|jest|kişi|lehinə|lehinə olan kişi|razılaşan kişi|tünd dəri tonu
🙆‍♀️;lehinə olan qadın;əl|jest|lehinə|lehinə olan qadın|qadın
	🙆🏻‍♀️;lehinə olan qadın: açıq dəri tonu;açıq dəri tonu|əl|jest|lehinə|lehinə olan qadın|qadın
	🙆🏼‍♀️;lehinə olan qadın: orta-açıq dəri tonu;əl|jest|lehinə|lehinə olan qadın|orta-açıq dəri tonu|qadın
	🙆🏽‍♀️;lehinə olan qadın: orta dəri tonu;əl|jest|lehinə|lehinə olan qadın|orta dəri tonu|qadın
	🙆🏾‍♀️;lehinə olan qadın: orta-tünd dəri tonu;əl|jest|lehinə|lehinə olan qadın|orta-tünd dəri tonu|qadın
	🙆🏿‍♀️;lehinə olan qadın: tünd dəri tonu;əl|jest|lehinə|lehinə olan qadın|qadın|tünd dəri tonu
💁;məlumat verən şəxs;ciddi şəkildə|davranışsız|əl|hər nə isə|istehza|istehzalı|kobud|kömək|məlumat|məlumat verən qadın|məlumat verən şəxs|qeybət|saçını arxaya atma|saçını özündənrazı şəkildə yellətmə|yardım|yardım təklif etmək
	💁🏻;məlumat verən şəxs: açıq dəri tonu;açıq dəri tonu|ciddi şəkildə|davranışsız|əl|hər nə isə|istehza|istehzalı|kobud|kömək|məlumat|məlumat verən qadın|məlumat verən şəxs|qeybət|saçını arxaya atma|saçını özündənrazı şəkildə yellətmə|yardım|yardım təklif etmək
	💁🏼;məlumat verən şəxs: orta-açıq dəri tonu;ciddi şəkildə|davranışsız|əl|hər nə isə|istehza|istehzalı|kobud|kömək|məlumat|məlumat verən qadın|məlumat verən şəxs|orta-açıq dəri tonu|qeybət|saçını arxaya atma|saçını özündənrazı şəkildə yellətmə|yardım|yardım təklif etmək
	💁🏽;məlumat verən şəxs: orta dəri tonu;ciddi şəkildə|davranışsız|əl|hər nə isə|istehza|istehzalı|kobud|kömək|məlumat|məlumat verən qadın|məlumat verən şəxs|orta dəri tonu|qeybət|saçını arxaya atma|saçını özündənrazı şəkildə yellətmə|yardım|yardım təklif etmək
	💁🏾;məlumat verən şəxs: orta-tünd dəri tonu;ciddi şəkildə|davranışsız|əl|hər nə isə|istehza|istehzalı|kobud|kömək|məlumat|məlumat verən qadın|məlumat verən şəxs|orta-tünd dəri tonu|qeybət|saçını arxaya atma|saçını özündənrazı şəkildə yellətmə|yardım|yardım təklif etmək
	💁🏿;məlumat verən şəxs: tünd dəri tonu;ciddi şəkildə|davranışsız|əl|hər nə isə|istehza|istehzalı|kobud|kömək|məlumat|məlumat verən qadın|məlumat verən şəxs|qeybət|saçını arxaya atma|saçını özündənrazı şəkildə yellətmə|tünd dəri tonu|yardım|yardım təklif etmək
💁‍♂️;əl uzadan kişi;əl uzadan kişi|əl uzatmaq|kişi|məlumat verən kişi|sırtıq|yardım edən kişi
	💁🏻‍♂️;əl uzadan kişi: açıq dəri tonu;açıq dəri tonu|əl uzadan kişi|əl uzatmaq|kişi|məlumat verən kişi|sırtıq|yardım edən kişi
	💁🏼‍♂️;əl uzadan kişi: orta-açıq dəri tonu;əl uzadan kişi|əl uzatmaq|kişi|məlumat verən kişi|orta-açıq dəri tonu|sırtıq|yardım edən kişi
	💁🏽‍♂️;əl uzadan kişi: orta dəri tonu;əl uzadan kişi|əl uzatmaq|kişi|məlumat verən kişi|orta dəri tonu|sırtıq|yardım edən kişi
	💁🏾‍♂️;əl uzadan kişi: orta-tünd dəri tonu;əl uzadan kişi|əl uzatmaq|kişi|məlumat verən kişi|orta-tünd dəri tonu|sırtıq|yardım edən kişi
	💁🏿‍♂️;əl uzadan kişi: tünd dəri tonu;əl uzadan kişi|əl uzatmaq|kişi|məlumat verən kişi|sırtıq|tünd dəri tonu|yardım edən kişi
💁‍♀️;əl uzadan qadın;əl uzadan qadın|əl uzamaq|qadın|sırtıq
	💁🏻‍♀️;əl uzadan qadın: açıq dəri tonu;açıq dəri tonu|əl uzadan qadın|əl uzamaq|qadın|sırtıq
	💁🏼‍♀️;əl uzadan qadın: orta-açıq dəri tonu;əl uzadan qadın|əl uzamaq|orta-açıq dəri tonu|qadın|sırtıq
	💁🏽‍♀️;əl uzadan qadın: orta dəri tonu;əl uzadan qadın|əl uzamaq|orta dəri tonu|qadın|sırtıq
	💁🏾‍♀️;əl uzadan qadın: orta-tünd dəri tonu;əl uzadan qadın|əl uzamaq|orta-tünd dəri tonu|qadın|sırtıq
	💁🏿‍♀️;əl uzadan qadın: tünd dəri tonu;əl uzadan qadın|əl uzamaq|qadın|sırtıq|tünd dəri tonu
🙋;əlini qaldıran xoşbəxt adam;&quot;mən bilirəm&quot; emojisi|elə burada|əl|əlini qaldıran qadın|əlini qaldıran xoşbəxt adam|əllər|jest|Kömək edə bilərəm|məhz burada|məni|məni seç|qaldırılmış|sual|xoşbəxt
	🙋🏻;əlini qaldıran xoşbəxt adam: açıq dəri tonu;&quot;mən bilirəm&quot; emojisi|açıq dəri tonu|elə burada|əl|əlini qaldıran qadın|əlini qaldıran xoşbəxt adam|əllər|jest|Kömək edə bilərəm|məhz burada|məni|məni seç|qaldırılmış|sual|xoşbəxt
	🙋🏼;əlini qaldıran xoşbəxt adam: orta-açıq dəri tonu;&quot;mən bilirəm&quot; emojisi|elə burada|əl|əlini qaldıran qadın|əlini qaldıran xoşbəxt adam|əllər|jest|Kömək edə bilərəm|məhz burada|məni|məni seç|orta-açıq dəri tonu|qaldırılmış|sual|xoşbəxt
	🙋🏽;əlini qaldıran xoşbəxt adam: orta dəri tonu;&quot;mən bilirəm&quot; emojisi|elə burada|əl|əlini qaldıran qadın|əlini qaldıran xoşbəxt adam|əllər|jest|Kömək edə bilərəm|məhz burada|məni|məni seç|orta dəri tonu|qaldırılmış|sual|xoşbəxt
	🙋🏾;əlini qaldıran xoşbəxt adam: orta-tünd dəri tonu;&quot;mən bilirəm&quot; emojisi|elə burada|əl|əlini qaldıran qadın|əlini qaldıran xoşbəxt adam|əllər|jest|Kömək edə bilərəm|məhz burada|məni|məni seç|orta-tünd dəri tonu|qaldırılmış|sual|xoşbəxt
	🙋🏿;əlini qaldıran xoşbəxt adam: tünd dəri tonu;&quot;mən bilirəm&quot; emojisi|elə burada|əl|əlini qaldıran qadın|əlini qaldıran xoşbəxt adam|əllər|jest|Kömək edə bilərəm|məhz burada|məni|məni seç|qaldırılmış|sual|tünd dəri tonu|xoşbəxt
🙋‍♂️;əl qaldıran kişi;əl qaldıran kişi|əl qaldırmaq|əl sallayan kişi|jest|kişi|sual vermək istəyən kişi
	🙋🏻‍♂️;əl qaldıran kişi: açıq dəri tonu;açıq dəri tonu|əl qaldıran kişi|əl qaldırmaq|əl sallayan kişi|jest|kişi|sual vermək istəyən kişi
	🙋🏼‍♂️;əl qaldıran kişi: orta-açıq dəri tonu;əl qaldıran kişi|əl qaldırmaq|əl sallayan kişi|jest|kişi|orta-açıq dəri tonu|sual vermək istəyən kişi
	🙋🏽‍♂️;əl qaldıran kişi: orta dəri tonu;əl qaldıran kişi|əl qaldırmaq|əl sallayan kişi|jest|kişi|orta dəri tonu|sual vermək istəyən kişi
	🙋🏾‍♂️;əl qaldıran kişi: orta-tünd dəri tonu;əl qaldıran kişi|əl qaldırmaq|əl sallayan kişi|jest|kişi|orta-tünd dəri tonu|sual vermək istəyən kişi
	🙋🏿‍♂️;əl qaldıran kişi: tünd dəri tonu;əl qaldıran kişi|əl qaldırmaq|əl sallayan kişi|jest|kişi|sual vermək istəyən kişi|tünd dəri tonu
🙋‍♀️;əl qaldıran qadın;əl qaldıran qadın|əl qaldırmaq|jest|qadın
	🙋🏻‍♀️;əl qaldıran qadın: açıq dəri tonu;açıq dəri tonu|əl qaldıran qadın|əl qaldırmaq|jest|qadın
	🙋🏼‍♀️;əl qaldıran qadın: orta-açıq dəri tonu;əl qaldıran qadın|əl qaldırmaq|jest|orta-açıq dəri tonu|qadın
	🙋🏽‍♀️;əl qaldıran qadın: orta dəri tonu;əl qaldıran qadın|əl qaldırmaq|jest|orta dəri tonu|qadın
	🙋🏾‍♀️;əl qaldıran qadın: orta-tünd dəri tonu;əl qaldıran qadın|əl qaldırmaq|jest|orta-tünd dəri tonu|qadın
	🙋🏿‍♀️;əl qaldıran qadın: tünd dəri tonu;əl qaldıran qadın|əl qaldırmaq|jest|qadın|tünd dəri tonu
🧏;kar şəxs;eşitmə|eşitmə problemi olan adam|kar|kar şəxs|qulaq
	🧏🏻;kar şəxs: açıq dəri tonu;açıq dəri tonu|eşitmə|eşitmə problemi olan adam|kar|kar şəxs|qulaq
	🧏🏼;kar şəxs: orta-açıq dəri tonu;eşitmə|eşitmə problemi olan adam|kar|kar şəxs|orta-açıq dəri tonu|qulaq
	🧏🏽;kar şəxs: orta dəri tonu;eşitmə|eşitmə problemi olan adam|kar|kar şəxs|orta dəri tonu|qulaq
	🧏🏾;kar şəxs: orta-tünd dəri tonu;eşitmə|eşitmə problemi olan adam|kar|kar şəxs|orta-tünd dəri tonu|qulaq
	🧏🏿;kar şəxs: tünd dəri tonu;eşitmə|eşitmə problemi olan adam|kar|kar şəxs|qulaq|tünd dəri tonu
🧏‍♂️;kar kişi;kar|kişi
	🧏🏻‍♂️;kar kişi: açıq dəri tonu;açıq dəri tonu|kar|kişi
	🧏🏼‍♂️;kar kişi: orta-açıq dəri tonu;kar|kişi|orta-açıq dəri tonu
	🧏🏽‍♂️;kar kişi: orta dəri tonu;kar|kişi|orta dəri tonu
	🧏🏾‍♂️;kar kişi: orta-tünd dəri tonu;kar|kişi|orta-tünd dəri tonu
	🧏🏿‍♂️;kar kişi: tünd dəri tonu;kar|kişi|tünd dəri tonu
🧏‍♀️;kar qadın;kar|qadın
	🧏🏻‍♀️;kar qadın: açıq dəri tonu;açıq dəri tonu|kar|qadın
	🧏🏼‍♀️;kar qadın: orta-açıq dəri tonu;kar|orta-açıq dəri tonu|qadın
	🧏🏽‍♀️;kar qadın: orta dəri tonu;kar|orta dəri tonu|qadın
	🧏🏾‍♀️;kar qadın: orta-tünd dəri tonu;kar|orta-tünd dəri tonu|qadın
	🧏🏿‍♀️;kar qadın: tünd dəri tonu;kar|qadın|tünd dəri tonu
🙇;tənzim edən adam;bağışlamaq|heyifsilənmək|jest|meditasiya|meditasiya etmək|səcdə edən kişi|təəssüf hissi keçirmək|tənzim edən adam|tənzim etmək|təzim etmək|üzr|üzr istəmək|yalvarmaq
	🙇🏻;tənzim edən adam: açıq dəri tonu;açıq dəri tonu|bağışlamaq|heyifsilənmək|jest|meditasiya|meditasiya etmək|səcdə edən kişi|təəssüf hissi keçirmək|tənzim edən adam|tənzim etmək|təzim etmək|üzr|üzr istəmək|yalvarmaq
	🙇🏼;tənzim edən adam: orta-açıq dəri tonu;bağışlamaq|heyifsilənmək|jest|meditasiya|meditasiya etmək|orta-açıq dəri tonu|səcdə edən kişi|təəssüf hissi keçirmək|tənzim edən adam|tənzim etmək|təzim etmək|üzr|üzr istəmək|yalvarmaq
	🙇🏽;tənzim edən adam: orta dəri tonu;bağışlamaq|heyifsilənmək|jest|meditasiya|meditasiya etmək|orta dəri tonu|səcdə edən kişi|təəssüf hissi keçirmək|tənzim edən adam|tənzim etmək|təzim etmək|üzr|üzr istəmək|yalvarmaq
	🙇🏾;tənzim edən adam: orta-tünd dəri tonu;bağışlamaq|heyifsilənmək|jest|meditasiya|meditasiya etmək|orta-tünd dəri tonu|səcdə edən kişi|təəssüf hissi keçirmək|tənzim edən adam|tənzim etmək|təzim etmək|üzr|üzr istəmək|yalvarmaq
	🙇🏿;tənzim edən adam: tünd dəri tonu;bağışlamaq|heyifsilənmək|jest|meditasiya|meditasiya etmək|səcdə edən kişi|təəssüf hissi keçirmək|tənzim edən adam|tənzim etmək|təzim etmək|tünd dəri tonu|üzr|üzr istəmək|yalvarmaq
🙇‍♂️;baş əyən kişi;alqış|baş əyən kişi|jest|kişi|lehinə|tənzim|üzrxahlıq
	🙇🏻‍♂️;baş əyən kişi: açıq dəri tonu;açıq dəri tonu|alqış|baş əyən kişi|jest|kişi|lehinə|tənzim|üzrxahlıq
	🙇🏼‍♂️;baş əyən kişi: orta-açıq dəri tonu;alqış|baş əyən kişi|jest|kişi|lehinə|orta-açıq dəri tonu|tənzim|üzrxahlıq
	🙇🏽‍♂️;baş əyən kişi: orta dəri tonu;alqış|baş əyən kişi|jest|kişi|lehinə|orta dəri tonu|tənzim|üzrxahlıq
	🙇🏾‍♂️;baş əyən kişi: orta-tünd dəri tonu;alqış|baş əyən kişi|jest|kişi|lehinə|orta-tünd dəri tonu|tənzim|üzrxahlıq
	🙇🏿‍♂️;baş əyən kişi: tünd dəri tonu;alqış|baş əyən kişi|jest|kişi|lehinə|tənzim|tünd dəri tonu|üzrxahlıq
🙇‍♀️;baş əyən qadın;alqış|baş əyən qadın|jest|lehinə|qadın|tənzim|üzrxahlıq
	🙇🏻‍♀️;baş əyən qadın: açıq dəri tonu;açıq dəri tonu|alqış|baş əyən qadın|jest|lehinə|qadın|tənzim|üzrxahlıq
	🙇🏼‍♀️;baş əyən qadın: orta-açıq dəri tonu;alqış|baş əyən qadın|jest|lehinə|orta-açıq dəri tonu|qadın|tənzim|üzrxahlıq
	🙇🏽‍♀️;baş əyən qadın: orta dəri tonu;alqış|baş əyən qadın|jest|lehinə|orta dəri tonu|qadın|tənzim|üzrxahlıq
	🙇🏾‍♀️;baş əyən qadın: orta-tünd dəri tonu;alqış|baş əyən qadın|jest|lehinə|orta-tünd dəri tonu|qadın|tənzim|üzrxahlıq
	🙇🏿‍♀️;baş əyən qadın: tünd dəri tonu;alqış|baş əyən qadın|jest|lehinə|qadın|tənzim|tünd dəri tonu|üzrxahlıq
🤦;inanmaq olmur;acıqlanma|Aman Allahım|bir də yox|daha sözüm yoxdur|inamsızlıq|inanılmaz|inanmaq olmur|oy yox|pərt olmaq|təəccübdən başını yellətmək|təngimiş şəxs|üzünü tutan şəxs
	🤦🏻;inanmaq olmur: açıq dəri tonu;açıq dəri tonu|acıqlanma|Aman Allahım|bir də yox|daha sözüm yoxdur|inamsızlıq|inanılmaz|inanmaq olmur|oy yox|pərt olmaq|təəccübdən başını yellətmək|təngimiş şəxs|üzünü tutan şəxs
	🤦🏼;inanmaq olmur: orta-açıq dəri tonu;acıqlanma|Aman Allahım|bir də yox|daha sözüm yoxdur|inamsızlıq|inanılmaz|inanmaq olmur|orta-açıq dəri tonu|oy yox|pərt olmaq|təəccübdən başını yellətmək|təngimiş şəxs|üzünü tutan şəxs
	🤦🏽;inanmaq olmur: orta dəri tonu;acıqlanma|Aman Allahım|bir də yox|daha sözüm yoxdur|inamsızlıq|inanılmaz|inanmaq olmur|orta dəri tonu|oy yox|pərt olmaq|təəccübdən başını yellətmək|təngimiş şəxs|üzünü tutan şəxs
	🤦🏾;inanmaq olmur: orta-tünd dəri tonu;acıqlanma|Aman Allahım|bir də yox|daha sözüm yoxdur|inamsızlıq|inanılmaz|inanmaq olmur|orta-tünd dəri tonu|oy yox|pərt olmaq|təəccübdən başını yellətmək|təngimiş şəxs|üzünü tutan şəxs
	🤦🏿;inanmaq olmur: tünd dəri tonu;acıqlanma|Aman Allahım|bir də yox|daha sözüm yoxdur|inamsızlıq|inanılmaz|inanmaq olmur|oy yox|pərt olmaq|təəccübdən başını yellətmək|təngimiş şəxs|tünd dəri tonu|üzünü tutan şəxs
🤦‍♂️;üzünü tutan kişi;acıq edən kişi|acıqlanma|Aman Allahım|bir də yox|inamsızlıq|kişi|oy yox|pərt olmaq|qəzəb|təəccübdən başını yellətmək|üzünü tutan kişi|üzünü tutmaq
	🤦🏻‍♂️;üzünü tutan kişi: açıq dəri tonu;açıq dəri tonu|acıq edən kişi|acıqlanma|Aman Allahım|bir də yox|inamsızlıq|kişi|oy yox|pərt olmaq|qəzəb|təəccübdən başını yellətmək|üzünü tutan kişi|üzünü tutmaq
	🤦🏼‍♂️;üzünü tutan kişi: orta-açıq dəri tonu;acıq edən kişi|acıqlanma|Aman Allahım|bir də yox|inamsızlıq|kişi|orta-açıq dəri tonu|oy yox|pərt olmaq|qəzəb|təəccübdən başını yellətmək|üzünü tutan kişi|üzünü tutmaq
	🤦🏽‍♂️;üzünü tutan kişi: orta dəri tonu;acıq edən kişi|acıqlanma|Aman Allahım|bir də yox|inamsızlıq|kişi|orta dəri tonu|oy yox|pərt olmaq|qəzəb|təəccübdən başını yellətmək|üzünü tutan kişi|üzünü tutmaq
	🤦🏾‍♂️;üzünü tutan kişi: orta-tünd dəri tonu;acıq edən kişi|acıqlanma|Aman Allahım|bir də yox|inamsızlıq|kişi|orta-tünd dəri tonu|oy yox|pərt olmaq|qəzəb|təəccübdən başını yellətmək|üzünü tutan kişi|üzünü tutmaq
	🤦🏿‍♂️;üzünü tutan kişi: tünd dəri tonu;acıq edən kişi|acıqlanma|Aman Allahım|bir də yox|inamsızlıq|kişi|oy yox|pərt olmaq|qəzəb|təəccübdən başını yellətmək|tünd dəri tonu|üzünü tutan kişi|üzünü tutmaq
🤦‍♀️;üzünü tutan qadın;acıqlanma|Aman Allahım|bir də yox|inamsızlıq|oy yox|pərt olmaq|qadın|təəccübdən başını yellətmək|təəccübləndirmək|təngimiş qadın|üzünü tutan qadın|üzünü tutmaq
	🤦🏻‍♀️;üzünü tutan qadın: açıq dəri tonu;açıq dəri tonu|acıqlanma|Aman Allahım|bir də yox|inamsızlıq|oy yox|pərt olmaq|qadın|təəccübdən başını yellətmək|təəccübləndirmək|təngimiş qadın|üzünü tutan qadın|üzünü tutmaq
	🤦🏼‍♀️;üzünü tutan qadın: orta-açıq dəri tonu;acıqlanma|Aman Allahım|bir də yox|inamsızlıq|orta-açıq dəri tonu|oy yox|pərt olmaq|qadın|təəccübdən başını yellətmək|təəccübləndirmək|təngimiş qadın|üzünü tutan qadın|üzünü tutmaq
	🤦🏽‍♀️;üzünü tutan qadın: orta dəri tonu;acıqlanma|Aman Allahım|bir də yox|inamsızlıq|orta dəri tonu|oy yox|pərt olmaq|qadın|təəccübdən başını yellətmək|təəccübləndirmək|təngimiş qadın|üzünü tutan qadın|üzünü tutmaq
	🤦🏾‍♀️;üzünü tutan qadın: orta-tünd dəri tonu;acıqlanma|Aman Allahım|bir də yox|inamsızlıq|orta-tünd dəri tonu|oy yox|pərt olmaq|qadın|təəccübdən başını yellətmək|təəccübləndirmək|təngimiş qadın|üzünü tutan qadın|üzünü tutmaq
	🤦🏿‍♀️;üzünü tutan qadın: tünd dəri tonu;acıqlanma|Aman Allahım|bir də yox|inamsızlıq|oy yox|pərt olmaq|qadın|təəccübdən başını yellətmək|təəccübləndirmək|təngimiş qadın|tünd dəri tonu|üzünü tutan qadın|üzünü tutmaq
🤷;çiynini çəkmək;bəlkə|biganəlik|bilinmir|bilməmək|bilmirəm|çiynini çəkən şəxs|çiynini çəkmək|ehtimal ki|hər nə isə|kim bilir|laqeydlik|məlumatsızlıq|şübhə|tərəddüd
	🤷🏻;çiynini çəkmək: açıq dəri tonu;açıq dəri tonu|bəlkə|biganəlik|bilinmir|bilməmək|bilmirəm|çiynini çəkən şəxs|çiynini çəkmək|ehtimal ki|hər nə isə|kim bilir|laqeydlik|məlumatsızlıq|şübhə|tərəddüd
	🤷🏼;çiynini çəkmək: orta-açıq dəri tonu;bəlkə|biganəlik|bilinmir|bilməmək|bilmirəm|çiynini çəkən şəxs|çiynini çəkmək|ehtimal ki|hər nə isə|kim bilir|laqeydlik|məlumatsızlıq|orta-açıq dəri tonu|şübhə|tərəddüd
	🤷🏽;çiynini çəkmək: orta dəri tonu;bəlkə|biganəlik|bilinmir|bilməmək|bilmirəm|çiynini çəkən şəxs|çiynini çəkmək|ehtimal ki|hər nə isə|kim bilir|laqeydlik|məlumatsızlıq|orta dəri tonu|şübhə|tərəddüd
	🤷🏾;çiynini çəkmək: orta-tünd dəri tonu;bəlkə|biganəlik|bilinmir|bilməmək|bilmirəm|çiynini çəkən şəxs|çiynini çəkmək|ehtimal ki|hər nə isə|kim bilir|laqeydlik|məlumatsızlıq|orta-tünd dəri tonu|şübhə|tərəddüd
	🤷🏿;çiynini çəkmək: tünd dəri tonu;bəlkə|biganəlik|bilinmir|bilməmək|bilmirəm|çiynini çəkən şəxs|çiynini çəkmək|ehtimal ki|hər nə isə|kim bilir|laqeydlik|məlumatsızlıq|şübhə|tərəddüd|tünd dəri tonu
🤷‍♂️;çiynini çəkən kişi;bəlkə|bilinmir|bilməzlik|bilmirəm|çiynini çəkən kişi|çiynini çəkmək|ehtimal ki|hər nə isə|kim bilir|kişi|laqeydlik|məlumatsızlıq|şübhə
	🤷🏻‍♂️;çiynini çəkən kişi: açıq dəri tonu;açıq dəri tonu|bəlkə|bilinmir|bilməzlik|bilmirəm|çiynini çəkən kişi|çiynini çəkmək|ehtimal ki|hər nə isə|kim bilir|kişi|laqeydlik|məlumatsızlıq|şübhə
	🤷🏼‍♂️;çiynini çəkən kişi: orta-açıq dəri tonu;bəlkə|bilinmir|bilməzlik|bilmirəm|çiynini çəkən kişi|çiynini çəkmək|ehtimal ki|hər nə isə|kim bilir|kişi|laqeydlik|məlumatsızlıq|orta-açıq dəri tonu|şübhə
	🤷🏽‍♂️;çiynini çəkən kişi: orta dəri tonu;bəlkə|bilinmir|bilməzlik|bilmirəm|çiynini çəkən kişi|çiynini çəkmək|ehtimal ki|hər nə isə|kim bilir|kişi|laqeydlik|məlumatsızlıq|orta dəri tonu|şübhə
	🤷🏾‍♂️;çiynini çəkən kişi: orta-tünd dəri tonu;bəlkə|bilinmir|bilməzlik|bilmirəm|çiynini çəkən kişi|çiynini çəkmək|ehtimal ki|hər nə isə|kim bilir|kişi|laqeydlik|məlumatsızlıq|orta-tünd dəri tonu|şübhə
