# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;にっこり笑う;スマイル|にっこり|にっこり笑う|笑う|笑顔|顔
	🙎🏾‍♀️;不機嫌な女: やや濃い肌色;ぷんぷん|やや濃い肌色|不機嫌|不機嫌な女|不機嫌な女: やや濃い肌色|女|女性
	🙎🏿‍♀️;不機嫌な女: 濃い肌色;ぷんぷん|不機嫌|不機嫌な女|不機嫌な女: 濃い肌色|女|女性|濃い肌色
🙅;ダメのポーズをする人;NG|ジェスチャー|だめ|ダメのポーズをする人|バツ|人
	🙅🏻;ダメのポーズをする人: 薄い肌色;NG|ジェスチャー|だめ|ダメのポーズをする人|ダメのポーズをする人: 薄い肌色|バツ|人|薄い肌色
	🙅🏼;ダメのポーズをする人: やや薄い肌色;NG|ジェスチャー|だめ|ダメのポーズをする人|ダメのポーズをする人: やや薄い肌色|バツ|やや薄い肌色|人
	🙅🏽;ダメのポーズをする人: 中間の肌色;NG|ジェスチャー|だめ|ダメのポーズをする人|ダメのポーズをする人: 中間の肌色|バツ|中間の肌色|人
	🙅🏾;ダメのポーズをする人: やや濃い肌色;NG|ジェスチャー|だめ|ダメのポーズをする人|ダメのポーズをする人: やや濃い肌色|バツ|やや濃い肌色|人
	🙅🏿;ダメのポーズをする人: 濃い肌色;NG|ジェスチャー|だめ|ダメのポーズをする人|ダメのポーズをする人: 濃い肌色|バツ|人|濃い肌色
🙅‍♂️;ダメのポーズをする男;NG|ジェスチャー|ダメのポーズをする男|バツ|男|男性
	🙅🏻‍♂️;ダメのポーズをする男: 薄い肌色;NG|ジェスチャー|ダメのポーズをする男|ダメのポーズをする男: 薄い肌色|バツ|男|男性|薄い肌色
	🙅🏼‍♂️;ダメのポーズをする男: やや薄い肌色;NG|ジェスチャー|ダメのポーズをする男|ダメのポーズをする男: やや薄い肌色|バツ|やや薄い肌色|男|男性
	🙅🏽‍♂️;ダメのポーズをする男: 中間の肌色;NG|ジェスチャー|ダメのポーズをする男|ダメのポーズをする男: 中間の肌色|バツ|中間の肌色|男|男性
	🙅🏾‍♂️;ダメのポーズをする男: やや濃い肌色;NG|ジェスチャー|ダメのポーズをする男|ダメのポーズをする男: やや濃い肌色|バツ|やや濃い肌色|男|男性
	🙅🏿‍♂️;ダメのポーズをする男: 濃い肌色;NG|ジェスチャー|ダメのポーズをする男|ダメのポーズをする男: 濃い肌色|バツ|濃い肌色|男|男性
🙅‍♀️;ダメのポーズをする女;NG|ジェスチャー|ダメのポーズをする女|バツ|女|女性
	🙅🏻‍♀️;ダメのポーズをする女: 薄い肌色;NG|ジェスチャー|ダメのポーズをする女|ダメのポーズをする女: 薄い肌色|バツ|女|女性|薄い肌色
	🙅🏼‍♀️;ダメのポーズをする女: やや薄い肌色;NG|ジェスチャー|ダメのポーズをする女|ダメのポーズをする女: やや薄い肌色|バツ|やや薄い肌色|女|女性
	🙅🏽‍♀️;ダメのポーズをする女: 中間の肌色;NG|ジェスチャー|ダメのポーズをする女|ダメのポーズをする女: 中間の肌色|バツ|中間の肌色|女|女性
	🙅🏾‍♀️;ダメのポーズをする女: やや濃い肌色;NG|ジェスチャー|ダメのポーズをする女|ダメのポーズをする女: やや濃い肌色|バツ|やや濃い肌色|女|女性
	🙅🏿‍♀️;ダメのポーズをする女: 濃い肌色;NG|ジェスチャー|ダメのポーズをする女|ダメのポーズをする女: 濃い肌色|バツ|女|女性|濃い肌色
🙆;OKのポーズをする人;OK|OKのポーズをする人|オーケー|ジェスチャー|丸|人
	🙆🏻;OKのポーズをする人: 薄い肌色;OK|OKのポーズをする人|OKのポーズをする人: 薄い肌色|オーケー|ジェスチャー|丸|人|薄い肌色
	🙆🏼;OKのポーズをする人: やや薄い肌色;OK|OKのポーズをする人|OKのポーズをする人: やや薄い肌色|オーケー|ジェスチャー|やや薄い肌色|丸|人
	🙆🏽;OKのポーズをする人: 中間の肌色;OK|OKのポーズをする人|OKのポーズをする人: 中間の肌色|オーケー|ジェスチャー|中間の肌色|丸|人
	🙆🏾;OKのポーズをする人: やや濃い肌色;OK|OKのポーズをする人|OKのポーズをする人: やや濃い肌色|オーケー|ジェスチャー|やや濃い肌色|丸|人
	🙆🏿;OKのポーズをする人: 濃い肌色;OK|OKのポーズをする人|OKのポーズをする人: 濃い肌色|オーケー|ジェスチャー|丸|人|濃い肌色
🙆‍♂️;OKのポーズをする男;OKのポーズをする男|オーケー|オッケー|ジェスチャー|丸|男性
	🙆🏻‍♂️;OKのポーズをする男: 薄い肌色;OKのポーズをする男|OKのポーズをする男: 薄い肌色|オーケー|オッケー|ジェスチャー|丸|男性|薄い肌色
	🙆🏼‍♂️;OKのポーズをする男: やや薄い肌色;OKのポーズをする男|OKのポーズをする男: やや薄い肌色|オーケー|オッケー|ジェスチャー|やや薄い肌色|丸|男性
	🙆🏽‍♂️;OKのポーズをする男: 中間の肌色;OKのポーズをする男|OKのポーズをする男: 中間の肌色|オーケー|オッケー|ジェスチャー|中間の肌色|丸|男性
	🙆🏾‍♂️;OKのポーズをする男: やや濃い肌色;OKのポーズをする男|OKのポーズをする男: やや濃い肌色|オーケー|オッケー|ジェスチャー|やや濃い肌色|丸|男性
	🙆🏿‍♂️;OKのポーズをする男: 濃い肌色;OKのポーズをする男|OKのポーズをする男: 濃い肌色|オーケー|オッケー|ジェスチャー|丸|濃い肌色|男性
🙆‍♀️;OKのポーズをする女;OKのポーズをする女|オーケー|オッケー|ジェスチャー|丸|女性
	🙆🏻‍♀️;OKのポーズをする女: 薄い肌色;OKのポーズをする女|OKのポーズをする女: 薄い肌色|オーケー|オッケー|ジェスチャー|丸|女性|薄い肌色
	🙆🏼‍♀️;OKのポーズをする女: やや薄い肌色;OKのポーズをする女|OKのポーズをする女: やや薄い肌色|オーケー|オッケー|ジェスチャー|やや薄い肌色|丸|女性
	🙆🏽‍♀️;OKのポーズをする女: 中間の肌色;OKのポーズをする女|OKのポーズをする女: 中間の肌色|オーケー|オッケー|ジェスチャー|中間の肌色|丸|女性
	🙆🏾‍♀️;OKのポーズをする女: やや濃い肌色;OKのポーズをする女|OKのポーズをする女: やや濃い肌色|オーケー|オッケー|ジェスチャー|やや濃い肌色|丸|女性
	🙆🏿‍♀️;OKのポーズをする女: 濃い肌色;OKのポーズをする女|OKのポーズをする女: 濃い肌色|オーケー|オッケー|ジェスチャー|丸|女性|濃い肌色
💁;案内する人;受付|受付嬢|案内|案内する人|顔
	💁🏻;案内する人: 薄い肌色;受付|受付嬢|案内|案内する人|案内する人: 薄い肌色|薄い肌色|顔
	💁🏼;案内する人: やや薄い肌色;やや薄い肌色|受付|受付嬢|案内|案内する人|案内する人: やや薄い肌色|顔
	💁🏽;案内する人: 中間の肌色;中間の肌色|受付|受付嬢|案内|案内する人|案内する人: 中間の肌色|顔
	💁🏾;案内する人: やや濃い肌色;やや濃い肌色|受付|受付嬢|案内|案内する人|案内する人: やや濃い肌色|顔
	💁🏿;案内する人: 濃い肌色;受付|受付嬢|案内|案内する人|案内する人: 濃い肌色|濃い肌色|顔
💁‍♂️;案内する男;ジェスチャー|案内|案内する男|男|男性
	💁🏻‍♂️;案内する男: 薄い肌色;ジェスチャー|案内|案内する男|案内する男: 薄い肌色|男|男性|薄い肌色
	💁🏼‍♂️;案内する男: やや薄い肌色;ジェスチャー|やや薄い肌色|案内|案内する男|案内する男: やや薄い肌色|男|男性
	💁🏽‍♂️;案内する男: 中間の肌色;ジェスチャー|中間の肌色|案内|案内する男|案内する男: 中間の肌色|男|男性
	💁🏾‍♂️;案内する男: やや濃い肌色;ジェスチャー|やや濃い肌色|案内|案内する男|案内する男: やや濃い肌色|男|男性
	💁🏿‍♂️;案内する男: 濃い肌色;ジェスチャー|案内|案内する男|案内する男: 濃い肌色|濃い肌色|男|男性
💁‍♀️;案内する女;ジェスチャー|女|女性|案内|案内する女
	💁🏻‍♀️;案内する女: 薄い肌色;ジェスチャー|女|女性|案内|案内する女|案内する女: 薄い肌色|薄い肌色
	💁🏼‍♀️;案内する女: やや薄い肌色;ジェスチャー|やや薄い肌色|女|女性|案内|案内する女|案内する女: やや薄い肌色
	💁🏽‍♀️;案内する女: 中間の肌色;ジェスチャー|中間の肌色|女|女性|案内|案内する女|案内する女: 中間の肌色
	💁🏾‍♀️;案内する女: やや濃い肌色;ジェスチャー|やや濃い肌色|女|女性|案内|案内する女|案内する女: やや濃い肌色
	💁🏿‍♀️;案内する女: 濃い肌色;ジェスチャー|女|女性|案内|案内する女|案内する女: 濃い肌色|濃い肌色
🙋;手を挙げる人;人|手を挙げる|手を挙げる人|挙手
	🙋🏻;手を挙げる人: 薄い肌色;人|手を挙げる|手を挙げる人|手を挙げる人: 薄い肌色|挙手|薄い肌色
	🙋🏼;手を挙げる人: やや薄い肌色;やや薄い肌色|人|手を挙げる|手を挙げる人|手を挙げる人: やや薄い肌色|挙手
	🙋🏽;手を挙げる人: 中間の肌色;中間の肌色|人|手を挙げる|手を挙げる人|手を挙げる人: 中間の肌色|挙手
	🙋🏾;手を挙げる人: やや濃い肌色;やや濃い肌色|人|手を挙げる|手を挙げる人|手を挙げる人: やや濃い肌色|挙手
	🙋🏿;手を挙げる人: 濃い肌色;人|手を挙げる|手を挙げる人|手を挙げる人: 濃い肌色|挙手|濃い肌色
🙋‍♂️;手を挙げる男;手を挙げる|手を挙げる男|挙手|男|男性
	🙋🏻‍♂️;手を挙げる男: 薄い肌色;手を挙げる|手を挙げる男|手を挙げる男: 薄い肌色|挙手|男|男性|薄い肌色
	🙋🏼‍♂️;手を挙げる男: やや薄い肌色;やや薄い肌色|手を挙げる|手を挙げる男|手を挙げる男: やや薄い肌色|挙手|男|男性
	🙋🏽‍♂️;手を挙げる男: 中間の肌色;中間の肌色|手を挙げる|手を挙げる男|手を挙げる男: 中間の肌色|挙手|男|男性
	🙋🏾‍♂️;手を挙げる男: やや濃い肌色;やや濃い肌色|手を挙げる|手を挙げる男|手を挙げる男: やや濃い肌色|挙手|男|男性
	🙋🏿‍♂️;手を挙げる男: 濃い肌色;手を挙げる|手を挙げる男|手を挙げる男: 濃い肌色|挙手|濃い肌色|男|男性
🙋‍♀️;手を挙げる女;女|女性|手を挙げる|手を挙げる女|挙手
	🙋🏻‍♀️;手を挙げる女: 薄い肌色;女|女性|手を挙げる|手を挙げる女|手を挙げる女: 薄い肌色|挙手|薄い肌色
	🙋🏼‍♀️;手を挙げる女: やや薄い肌色;やや薄い肌色|女|女性|手を挙げる|手を挙げる女|手を挙げる女: やや薄い肌色|挙手
	🙋🏽‍♀️;手を挙げる女: 中間の肌色;中間の肌色|女|女性|手を挙げる|手を挙げる女|手を挙げる女: 中間の肌色|挙手
	🙋🏾‍♀️;手を挙げる女: やや濃い肌色;やや濃い肌色|女|女性|手を挙げる|手を挙げる女|手を挙げる女: やや濃い肌色|挙手
	🙋🏿‍♀️;手を挙げる女: 濃い肌色;女|女性|手を挙げる|手を挙げる女|手を挙げる女: 濃い肌色|挙手|濃い肌色
🧏;耳の不自由な人;アクセシビリティ|人|耳の不自由な人|聞こえない|聴覚|障がい
	🧏🏻;耳の不自由な人: 薄い肌色;アクセシビリティ|人|耳の不自由な人|耳の不自由な人: 薄い肌色|聞こえない|聴覚|薄い肌色|障がい
	🧏🏼;耳の不自由な人: やや薄い肌色;アクセシビリティ|やや薄い肌色|人|耳の不自由な人|耳の不自由な人: やや薄い肌色|聞こえない|聴覚|障がい
	🧏🏽;耳の不自由な人: 中間の肌色;アクセシビリティ|中間の肌色|人|耳の不自由な人|耳の不自由な人: 中間の肌色|聞こえない|聴覚|障がい
	🧏🏾;耳の不自由な人: やや濃い肌色;アクセシビリティ|やや濃い肌色|人|耳の不自由な人|耳の不自由な人: やや濃い肌色|聞こえない|聴覚|障がい
	🧏🏿;耳の不自由な人: 濃い肌色;アクセシビリティ|人|濃い肌色|耳の不自由な人|耳の不自由な人: 濃い肌色|聞こえない|聴覚|障がい
🧏‍♂️;耳の不自由な男性;アクセシビリティ|男性|耳の不自由な男性|聴覚|障がい
	🧏🏻‍♂️;耳の不自由な男性: 薄い肌色;アクセシビリティ|男性|耳の不自由な男性|耳の不自由な男性: 薄い肌色|聴覚|薄い肌色|障がい
	🧏🏼‍♂️;耳の不自由な男性: やや薄い肌色;アクセシビリティ|やや薄い肌色|男性|耳の不自由な男性|耳の不自由な男性: やや薄い肌色|聴覚|障がい
	🧏🏽‍♂️;耳の不自由な男性: 中間の肌色;アクセシビリティ|中間の肌色|男性|耳の不自由な男性|耳の不自由な男性: 中間の肌色|聴覚|障がい
	🧏🏾‍♂️;耳の不自由な男性: やや濃い肌色;アクセシビリティ|やや濃い肌色|男性|耳の不自由な男性|耳の不自由な男性: やや濃い肌色|聴覚|障がい
	🧏🏿‍♂️;耳の不自由な男性: 濃い肌色;アクセシビリティ|濃い肌色|男性|耳の不自由な男性|耳の不自由な男性: 濃い肌色|聴覚|障がい
🧏‍♀️;耳の不自由な女性;アクセシビリティ|女性|耳の不自由な女性|聴覚|障がい
	🧏🏻‍♀️;耳の不自由な女性: 薄い肌色;アクセシビリティ|女性|耳の不自由な女性|耳の不自由な女性: 薄い肌色|聴覚|薄い肌色|障がい
	🧏🏼‍♀️;耳の不自由な女性: やや薄い肌色;アクセシビリティ|やや薄い肌色|女性|耳の不自由な女性|耳の不自由な女性: やや薄い肌色|聴覚|障がい
	🧏🏽‍♀️;耳の不自由な女性: 中間の肌色;アクセシビリティ|中間の肌色|女性|耳の不自由な女性|耳の不自由な女性: 中間の肌色|聴覚|障がい
	🧏🏾‍♀️;耳の不自由な女性: やや濃い肌色;アクセシビリティ|やや濃い肌色|女性|耳の不自由な女性|耳の不自由な女性: やや濃い肌色|聴覚|障がい
	🧏🏿‍♀️;耳の不自由な女性: 濃い肌色;アクセシビリティ|女性|濃い肌色|耳の不自由な女性|耳の不自由な女性: 濃い肌色|聴覚|障がい
🙇;おじぎする人;おじぎ|おじぎする人|ごめんなさい|土下座
	🙇🏻;おじぎする人: 薄い肌色;おじぎ|おじぎする人|おじぎする人: 薄い肌色|ごめんなさい|土下座|薄い肌色
	🙇🏼;おじぎする人: やや薄い肌色;おじぎ|おじぎする人|おじぎする人: やや薄い肌色|ごめんなさい|やや薄い肌色|土下座
	🙇🏽;おじぎする人: 中間の肌色;おじぎ|おじぎする人|おじぎする人: 中間の肌色|ごめんなさい|中間の肌色|土下座
	🙇🏾;おじぎする人: やや濃い肌色;おじぎ|おじぎする人|おじぎする人: やや濃い肌色|ごめんなさい|やや濃い肌色|土下座
	🙇🏿;おじぎする人: 濃い肌色;おじぎ|おじぎする人|おじぎする人: 濃い肌色|ごめんなさい|土下座|濃い肌色
🙇‍♂️;おじぎする男;おじぎ|おじぎする男|ごめんなさい|土下座|男|男性
	🙇🏻‍♂️;おじぎする男: 薄い肌色;おじぎ|おじぎする男|おじぎする男: 薄い肌色|ごめんなさい|土下座|男|男性|薄い肌色
	🙇🏼‍♂️;おじぎする男: やや薄い肌色;おじぎ|おじぎする男|おじぎする男: やや薄い肌色|ごめんなさい|やや薄い肌色|土下座|男|男性
	🙇🏽‍♂️;おじぎする男: 中間の肌色;おじぎ|おじぎする男|おじぎする男: 中間の肌色|ごめんなさい|中間の肌色|土下座|男|男性
	🙇🏾‍♂️;おじぎする男: やや濃い肌色;おじぎ|おじぎする男|おじぎする男: やや濃い肌色|ごめんなさい|やや濃い肌色|土下座|男|男性
	🙇🏿‍♂️;おじぎする男: 濃い肌色;おじぎ|おじぎする男|おじぎする男: 濃い肌色|ごめんなさい|土下座|濃い肌色|男|男性
🙇‍♀️;おじぎする女;おじぎ|おじぎする女|ごめんなさい|土下座|女|女性
	🙇🏻‍♀️;おじぎする女: 薄い肌色;おじぎ|おじぎする女|おじぎする女: 薄い肌色|ごめんなさい|土下座|女|女性|薄い肌色
	🙇🏼‍♀️;おじぎする女: やや薄い肌色;おじぎ|おじぎする女|おじぎする女: やや薄い肌色|ごめんなさい|やや薄い肌色|土下座|女|女性
	🙇🏽‍♀️;おじぎする女: 中間の肌色;おじぎ|おじぎする女|おじぎする女: 中間の肌色|ごめんなさい|中間の肌色|土下座|女|女性
	🙇🏾‍♀️;おじぎする女: やや濃い肌色;おじぎ|おじぎする女|おじぎする女: やや濃い肌色|ごめんなさい|やや濃い肌色|土下座|女|女性
	🙇🏿‍♀️;おじぎする女: 濃い肌色;おじぎ|おじぎする女|おじぎする女: 濃い肌色|ごめんなさい|土下座|女|女性|濃い肌色
🤦;ひたいに手をあてる人;あちゃー|ジェスチャー|ひたいに手|ひたいに手をあてる人
