[smileys_emotion]
😀;gülən üz;gülən üz|gülmək|üz
	👱🏿‍♂️;sarışın kişi: tünd dəri tonu;kişi|sarışın|sarışın kişi: tünd dəri tonu|tünd dəri tonu
🧓;yaşlı böyük;gender-neytral|qoca|yaşlı böyük
	🧓🏻;yaşlı böyük: açıq dəri tonu;açıq dəri tonu|gender-neytral|qoca|yaşlı böyük|yaşlı böyük: açıq dəri tonu
	🧓🏼;yaşlı böyük: orta-açıq dəri tonu;gender-neytral|orta-açıq dəri tonu|qoca|yaşlı böyük|yaşlı böyük: orta-açıq dəri tonu
	🧓🏽;yaşlı böyük: orta dəri tonu;gender-neytral|orta dəri tonu|qoca|yaşlı böyük|yaşlı böyük: orta dəri tonu
	🧓🏾;yaşlı böyük: orta-tünd dəri tonu;gender-neytral|orta-tünd dəri tonu|qoca|yaşlı böyük|yaşlı böyük: orta-tünd dəri tonu
	🧓🏿;yaşlı böyük: tünd dəri tonu;gender-neytral|qoca|tünd dəri tonu|yaşlı böyük|yaşlı böyük: tünd dəri tonu
👴;yaşlı kişi;kişi|yaşlı
	👴🏻;yaşlı kişi: açıq dəri tonu;açıq dəri tonu|kişi|yaşlı|yaşlı kişi: açıq dəri tonu
	👴🏼;yaşlı kişi: orta-açıq dəri tonu;kişi|orta-açıq dəri tonu|yaşlı|yaşlı kişi: orta-açıq dəri tonu
	👴🏽;yaşlı kişi: orta dəri tonu;kişi|orta dəri tonu|yaşlı|yaşlı kişi: orta dəri tonu
	👴🏾;yaşlı kişi: orta-tünd dəri tonu;kişi|orta-tünd dəri tonu|yaşlı|yaşlı kişi: orta-tünd dəri tonu
	👴🏿;yaşlı kişi: tünd dəri tonu;kişi|tünd dəri tonu|yaşlı|yaşlı kişi: tünd dəri tonu
👵;yaşlı qadın;qadın|yaşlı
	👵🏻;yaşlı qadın: açıq dəri tonu;açıq dəri tonu|qadın|yaşlı|yaşlı qadın: açıq dəri tonu
	👵🏼;yaşlı qadın: orta-açıq dəri tonu;orta-açıq dəri tonu|qadın|yaşlı|yaşlı qadın: orta-açıq dəri tonu
	👵🏽;yaşlı qadın: orta dəri tonu;orta dəri tonu|qadın|yaşlı|yaşlı qadın: orta dəri tonu
	👵🏾;yaşlı qadın: orta-tünd dəri tonu;orta-tünd dəri tonu|qadın|yaşlı|yaşlı qadın: orta-tünd dəri tonu
	👵🏿;yaşlı qadın: tünd dəri tonu;qadın|tünd dəri tonu|yaşlı|yaşlı qadın: tünd dəri tonu
🙍;qaşqabaqlı adam;jest|qaşqabaqlı|qaşqabaqlı adam
	🙍🏻;qaşqabaqlı adam: açıq dəri tonu;açıq dəri tonu|jest|qaşqabaqlı|qaşqabaqlı adam|qaşqabaqlı adam: açıq dəri tonu
	🙍🏼;qaşqabaqlı adam: orta-açıq dəri tonu;jest|orta-açıq dəri tonu|qaşqabaqlı|qaşqabaqlı adam|qaşqabaqlı adam: orta-açıq dəri tonu
	🙍🏽;qaşqabaqlı adam: orta dəri tonu;jest|orta dəri tonu|qaşqabaqlı|qaşqabaqlı adam|qaşqabaqlı adam: orta dəri tonu
	🙍🏾;qaşqabaqlı adam: orta-tünd dəri tonu;jest|orta-tünd dəri tonu|qaşqabaqlı|qaşqabaqlı adam|qaşqabaqlı adam: orta-tünd dəri tonu
	🙍🏿;qaşqabaqlı adam: tünd dəri tonu;jest|qaşqabaqlı|qaşqabaqlı adam|qaşqabaqlı adam: tünd dəri tonu|tünd dəri tonu
🙍‍♂️;kefsiz kişi;jest|kefsiz kişi|kişi|qaşqabaqlı
	🙍🏻‍♂️;kefsiz kişi: açıq dəri tonu;açıq dəri tonu|jest|kefsiz kişi|kefsiz kişi: açıq dəri tonu|kişi|qaşqabaqlı
	🙍🏼‍♂️;kefsiz kişi: orta-açıq dəri tonu;jest|kefsiz kişi|kefsiz kişi: orta-açıq dəri tonu|kişi|orta-açıq dəri tonu|qaşqabaqlı
	🙍🏽‍♂️;kefsiz kişi: orta dəri tonu;jest|kefsiz kişi|kefsiz kişi: orta dəri tonu|kişi|orta dəri tonu|qaşqabaqlı
	🙍🏾‍♂️;kefsiz kişi: orta-tünd dəri tonu;jest|kefsiz kişi|kefsiz kişi: orta-tünd dəri tonu|kişi|orta-tünd dəri tonu|qaşqabaqlı
	🙍🏿‍♂️;kefsiz kişi: tünd dəri tonu;jest|kefsiz kişi|kefsiz kişi: tünd dəri tonu|kişi|qaşqabaqlı|tünd dəri tonu
🙍‍♀️;kefsiz qadın;jest|kefsiz qadın|qadın|qaşbaqlı
	🙍🏻‍♀️;kefsiz qadın: açıq dəri tonu;açıq dəri tonu|jest|kefsiz qadın|kefsiz qadın: açıq dəri tonu|qadın|qaşbaqlı
	🙍🏼‍♀️;kefsiz qadın: orta-açıq dəri tonu;jest|kefsiz qadın|kefsiz qadın: orta-açıq dəri tonu|orta-açıq dəri tonu|qadın|qaşbaqlı
	🙍🏽‍♀️;kefsiz qadın: orta dəri tonu;jest|kefsiz qadın|kefsiz qadın: orta dəri tonu|orta dəri tonu|qadın|qaşbaqlı
	🙍🏾‍♀️;kefsiz qadın: orta-tünd dəri tonu;jest|kefsiz qadın|kefsiz qadın: orta-tünd dəri tonu|orta-tünd dəri tonu|qadın|qaşbaqlı
	🙍🏿‍♀️;kefsiz qadın: tünd dəri tonu;jest|kefsiz qadın|kefsiz qadın: tünd dəri tonu|qadın|qaşbaqlı|tünd dəri tonu
🙎;acıq edən adam;acıq edən adam|acıq etmək|jest
	🙎🏻;acıq edən adam: açıq dəri tonu;açıq dəri tonu|acıq edən adam|acıq edən adam: açıq dəri tonu|acıq etmək|jest
	🙎🏼;acıq edən adam: orta-açıq dəri tonu;acıq edən adam|acıq edən adam: orta-açıq dəri tonu|acıq etmək|jest|orta-açıq dəri tonu
	🙎🏽;acıq edən adam: orta dəri tonu;acıq edən adam|acıq edən adam: orta dəri tonu|acıq etmək|jest|orta dəri tonu
	🙎🏾;acıq edən adam: orta-tünd dəri tonu;acıq edən adam|acıq edən adam: orta-tünd dəri tonu|acıq etmək|jest|orta-tünd dəri tonu
	🙎🏿;acıq edən adam: tünd dəri tonu;acıq edən adam|acıq edən adam: tünd dəri tonu|acıq etmək|jest|tünd dəri tonu
🙎‍♂️;acıqlı kişi;acıqlı|jest|kişi
	🙎🏻‍♂️;acıqlı kişi: açıq dəri tonu;açıq dəri tonu|acıqlı|acıqlı kişi: açıq dəri tonu|jest|kişi
	🙎🏼‍♂️;acıqlı kişi: orta-açıq dəri tonu;acıqlı|acıqlı kişi: orta-açıq dəri tonu|jest|kişi|orta-açıq dəri tonu
	🙎🏽‍♂️;acıqlı kişi: orta dəri tonu;acıqlı|acıqlı kişi: orta dəri tonu|jest|kişi|orta dəri tonu
	🙎🏾‍♂️;acıqlı kişi: orta-tünd dəri tonu;acıqlı|acıqlı kişi: orta-tünd dəri tonu|jest|kişi|orta-tünd dəri tonu
	🙎🏿‍♂️;acıqlı kişi: tünd dəri tonu;acıqlı|acıqlı kişi: tünd dəri tonu|jest|kişi|tünd dəri tonu
🙎‍♀️;acıqlı qadın;acıqlı|jest|qadın
	🙎🏻‍♀️;acıqlı qadın: açıq dəri tonu;açıq dəri tonu|acıqlı|acıqlı qadın: açıq dəri tonu|jest|qadın
	🙎🏼‍♀️;acıqlı qadın: orta-açıq dəri tonu;acıqlı|acıqlı qadın: orta-açıq dəri tonu|jest|orta-açıq dəri tonu|qadın
	🙎🏽‍♀️;acıqlı qadın: orta dəri tonu;acıqlı|acıqlı qadın: orta dəri tonu|jest|orta dəri tonu|qadın
	🙎🏾‍♀️;acıqlı qadın: orta-tünd dəri tonu;acıqlı|acıqlı qadın: orta-tünd dəri tonu|jest|orta-tünd dəri tonu|qadın
	🙎🏿‍♀️;acıqlı qadın: tünd dəri tonu;acıqlı|acıqlı qadın: tünd dəri tonu|jest|qadın|tünd dəri tonu
🙅;yox jesti;əl|jest|qadağa|qadağan olunmuş|xeyr|yox|yox jesti
	🙅🏻;yox jesti: açıq dəri tonu;açıq dəri tonu|əl|jest|qadağa|qadağan olunmuş|xeyr|yox|yox jesti|yox jesti: açıq dəri tonu
	🙅🏼;yox jesti: orta-açıq dəri tonu;əl|jest|orta-açıq dəri tonu|qadağa|qadağan olunmuş|xeyr|yox|yox jesti|yox jesti: orta-açıq dəri tonu
	🙅🏽;yox jesti: orta dəri tonu;əl|jest|orta dəri tonu|qadağa|qadağan olunmuş|xeyr|yox|yox jesti|yox jesti: orta dəri tonu
	🙅🏾;yox jesti: orta-tünd dəri tonu;əl|jest|orta-tünd dəri tonu|qadağa|qadağan olunmuş|xeyr|yox|yox jesti|yox jesti: orta-tünd dəri tonu
	🙅🏿;yox jesti: tünd dəri tonu;əl|jest|qadağa|qadağan olunmuş|tünd dəri tonu|xeyr|yox|yox jesti|yox jesti: tünd dəri tonu
🙅‍♂️;əleyhinə olan kişi;əl|əleyhinə|əleyhinə olan kişi|jest|kişi|qadağandır|yox
	🙅🏻‍♂️;əleyhinə olan kişi: açıq dəri tonu;açıq dəri tonu|əl|əleyhinə|əleyhinə olan kişi|əleyhinə olan kişi: açıq dəri tonu|jest|kişi|qadağandır|yox
	🙅🏼‍♂️;əleyhinə olan kişi: orta-açıq dəri tonu;əl|əleyhinə|əleyhinə olan kişi|əleyhinə olan kişi: orta-açıq dəri tonu|jest|kişi|orta-açıq dəri tonu|qadağandır|yox
	🙅🏽‍♂️;əleyhinə olan kişi: orta dəri tonu;əl|əleyhinə|əleyhinə olan kişi|əleyhinə olan kişi: orta dəri tonu|jest|kişi|orta dəri tonu|qadağandır|yox
	🙅🏾‍♂️;əleyhinə olan kişi: orta-tünd dəri tonu;əl|əleyhinə|əleyhinə olan kişi|əleyhinə olan kişi: orta-tünd dəri tonu|jest|kişi|orta-tünd dəri tonu|qadağandır|yox
	🙅🏿‍♂️;əleyhinə olan kişi: tünd dəri tonu;əl|əleyhinə|əleyhinə olan kişi|əleyhinə olan kişi: tünd dəri tonu|jest|kişi|qadağandır|tünd dəri tonu|yox
🙅‍♀️;əleyhinə olan qadın;əl|əleyhinə|əleyhinə olan qadın|jest|qadağandır|qadın
	🙅🏻‍♀️;əleyhinə olan qadın: açıq dəri tonu;açıq dəri tonu|əl|əleyhinə|əleyhinə olan qadın|əleyhinə olan qadın: açıq dəri tonu|jest|qadağandır|qadın
	🙅🏼‍♀️;əleyhinə olan qadın: orta-açıq dəri tonu;əl|əleyhinə|əleyhinə olan qadın|əleyhinə olan qadın: orta-açıq dəri tonu|jest|orta-açıq dəri tonu|qadağandır|qadın
	🙅🏽‍♀️;əleyhinə olan qadın: orta dəri tonu;əl|əleyhinə|əleyhinə olan qadın|əleyhinə olan qadın: orta dəri tonu|jest|orta dəri tonu|qadağandır|qadın
	🙅🏾‍♀️;əleyhinə olan qadın: orta-tünd dəri tonu;əl|əleyhinə|əleyhinə olan qadın|əleyhinə olan qadın: orta-tünd dəri tonu|jest|orta-tünd dəri tonu|qadağandır|qadın
	🙅🏿‍♀️;əleyhinə olan qadın: tünd dəri tonu;əl|əleyhinə|əleyhinə olan qadın|əleyhinə olan qadın: tünd dəri tonu|jest|qadağandır|qadın|tünd dəri tonu
🙆;ok jesti;əl|jest|ok|ok jesti
	🙆🏻;ok jesti: açıq dəri tonu;açıq dəri tonu|əl|jest|ok|ok jesti|ok jesti: açıq dəri tonu
	🙆🏼;ok jesti: orta-açıq dəri tonu;əl|jest|ok|ok jesti|ok jesti: orta-açıq dəri tonu|orta-açıq dəri tonu
	🙆🏽;ok jesti: orta dəri tonu;əl|jest|ok|ok jesti|ok jesti: orta dəri tonu|orta dəri tonu
	🙆🏾;ok jesti: orta-tünd dəri tonu;əl|jest|ok|ok jesti|ok jesti: orta-tünd dəri tonu|orta-tünd dəri tonu
	🙆🏿;ok jesti: tünd dəri tonu;əl|jest|ok|ok jesti|ok jesti: tünd dəri tonu|tünd dəri tonu
🙆‍♂️;lehinə olan kişi;əl|jest|kişi|lehinə|lehinə olan kişi
	🙆🏻‍♂️;lehinə olan kişi: açıq dəri tonu;açıq dəri tonu|əl|jest|kişi|lehinə|lehinə olan kişi|lehinə olan kişi: açıq dəri tonu
	🙆🏼‍♂️;lehinə olan kişi: orta-açıq dəri tonu;əl|jest|kişi|lehinə|lehinə olan kişi|lehinə olan kişi: orta-açıq dəri tonu|orta-açıq dəri tonu
	🙆🏽‍♂️;lehinə olan kişi: orta dəri tonu;əl|jest|kişi|lehinə|lehinə olan kişi|lehinə olan kişi: orta dəri tonu|orta dəri tonu
	🙆🏾‍♂️;lehinə olan kişi: orta-tünd dəri tonu;əl|jest|kişi|lehinə|lehinə olan kişi|lehinə olan kişi: orta-tünd dəri tonu|orta-tünd dəri tonu
	🙆🏿‍♂️;lehinə olan kişi: tünd dəri tonu;əl|jest|kişi|lehinə|lehinə olan kişi|lehinə olan kişi: tünd dəri tonu|tünd dəri tonu
🙆‍♀️;lehinə olan qadın;əl|jest|lehinə|lehinə olan qadın|qadın
	🙆🏻‍♀️;lehinə olan qadın: açıq dəri tonu;açıq dəri tonu|əl|jest|lehinə|lehinə olan qadın|lehinə olan qadın: açıq dəri tonu|qadın
	🙆🏼‍♀️;lehinə olan qadın: orta-açıq dəri tonu;əl|jest|lehinə|lehinə olan qadın|lehinə olan qadın: orta-açıq dəri tonu|orta-açıq dəri tonu|qadın
	🙆🏽‍♀️;lehinə olan qadın: orta dəri tonu;əl|jest|lehinə|lehinə olan qadın|lehinə olan qadın: orta dəri tonu|orta dəri tonu|qadın
	🙆🏾‍♀️;lehinə olan qadın: orta-tünd dəri tonu;əl|jest|lehinə|lehinə olan qadın|lehinə olan qadın: orta-tünd dəri tonu|orta-tünd dəri tonu|qadın
	🙆🏿‍♀️;lehinə olan qadın: tünd dəri tonu;əl|jest|lehinə|lehinə olan qadın|lehinə olan qadın: tünd dəri tonu|qadın|tünd dəri tonu
💁;məlumat verən şəxs;davranışsız|əl|kömək|məlumat|məlumat verən şəxs
	💁🏻;məlumat verən şəxs: açıq dəri tonu;açıq dəri tonu|davranışsız|əl|kömək|məlumat|məlumat verən şəxs|məlumat verən şəxs: açıq dəri tonu
	💁🏼;məlumat verən şəxs: orta-açıq dəri tonu;davranışsız|əl|kömək|məlumat|məlumat verən şəxs|məlumat verən şəxs: orta-açıq dəri tonu|orta-açıq dəri tonu
	💁🏽;məlumat verən şəxs: orta dəri tonu;davranışsız|əl|kömək|məlumat|məlumat verən şəxs|məlumat verən şəxs: orta dəri tonu|orta dəri tonu
	💁🏾;məlumat verən şəxs: orta-tünd dəri tonu;davranışsız|əl|kömək|məlumat|məlumat verən şəxs|məlumat verən şəxs: orta-tünd dəri tonu|orta-tünd dəri tonu
	💁🏿;məlumat verən şəxs: tünd dəri tonu;davranışsız|əl|kömək|məlumat|məlumat verən şəxs|məlumat verən şəxs: tünd dəri tonu|tünd dəri tonu
💁‍♂️;əl uzadan kişi;əl uzadan kişi|əl uzatmaq|kişi|sırtıq
	💁🏻‍♂️;əl uzadan kişi: açıq dəri tonu;açıq dəri tonu|əl uzadan kişi|əl uzadan kişi: açıq dəri tonu|əl uzatmaq|kişi|sırtıq
	💁🏼‍♂️;əl uzadan kişi: orta-açıq dəri tonu;əl uzadan kişi|əl uzadan kişi: orta-açıq dəri tonu|əl uzatmaq|kişi|orta-açıq dəri tonu|sırtıq
	💁🏽‍♂️;əl uzadan kişi: orta dəri tonu;əl uzadan kişi|əl uzadan kişi: orta dəri tonu|əl uzatmaq|kişi|orta dəri tonu|sırtıq
	💁🏾‍♂️;əl uzadan kişi: orta-tünd dəri tonu;əl uzadan kişi|əl uzadan kişi: orta-tünd dəri tonu|əl uzatmaq|kişi|orta-tünd dəri tonu|sırtıq
	💁🏿‍♂️;əl uzadan kişi: tünd dəri tonu;əl uzadan kişi|əl uzadan kişi: tünd dəri tonu|əl uzatmaq|kişi|sırtıq|tünd dəri tonu
💁‍♀️;əl uzadan qadın;əl uzadan qadın|əl uzamaq|qadın|sırtıq
	💁🏻‍♀️;əl uzadan qadın: açıq dəri tonu;açıq dəri tonu|əl uzadan qadın|əl uzadan qadın: açıq dəri tonu|əl uzamaq|qadın|sırtıq
	💁🏼‍♀️;əl uzadan qadın: orta-açıq dəri tonu;əl uzadan qadın|əl uzadan qadın: orta-açıq dəri tonu|əl uzamaq|orta-açıq dəri tonu|qadın|sırtıq
	💁🏽‍♀️;əl uzadan qadın: orta dəri tonu;əl uzadan qadın|əl uzadan qadın: orta dəri tonu|əl uzamaq|orta dəri tonu|qadın|sırtıq
	💁🏾‍♀️;əl uzadan qadın: orta-tünd dəri tonu;əl uzadan qadın|əl uzadan qadın: orta-tünd dəri tonu|əl uzamaq|orta-tünd dəri tonu|qadın|sırtıq
	💁🏿‍♀️;əl uzadan qadın: tünd dəri tonu;əl uzadan qadın|əl uzadan qadın: tünd dəri tonu|əl uzamaq|qadın|sırtıq|tünd dəri tonu
🙋;əlini qaldıran xoşbəxt adam;əl|əlini qaldıran xoşbəxt adam|jest|qaldırılmış|xoşbəxt
	🙋🏻;əlini qaldıran xoşbəxt adam: açıq dəri tonu;açıq dəri tonu|əl|əlini qaldıran xoşbəxt adam|əlini qaldıran xoşbəxt adam: açıq dəri tonu|jest|qaldırılmış|xoşbəxt
	🙋🏼;əlini qaldıran xoşbəxt adam: orta-açıq dəri tonu;əl|əlini qaldıran xoşbəxt adam|əlini qaldıran xoşbəxt adam: orta-açıq dəri tonu|jest|orta-açıq dəri tonu|qaldırılmış|xoşbəxt
	🙋🏽;əlini qaldıran xoşbəxt adam: orta dəri tonu;əl|əlini qaldıran xoşbəxt adam|əlini qaldıran xoşbəxt adam: orta dəri tonu|jest|orta dəri tonu|qaldırılmış|xoşbəxt
	🙋🏾;əlini qaldıran xoşbəxt adam: orta-tünd dəri tonu;əl|əlini qaldıran xoşbəxt adam|əlini qaldıran xoşbəxt adam: orta-tünd dəri tonu|jest|orta-tünd dəri tonu|qaldırılmış|xoşbəxt
	🙋🏿;əlini qaldıran xoşbəxt adam: tünd dəri tonu;əl|əlini qaldıran xoşbəxt adam|əlini qaldıran xoşbəxt adam: tünd dəri tonu|jest|qaldırılmış|tünd dəri tonu|xoşbəxt
🙋‍♂️;əl qaldıran kişi;əl qaldıran kişi|əl qaldırmaq|jest|kişi
	🙋🏻‍♂️;əl qaldıran kişi: açıq dəri tonu;açıq dəri tonu|əl qaldıran kişi|əl qaldıran kişi: açıq dəri tonu|əl qaldırmaq|jest|kişi
	🙋🏼‍♂️;əl qaldıran kişi: orta-açıq dəri tonu;əl qaldıran kişi|əl qaldıran kişi: orta-açıq dəri tonu|əl qaldırmaq|jest|kişi|orta-açıq dəri tonu
	🙋🏽‍♂️;əl qaldıran kişi: orta dəri tonu;əl qaldıran kişi|əl qaldıran kişi: orta dəri tonu|əl qaldırmaq|jest|kişi|orta dəri tonu
	🙋🏾‍♂️;əl qaldıran kişi: orta-tünd dəri tonu;əl qaldıran kişi|əl qaldıran kişi: orta-tünd dəri tonu|əl qaldırmaq|jest|kişi|orta-tünd dəri tonu
	🙋🏿‍♂️;əl qaldıran kişi: tünd dəri tonu;əl qaldıran kişi|əl qaldıran kişi: tünd dəri tonu|əl qaldırmaq|jest|kişi|tünd dəri tonu
🙋‍♀️;əl qaldıran qadın;əl qaldıran qadın|əl qaldırmaq|jest|qadın
	🙋🏻‍♀️;əl qaldıran qadın: açıq dəri tonu;açıq dəri tonu|əl qaldıran qadın|əl qaldıran qadın: açıq dəri tonu|əl qaldırmaq|jest|qadın
	🙋🏼‍♀️;əl qaldıran qadın: orta-açıq dəri tonu;əl qaldıran qadın|əl qaldıran qadın: orta-açıq dəri tonu|əl qaldırmaq|jest|orta-açıq dəri tonu|qadın
	🙋🏽‍♀️;əl qaldıran qadın: orta dəri tonu;əl qaldıran qadın|əl qaldıran qadın: orta dəri tonu|əl qaldırmaq|jest|orta dəri tonu|qadın
	🙋🏾‍♀️;əl qaldıran qadın: orta-tünd dəri tonu;əl qaldıran qadın|əl qaldıran qadın: orta-tünd dəri tonu|əl qaldırmaq|jest|orta-tünd dəri tonu|qadın
	🙋🏿‍♀️;əl qaldıran qadın: tünd dəri tonu;əl qaldıran qadın|əl qaldıran qadın: tünd dəri tonu|əl qaldırmaq|jest|qadın|tünd dəri tonu
🧏;kar şəxs;eşitmə|kar|kar şəxs|qulaq
	🧏🏻;kar şəxs: açıq dəri tonu;açıq dəri tonu|eşitmə|kar|kar şəxs|kar şəxs: açıq dəri tonu|qulaq
	🧏🏼;kar şəxs: orta-açıq dəri tonu;eşitmə|kar|kar şəxs|kar şəxs: orta-açıq dəri tonu|orta-açıq dəri tonu|qulaq
	🧏🏽;kar şəxs: orta dəri tonu;eşitmə|kar|kar şəxs|kar şəxs: orta dəri tonu|orta dəri tonu|qulaq
	🧏🏾;kar şəxs: orta-tünd dəri tonu;eşitmə|kar|kar şəxs|kar şəxs: orta-tünd dəri tonu|orta-tünd dəri tonu|qulaq
	🧏🏿;kar şəxs: tünd dəri tonu;eşitmə|kar|kar şəxs|kar şəxs: tünd dəri tonu|qulaq|tünd dəri tonu
🧏‍♂️;kar kişi;kar|kişi
	🧏🏻‍♂️;kar kişi: açıq dəri tonu;açıq dəri tonu|kar|kar kişi: açıq dəri tonu|kişi
	🧏🏼‍♂️;kar kişi: orta-açıq dəri tonu;kar|kar kişi: orta-açıq dəri tonu|kişi|orta-açıq dəri tonu
	🧏🏽‍♂️;kar kişi: orta dəri tonu;kar|kar kişi: orta dəri tonu|kişi|orta dəri tonu
	🧏🏾‍♂️;kar kişi: orta-tünd dəri tonu;kar|kar kişi: orta-tünd dəri tonu|kişi|orta-tünd dəri tonu
	🧏🏿‍♂️;kar kişi: tünd dəri tonu;kar|kar kişi: tünd dəri tonu|kişi|tünd dəri tonu
🧏‍♀️;kar qadın;kar|qadın
	🧏🏻‍♀️;kar qadın: açıq dəri tonu;açıq dəri tonu|kar|kar qadın: açıq dəri tonu|qadın
	🧏🏼‍♀️;kar qadın: orta-açıq dəri tonu;kar|kar qadın: orta-açıq dəri tonu|orta-açıq dəri tonu|qadın
	🧏🏽‍♀️;kar qadın: orta dəri tonu;kar|kar qadın: orta dəri tonu|orta dəri tonu|qadın
	🧏🏾‍♀️;kar qadın: orta-tünd dəri tonu;kar|kar qadın: orta-tünd dəri tonu|orta-tünd dəri tonu|qadın
	🧏🏿‍♀️;kar qadın: tünd dəri tonu;kar|kar qadın: tünd dəri tonu|qadın|tünd dəri tonu
🙇;tənzim edən adam;jest|tənzim edən adam|tənzim etmək|üzr|üzr istəmək
	🙇🏻;tənzim edən adam: açıq dəri tonu;açıq dəri tonu|jest|tənzim edən adam|tənzim edən adam: açıq dəri tonu|tənzim etmək|üzr|üzr istəmək
	🙇🏼;tənzim edən adam: orta-açıq dəri tonu;jest|orta-açıq dəri tonu|tənzim edən adam|tənzim edən adam: orta-açıq dəri tonu|tənzim etmək|üzr|üzr istəmək
	🙇🏽;tənzim edən adam: orta dəri tonu;jest|orta dəri tonu|tənzim edən adam|tənzim edən adam: orta dəri tonu|tənzim etmək|üzr|üzr istəmək
	🙇🏾;tənzim edən adam: orta-tünd dəri tonu;jest|orta-tünd dəri tonu|tənzim edən adam|tənzim edən adam: orta-tünd dəri tonu|tənzim etmək|üzr|üzr istəmək
	🙇🏿;tənzim edən adam: tünd dəri tonu;jest|tənzim edən adam|tənzim edən adam: tünd dəri tonu|tənzim etmək|tünd dəri tonu|üzr|üzr istəmək
🙇‍♂️;baş əyən kişi;alqış|baş əyən kişi|jest|kişi|lehinə|tənzim|üzrxahlıq
	🙇🏻‍♂️;baş əyən kişi: açıq dəri tonu;açıq dəri tonu|alqış|baş əyən kişi|baş əyən kişi: açıq dəri tonu|jest|kişi|lehinə|tənzim|üzrxahlıq
	🙇🏼‍♂️;baş əyən kişi: orta-açıq dəri tonu;alqış|baş əyən kişi|baş əyən kişi: orta-açıq dəri tonu|jest|kişi|lehinə|orta-açıq dəri tonu|tənzim|üzrxahlıq
	🙇🏽‍♂️;baş əyən kişi: orta dəri tonu;alqış|baş əyən kişi|baş əyən kişi: orta dəri tonu|jest|kişi|lehinə|orta dəri tonu|tənzim|üzrxahlıq
	🙇🏾‍♂️;baş əyən kişi: orta-tünd dəri tonu;alqış|baş əyən kişi|baş əyən kişi: orta-tünd dəri tonu|jest|kişi|lehinə|orta-tünd dəri tonu|tənzim|üzrxahlıq
