# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;cara moi riseira;cara|cara moi riseira|sorriso
	🧑🏼‍🍳;profesional da cociña: ton de pel claro;cociña|profesional da cociña|profesional da cociña: ton de pel claro|ton de pel claro|xefe de cociña
	🧑🏽‍🍳;profesional da cociña: ton de pel medio;cociña|profesional da cociña|profesional da cociña: ton de pel medio|ton de pel medio|xefe de cociña
	🧑🏾‍🍳;profesional da cociña: ton de pel escuro;cociña|profesional da cociña|profesional da cociña: ton de pel escuro|ton de pel escuro|xefe de cociña
	🧑🏿‍🍳;profesional da cociña: ton de pel moi escuro;cociña|profesional da cociña|profesional da cociña: ton de pel moi escuro|ton de pel moi escuro|xefe de cociña
👨‍🍳;cociñeiro;cociñar|cociñeiro|home|xefe de cociña
	👨🏻‍🍳;cociñeiro: ton de pel moi claro;cociñar|cociñeiro|cociñeiro: ton de pel moi claro|home|ton de pel moi claro|xefe de cociña
	👨🏼‍🍳;cociñeiro: ton de pel claro;cociñar|cociñeiro|cociñeiro: ton de pel claro|home|ton de pel claro|xefe de cociña
	👨🏽‍🍳;cociñeiro: ton de pel medio;cociñar|cociñeiro|cociñeiro: ton de pel medio|home|ton de pel medio|xefe de cociña
	👨🏾‍🍳;cociñeiro: ton de pel escuro;cociñar|cociñeiro|cociñeiro: ton de pel escuro|home|ton de pel escuro|xefe de cociña
	👨🏿‍🍳;cociñeiro: ton de pel moi escuro;cociñar|cociñeiro|cociñeiro: ton de pel moi escuro|home|ton de pel moi escuro|xefe de cociña
👩‍🍳;cociñeira;cociñar|cociñeira|muller|xefa de cociña
	👩🏻‍🍳;cociñeira: ton de pel moi claro;cociñar|cociñeira|cociñeira: ton de pel moi claro|muller|ton de pel moi claro|xefa de cociña
	👩🏼‍🍳;cociñeira: ton de pel claro;cociñar|cociñeira|cociñeira: ton de pel claro|muller|ton de pel claro|xefa de cociña
	👩🏽‍🍳;cociñeira: ton de pel medio;cociñar|cociñeira|cociñeira: ton de pel medio|muller|ton de pel medio|xefa de cociña
	👩🏾‍🍳;cociñeira: ton de pel escuro;cociñar|cociñeira|cociñeira: ton de pel escuro|muller|ton de pel escuro|xefa de cociña
	👩🏿‍🍳;cociñeira: ton de pel moi escuro;cociñar|cociñeira|cociñeira: ton de pel moi escuro|muller|ton de pel moi escuro|xefa de cociña
🧑‍🔧;profesional da mecánica;electricidade|fontaneiría|mecánica|profesional da mecánica
	🧑🏻‍🔧;profesional da mecánica: ton de pel moi claro;electricidade|fontaneiría|mecánica|profesional da mecánica|profesional da mecánica: ton de pel moi claro|ton de pel moi claro
	🧑🏼‍🔧;profesional da mecánica: ton de pel claro;electricidade|fontaneiría|mecánica|profesional da mecánica|profesional da mecánica: ton de pel claro|ton de pel claro
	🧑🏽‍🔧;profesional da mecánica: ton de pel medio;electricidade|fontaneiría|mecánica|profesional da mecánica|profesional da mecánica: ton de pel medio|ton de pel medio
	🧑🏾‍🔧;profesional da mecánica: ton de pel escuro;electricidade|fontaneiría|mecánica|profesional da mecánica|profesional da mecánica: ton de pel escuro|ton de pel escuro
	🧑🏿‍🔧;profesional da mecánica: ton de pel moi escuro;electricidade|fontaneiría|mecánica|profesional da mecánica|profesional da mecánica: ton de pel moi escuro|ton de pel moi escuro
👨‍🔧;mecánico;electricista|fontaneiro|home|mecánico
	👨🏻‍🔧;mecánico: ton de pel moi claro;electricista|fontaneiro|home|mecánico|mecánico: ton de pel moi claro|ton de pel moi claro
	👨🏼‍🔧;mecánico: ton de pel claro;electricista|fontaneiro|home|mecánico|mecánico: ton de pel claro|ton de pel claro
	👨🏽‍🔧;mecánico: ton de pel medio;electricista|fontaneiro|home|mecánico|mecánico: ton de pel medio|ton de pel medio
	👨🏾‍🔧;mecánico: ton de pel escuro;electricista|fontaneiro|home|mecánico|mecánico: ton de pel escuro|ton de pel escuro
	👨🏿‍🔧;mecánico: ton de pel moi escuro;electricista|fontaneiro|home|mecánico|mecánico: ton de pel moi escuro|ton de pel moi escuro
👩‍🔧;mecánica;electricista|fontaneira|mecánica|muller
	👩🏻‍🔧;mecánica: ton de pel moi claro;electricista|fontaneira|mecánica|mecánica: ton de pel moi claro|muller|ton de pel moi claro
	👩🏼‍🔧;mecánica: ton de pel claro;electricista|fontaneira|mecánica|mecánica: ton de pel claro|muller|ton de pel claro
	👩🏽‍🔧;mecánica: ton de pel medio;electricista|fontaneira|mecánica|mecánica: ton de pel medio|muller|ton de pel medio
	👩🏾‍🔧;mecánica: ton de pel escuro;electricista|fontaneira|mecánica|mecánica: ton de pel escuro|muller|ton de pel escuro
	👩🏿‍🔧;mecánica: ton de pel moi escuro;electricista|fontaneira|mecánica|mecánica: ton de pel moi escuro|muller|ton de pel moi escuro
🧑‍🏭;traballador de fábrica;fábrica|obreiro|operario|traballador|traballador de fábrica
	🧑🏻‍🏭;traballador de fábrica: ton de pel moi claro;fábrica|obreiro|operario|ton de pel moi claro|traballador|traballador de fábrica|traballador de fábrica: ton de pel moi claro
	🧑🏼‍🏭;traballador de fábrica: ton de pel claro;fábrica|obreiro|operario|ton de pel claro|traballador|traballador de fábrica|traballador de fábrica: ton de pel claro
	🧑🏽‍🏭;traballador de fábrica: ton de pel medio;fábrica|obreiro|operario|ton de pel medio|traballador|traballador de fábrica|traballador de fábrica: ton de pel medio
	🧑🏾‍🏭;traballador de fábrica: ton de pel escuro;fábrica|obreiro|operario|ton de pel escuro|traballador|traballador de fábrica|traballador de fábrica: ton de pel escuro
	🧑🏿‍🏭;traballador de fábrica: ton de pel moi escuro;fábrica|obreiro|operario|ton de pel moi escuro|traballador|traballador de fábrica|traballador de fábrica: ton de pel moi escuro
👨‍🏭;operario;fábrica|home|obreiro|operario|traballador
	👨🏻‍🏭;operario: ton de pel moi claro;fábrica|home|obreiro|operario|operario: ton de pel moi claro|ton de pel moi claro|traballador
	👨🏼‍🏭;operario: ton de pel claro;fábrica|home|obreiro|operario|operario: ton de pel claro|ton de pel claro|traballador
	👨🏽‍🏭;operario: ton de pel medio;fábrica|home|obreiro|operario|operario: ton de pel medio|ton de pel medio|traballador
	👨🏾‍🏭;operario: ton de pel escuro;fábrica|home|obreiro|operario|operario: ton de pel escuro|ton de pel escuro|traballador
	👨🏿‍🏭;operario: ton de pel moi escuro;fábrica|home|obreiro|operario|operario: ton de pel moi escuro|ton de pel moi escuro|traballador
👩‍🏭;operaria;fábrica|muller|obreira|operaria|traballadora
	👩🏻‍🏭;operaria: ton de pel moi claro;fábrica|muller|obreira|operaria|operaria: ton de pel moi claro|ton de pel moi claro|traballadora
	👩🏼‍🏭;operaria: ton de pel claro;fábrica|muller|obreira|operaria|operaria: ton de pel claro|ton de pel claro|traballadora
	👩🏽‍🏭;operaria: ton de pel medio;fábrica|muller|obreira|operaria|operaria: ton de pel medio|ton de pel medio|traballadora
	👩🏾‍🏭;operaria: ton de pel escuro;fábrica|muller|obreira|operaria|operaria: ton de pel escuro|ton de pel escuro|traballadora
	👩🏿‍🏭;operaria: ton de pel moi escuro;fábrica|muller|obreira|operaria|operaria: ton de pel moi escuro|ton de pel moi escuro|traballadora
🧑‍💼;oficinista;administrativo|empregado|oficinista
	🧑🏻‍💼;oficinista: ton de pel moi claro;administrativo|empregado|oficinista|oficinista: ton de pel moi claro|ton de pel moi claro
	🧑🏼‍💼;oficinista: ton de pel claro;administrativo|empregado|oficinista|oficinista: ton de pel claro|ton de pel claro
	🧑🏽‍💼;oficinista: ton de pel medio;administrativo|empregado|oficinista|oficinista: ton de pel medio|ton de pel medio
	🧑🏾‍💼;oficinista: ton de pel escuro;administrativo|empregado|oficinista|oficinista: ton de pel escuro|ton de pel escuro
	🧑🏿‍💼;oficinista: ton de pel moi escuro;administrativo|empregado|oficinista|oficinista: ton de pel moi escuro|ton de pel moi escuro
👨‍💼;administrativo;administrativo|empregado|home|oficinista
	👨🏻‍💼;administrativo: ton de pel moi claro;administrativo|administrativo: ton de pel moi claro|empregado|home|oficinista|ton de pel moi claro
	👨🏼‍💼;administrativo: ton de pel claro;administrativo|administrativo: ton de pel claro|empregado|home|oficinista|ton de pel claro
	👨🏽‍💼;administrativo: ton de pel medio;administrativo|administrativo: ton de pel medio|empregado|home|oficinista|ton de pel medio
	👨🏾‍💼;administrativo: ton de pel escuro;administrativo|administrativo: ton de pel escuro|empregado|home|oficinista|ton de pel escuro
	👨🏿‍💼;administrativo: ton de pel moi escuro;administrativo|administrativo: ton de pel moi escuro|empregado|home|oficinista|ton de pel moi escuro
👩‍💼;administrativa;administrativa|empregada|muller|oficinista
	👩🏻‍💼;administrativa: ton de pel moi claro;administrativa|administrativa: ton de pel moi claro|empregada|muller|oficinista|ton de pel moi claro
	👩🏼‍💼;administrativa: ton de pel claro;administrativa|administrativa: ton de pel claro|empregada|muller|oficinista|ton de pel claro
	👩🏽‍💼;administrativa: ton de pel medio;administrativa|administrativa: ton de pel medio|empregada|muller|oficinista|ton de pel medio
	👩🏾‍💼;administrativa: ton de pel escuro;administrativa|administrativa: ton de pel escuro|empregada|muller|oficinista|ton de pel escuro
	👩🏿‍💼;administrativa: ton de pel moi escuro;administrativa|administrativa: ton de pel moi escuro|empregada|muller|oficinista|ton de pel moi escuro
🧑‍🔬;especialista en ciencia;biólogo|científico|especialista en ciencia|químico
	🧑🏻‍🔬;especialista en ciencia: ton de pel moi claro;biólogo|científico|especialista en ciencia|especialista en ciencia: ton de pel moi claro|químico|ton de pel moi claro
	🧑🏼‍🔬;especialista en ciencia: ton de pel claro;biólogo|científico|especialista en ciencia|especialista en ciencia: ton de pel claro|químico|ton de pel claro
	🧑🏽‍🔬;especialista en ciencia: ton de pel medio;biólogo|científico|especialista en ciencia|especialista en ciencia: ton de pel medio|químico|ton de pel medio
	🧑🏾‍🔬;especialista en ciencia: ton de pel escuro;biólogo|científico|especialista en ciencia|especialista en ciencia: ton de pel escuro|químico|ton de pel escuro
	🧑🏿‍🔬;especialista en ciencia: ton de pel moi escuro;biólogo|científico|especialista en ciencia|especialista en ciencia: ton de pel moi escuro|químico|ton de pel moi escuro
👨‍🔬;científico;biólogo|científico|home|químico
	👨🏻‍🔬;científico: ton de pel moi claro;biólogo|científico|científico: ton de pel moi claro|home|químico|ton de pel moi claro
	👨🏼‍🔬;científico: ton de pel claro;biólogo|científico|científico: ton de pel claro|home|químico|ton de pel claro
	👨🏽‍🔬;científico: ton de pel medio;biólogo|científico|científico: ton de pel medio|home|químico|ton de pel medio
	👨🏾‍🔬;científico: ton de pel escuro;biólogo|científico|científico: ton de pel escuro|home|químico|ton de pel escuro
	👨🏿‍🔬;científico: ton de pel moi escuro;biólogo|científico|científico: ton de pel moi escuro|home|químico|ton de pel moi escuro
👩‍🔬;científica;bióloga|científica|muller|química
	👩🏻‍🔬;científica: ton de pel moi claro;bióloga|científica|científica: ton de pel moi claro|muller|química|ton de pel moi claro
	👩🏼‍🔬;científica: ton de pel claro;bióloga|científica|científica: ton de pel claro|muller|química|ton de pel claro
	👩🏽‍🔬;científica: ton de pel medio;bióloga|científica|científica: ton de pel medio|muller|química|ton de pel medio
	👩🏾‍🔬;científica: ton de pel escuro;bióloga|científica|científica: ton de pel escuro|muller|química|ton de pel escuro
	👩🏿‍🔬;científica: ton de pel moi escuro;bióloga|científica|científica: ton de pel moi escuro|muller|química|ton de pel moi escuro
🧑‍💻;persoa experta en programación;informática|persoa experta en programación|programación|software
	🧑🏻‍💻;persoa experta en programación: ton de pel moi claro;informática|persoa experta en programación|persoa experta en programación: ton de pel moi claro|programación|software|ton de pel moi claro
	🧑🏼‍💻;persoa experta en programación: ton de pel claro;informática|persoa experta en programación|persoa experta en programación: ton de pel claro|programación|software|ton de pel claro
	🧑🏽‍💻;persoa experta en programación: ton de pel medio;informática|persoa experta en programación|persoa experta en programación: ton de pel medio|programación|software|ton de pel medio
	🧑🏾‍💻;persoa experta en programación: ton de pel escuro;informática|persoa experta en programación|persoa experta en programación: ton de pel escuro|programación|software|ton de pel escuro
	🧑🏿‍💻;persoa experta en programación: ton de pel moi escuro;informática|persoa experta en programación|persoa experta en programación: ton de pel moi escuro|programación|software|ton de pel moi escuro
👨‍💻;informático;home|informático|programador|software
	👨🏻‍💻;informático: ton de pel moi claro;home|informático|informático: ton de pel moi claro|programador|software|ton de pel moi claro
	👨🏼‍💻;informático: ton de pel claro;home|informático|informático: ton de pel claro|programador|software|ton de pel claro
	👨🏽‍💻;informático: ton de pel medio;home|informático|informático: ton de pel medio|programador|software|ton de pel medio
	👨🏾‍💻;informático: ton de pel escuro;home|informático|informático: ton de pel escuro|programador|software|ton de pel escuro
	👨🏿‍💻;informático: ton de pel moi escuro;home|informático|informático: ton de pel moi escuro|programador|software|ton de pel moi escuro
👩‍💻;informática;informática|muller|programadora|software
	👩🏻‍💻;informática: ton de pel moi claro;informática|informática: ton de pel moi claro|muller|programadora|software|ton de pel moi claro
	👩🏼‍💻;informática: ton de pel claro;informática|informática: ton de pel claro|muller|programadora|software|ton de pel claro
	👩🏽‍💻;informática: ton de pel medio;informática|informática: ton de pel medio|muller|programadora|software|ton de pel medio
	👩🏾‍💻;informática: ton de pel escuro;informática|informática: ton de pel escuro|muller|programadora|software|ton de pel escuro
	👩🏿‍💻;informática: ton de pel moi escuro;informática|informática: ton de pel moi escuro|muller|programadora|software|ton de pel moi escuro
🧑‍🎤;cantante;cantante|estrela|presentador|rock
	🧑🏻‍🎤;cantante: ton de pel moi claro;cantante|cantante: ton de pel moi claro|estrela|presentador|rock|ton de pel moi claro
	🧑🏼‍🎤;cantante: ton de pel claro;cantante|cantante: ton de pel claro|estrela|presentador|rock|ton de pel claro
	🧑🏽‍🎤;cantante: ton de pel medio;cantante|cantante: ton de pel medio|estrela|presentador|rock|ton de pel medio
	🧑🏾‍🎤;cantante: ton de pel escuro;cantante|cantante: ton de pel escuro|estrela|presentador|rock|ton de pel escuro
	🧑🏿‍🎤;cantante: ton de pel moi escuro;cantante|cantante: ton de pel moi escuro|estrela|presentador|rock|ton de pel moi escuro
👨‍🎤;cantante de sexo masculino;actor|cantante|cantante de sexo masculino|home|rock
	👨🏻‍🎤;cantante de sexo masculino: ton de pel moi claro;actor|cantante|cantante de sexo masculino|cantante de sexo masculino: ton de pel moi claro|home|rock|ton de pel moi claro
	👨🏼‍🎤;cantante de sexo masculino: ton de pel claro;actor|cantante|cantante de sexo masculino|cantante de sexo masculino: ton de pel claro|home|rock|ton de pel claro
