# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;嘿嘿;嘿嘿|笑脸|脸
	👩🏿‍✈️;女飞行员: 较深肤色;女|女飞行员|女飞行员: 较深肤色|较深肤色|飞机
🧑‍🚀;宇航员;宇航员|火箭
	🧑🏻‍🚀;宇航员: 较浅肤色;宇航员|宇航员: 较浅肤色|火箭|较浅肤色
	🧑🏼‍🚀;宇航员: 中等-浅肤色;中等-浅肤色|宇航员|宇航员: 中等-浅肤色|火箭
	🧑🏽‍🚀;宇航员: 中等肤色;中等肤色|宇航员|宇航员: 中等肤色|火箭
	🧑🏾‍🚀;宇航员: 中等-深肤色;中等-深肤色|宇航员|宇航员: 中等-深肤色|火箭
	🧑🏿‍🚀;宇航员: 较深肤色;宇航员|宇航员: 较深肤色|火箭|较深肤色
👨‍🚀;男宇航员;宇航员|火箭|男|男宇航员
	👨🏻‍🚀;男宇航员: 较浅肤色;宇航员|火箭|男|男宇航员|男宇航员: 较浅肤色|较浅肤色
	👨🏼‍🚀;男宇航员: 中等-浅肤色;中等-浅肤色|宇航员|火箭|男|男宇航员|男宇航员: 中等-浅肤色
	👨🏽‍🚀;男宇航员: 中等肤色;中等肤色|宇航员|火箭|男|男宇航员|男宇航员: 中等肤色
	👨🏾‍🚀;男宇航员: 中等-深肤色;中等-深肤色|宇航员|火箭|男|男宇航员|男宇航员: 中等-深肤色
	👨🏿‍🚀;男宇航员: 较深肤色;宇航员|火箭|男|男宇航员|男宇航员: 较深肤色|较深肤色
👩‍🚀;女宇航员;女|女宇航员|宇航员|火箭
	👩🏻‍🚀;女宇航员: 较浅肤色;女|女宇航员|女宇航员: 较浅肤色|宇航员|火箭|较浅肤色
	👩🏼‍🚀;女宇航员: 中等-浅肤色;中等-浅肤色|女|女宇航员|女宇航员: 中等-浅肤色|宇航员|火箭
	👩🏽‍🚀;女宇航员: 中等肤色;中等肤色|女|女宇航员|女宇航员: 中等肤色|宇航员|火箭
	👩🏾‍🚀;女宇航员: 中等-深肤色;中等-深肤色|女|女宇航员|女宇航员: 中等-深肤色|宇航员|火箭
	👩🏿‍🚀;女宇航员: 较深肤色;女|女宇航员|女宇航员: 较深肤色|宇航员|火箭|较深肤色
🧑‍🚒;消防员;消防员|消防车
	🧑🏻‍🚒;消防员: 较浅肤色;消防员|消防员: 较浅肤色|消防车|较浅肤色
	🧑🏼‍🚒;消防员: 中等-浅肤色;中等-浅肤色|消防员|消防员: 中等-浅肤色|消防车
	🧑🏽‍🚒;消防员: 中等肤色;中等肤色|消防员|消防员: 中等肤色|消防车
	🧑🏾‍🚒;消防员: 中等-深肤色;中等-深肤色|消防员|消防员: 中等-深肤色|消防车
	🧑🏿‍🚒;消防员: 较深肤色;消防员|消防员: 较深肤色|消防车|较深肤色
👨‍🚒;男消防员;消防员|消防车|男|男消防员
	👨🏻‍🚒;男消防员: 较浅肤色;消防员|消防车|男|男消防员|男消防员: 较浅肤色|较浅肤色
	👨🏼‍🚒;男消防员: 中等-浅肤色;中等-浅肤色|消防员|消防车|男|男消防员|男消防员: 中等-浅肤色
	👨🏽‍🚒;男消防员: 中等肤色;中等肤色|消防员|消防车|男|男消防员|男消防员: 中等肤色
	👨🏾‍🚒;男消防员: 中等-深肤色;中等-深肤色|消防员|消防车|男|男消防员|男消防员: 中等-深肤色
	👨🏿‍🚒;男消防员: 较深肤色;消防员|消防车|男|男消防员|男消防员: 较深肤色|较深肤色
👩‍🚒;女消防员;女|女消防员|消防员|消防车
	👩🏻‍🚒;女消防员: 较浅肤色;女|女消防员|女消防员: 较浅肤色|消防员|消防车|较浅肤色
	👩🏼‍🚒;女消防员: 中等-浅肤色;中等-浅肤色|女|女消防员|女消防员: 中等-浅肤色|消防员|消防车
	👩🏽‍🚒;女消防员: 中等肤色;中等肤色|女|女消防员|女消防员: 中等肤色|消防员|消防车
	👩🏾‍🚒;女消防员: 中等-深肤色;中等-深肤色|女|女消防员|女消防员: 中等-深肤色|消防员|消防车
	👩🏿‍🚒;女消防员: 较深肤色;女|女消防员|女消防员: 较深肤色|消防员|消防车|较深肤色
👮;警察;警官|警察
	👮🏻;警察: 较浅肤色;警官|警察|警察: 较浅肤色|较浅肤色
	👮🏼;警察: 中等-浅肤色;中等-浅肤色|警官|警察|警察: 中等-浅肤色
	👮🏽;警察: 中等肤色;中等肤色|警官|警察|警察: 中等肤色
	👮🏾;警察: 中等-深肤色;中等-深肤色|警官|警察|警察: 中等-深肤色
	👮🏿;警察: 较深肤色;警官|警察|警察: 较深肤色|较深肤色
👮‍♂️;男警察;男|男警察|警官|警察
	👮🏻‍♂️;男警察: 较浅肤色;男|男警察|男警察: 较浅肤色|警官|警察|较浅肤色
	👮🏼‍♂️;男警察: 中等-浅肤色;中等-浅肤色|男|男警察|男警察: 中等-浅肤色|警官|警察
	👮🏽‍♂️;男警察: 中等肤色;中等肤色|男|男警察|男警察: 中等肤色|警官|警察
	👮🏾‍♂️;男警察: 中等-深肤色;中等-深肤色|男|男警察|男警察: 中等-深肤色|警官|警察
	👮🏿‍♂️;男警察: 较深肤色;男|男警察|男警察: 较深肤色|警官|警察|较深肤色
👮‍♀️;女警察;女|女警察|警官|警察
	👮🏻‍♀️;女警察: 较浅肤色;女|女警察|女警察: 较浅肤色|警官|警察|较浅肤色
	👮🏼‍♀️;女警察: 中等-浅肤色;中等-浅肤色|女|女警察|女警察: 中等-浅肤色|警官|警察
	👮🏽‍♀️;女警察: 中等肤色;中等肤色|女|女警察|女警察: 中等肤色|警官|警察
	👮🏾‍♀️;女警察: 中等-深肤色;中等-深肤色|女|女警察|女警察: 中等-深肤色|警官|警察
	👮🏿‍♀️;女警察: 较深肤色;女|女警察|女警察: 较深肤色|警官|警察|较深肤色
🕵️;侦探;侦探|间谍
	🕵🏻;侦探: 较浅肤色;侦探|侦探: 较浅肤色|较浅肤色|间谍
	🕵🏼;侦探: 中等-浅肤色;中等-浅肤色|侦探|侦探: 中等-浅肤色|间谍
	🕵🏽;侦探: 中等肤色;中等肤色|侦探|侦探: 中等肤色|间谍
	🕵🏾;侦探: 中等-深肤色;中等-深肤色|侦探|侦探: 中等-深肤色|间谍
	🕵🏿;侦探: 较深肤色;侦探|侦探: 较深肤色|较深肤色|间谍
🕵️‍♂️;男侦探;侦探|男|男侦探|间谍
	🕵🏻‍♂️;男侦探: 较浅肤色;侦探|男|男侦探|男侦探: 较浅肤色|较浅肤色|间谍
	🕵🏼‍♂️;男侦探: 中等-浅肤色;中等-浅肤色|侦探|男|男侦探|男侦探: 中等-浅肤色|间谍
	🕵🏽‍♂️;男侦探: 中等肤色;中等肤色|侦探|男|男侦探|男侦探: 中等肤色|间谍
	🕵🏾‍♂️;男侦探: 中等-深肤色;中等-深肤色|侦探|男|男侦探|男侦探: 中等-深肤色|间谍
	🕵🏿‍♂️;男侦探: 较深肤色;侦探|男|男侦探|男侦探: 较深肤色|较深肤色|间谍
🕵️‍♀️;女侦探;侦探|女|女侦探|间谍
	🕵🏻‍♀️;女侦探: 较浅肤色;侦探|女|女侦探|女侦探: 较浅肤色|较浅肤色|间谍
	🕵🏼‍♀️;女侦探: 中等-浅肤色;中等-浅肤色|侦探|女|女侦探|女侦探: 中等-浅肤色|间谍
	🕵🏽‍♀️;女侦探: 中等肤色;中等肤色|侦探|女|女侦探|女侦探: 中等肤色|间谍
	🕵🏾‍♀️;女侦探: 中等-深肤色;中等-深肤色|侦探|女|女侦探|女侦探: 中等-深肤色|间谍
	🕵🏿‍♀️;女侦探: 较深肤色;侦探|女|女侦探|女侦探: 较深肤色|较深肤色|间谍
💂;卫兵;卫兵|卫士|守卫
	💂🏻;卫兵: 较浅肤色;卫兵|卫兵: 较浅肤色|卫士|守卫|较浅肤色
	💂🏼;卫兵: 中等-浅肤色;中等-浅肤色|卫兵|卫兵: 中等-浅肤色|卫士|守卫
	💂🏽;卫兵: 中等肤色;中等肤色|卫兵|卫兵: 中等肤色|卫士|守卫
	💂🏾;卫兵: 中等-深肤色;中等-深肤色|卫兵|卫兵: 中等-深肤色|卫士|守卫
	💂🏿;卫兵: 较深肤色;卫兵|卫兵: 较深肤色|卫士|守卫|较深肤色
💂‍♂️;男卫兵;卫兵|卫士|守卫|男|男卫兵
	💂🏻‍♂️;男卫兵: 较浅肤色;卫兵|卫士|守卫|男|男卫兵|男卫兵: 较浅肤色|较浅肤色
	💂🏼‍♂️;男卫兵: 中等-浅肤色;中等-浅肤色|卫兵|卫士|守卫|男|男卫兵|男卫兵: 中等-浅肤色
	💂🏽‍♂️;男卫兵: 中等肤色;中等肤色|卫兵|卫士|守卫|男|男卫兵|男卫兵: 中等肤色
	💂🏾‍♂️;男卫兵: 中等-深肤色;中等-深肤色|卫兵|卫士|守卫|男|男卫兵|男卫兵: 中等-深肤色
	💂🏿‍♂️;男卫兵: 较深肤色;卫兵|卫士|守卫|男|男卫兵|男卫兵: 较深肤色|较深肤色
💂‍♀️;女卫兵;卫兵|卫士|女|女卫兵|守卫
	💂🏻‍♀️;女卫兵: 较浅肤色;卫兵|卫士|女|女卫兵|女卫兵: 较浅肤色|守卫|较浅肤色
	💂🏼‍♀️;女卫兵: 中等-浅肤色;中等-浅肤色|卫兵|卫士|女|女卫兵|女卫兵: 中等-浅肤色|守卫
	💂🏽‍♀️;女卫兵: 中等肤色;中等肤色|卫兵|卫士|女|女卫兵|女卫兵: 中等肤色|守卫
	💂🏾‍♀️;女卫兵: 中等-深肤色;中等-深肤色|卫兵|卫士|女|女卫兵|女卫兵: 中等-深肤色|守卫
	💂🏿‍♀️;女卫兵: 较深肤色;卫兵|卫士|女|女卫兵|女卫兵: 较深肤色|守卫|较深肤色
🥷;忍者;忍者|打斗|隐藏|隐身
	🥷🏻;忍者: 较浅肤色;忍者|忍者: 较浅肤色|打斗|较浅肤色|隐藏|隐身
	🥷🏼;忍者: 中等-浅肤色;中等-浅肤色|忍者|忍者: 中等-浅肤色|打斗|隐藏|隐身
	🥷🏽;忍者: 中等肤色;中等肤色|忍者|忍者: 中等肤色|打斗|隐藏|隐身
	🥷🏾;忍者: 中等-深肤色;中等-深肤色|忍者|忍者: 中等-深肤色|打斗|隐藏|隐身
	🥷🏿;忍者: 较深肤色;忍者|忍者: 较深肤色|打斗|较深肤色|隐藏|隐身
👷;建筑工人;工人|建筑|建筑工人
	👷🏻;建筑工人: 较浅肤色;工人|建筑|建筑工人|建筑工人: 较浅肤色|较浅肤色
	👷🏼;建筑工人: 中等-浅肤色;中等-浅肤色|工人|建筑|建筑工人|建筑工人: 中等-浅肤色
	👷🏽;建筑工人: 中等肤色;中等肤色|工人|建筑|建筑工人|建筑工人: 中等肤色
	👷🏾;建筑工人: 中等-深肤色;中等-深肤色|工人|建筑|建筑工人|建筑工人: 中等-深肤色
	👷🏿;建筑工人: 较深肤色;工人|建筑|建筑工人|建筑工人: 较深肤色|较深肤色
👷‍♂️;男建筑工人;工人|建筑|男|男建筑工人
	👷🏻‍♂️;男建筑工人: 较浅肤色;工人|建筑|男|男建筑工人|男建筑工人: 较浅肤色|较浅肤色
	👷🏼‍♂️;男建筑工人: 中等-浅肤色;中等-浅肤色|工人|建筑|男|男建筑工人|男建筑工人: 中等-浅肤色
	👷🏽‍♂️;男建筑工人: 中等肤色;中等肤色|工人|建筑|男|男建筑工人|男建筑工人: 中等肤色
	👷🏾‍♂️;男建筑工人: 中等-深肤色;中等-深肤色|工人|建筑|男|男建筑工人|男建筑工人: 中等-深肤色
	👷🏿‍♂️;男建筑工人: 较深肤色;工人|建筑|男|男建筑工人|男建筑工人: 较深肤色|较深肤色
👷‍♀️;女建筑工人;女|女建筑工人|工人|建筑
	👷🏻‍♀️;女建筑工人: 较浅肤色;女|女建筑工人|女建筑工人: 较浅肤色|工人|建筑|较浅肤色
	👷🏼‍♀️;女建筑工人: 中等-浅肤色;中等-浅肤色|女|女建筑工人|女建筑工人: 中等-浅肤色|工人|建筑
	👷🏽‍♀️;女建筑工人: 中等肤色;中等肤色|女|女建筑工人|女建筑工人: 中等肤色|工人|建筑
	👷🏾‍♀️;女建筑工人: 中等-深肤色;中等-深肤色|女|女建筑工人|女建筑工人: 中等-深肤色|工人|建筑
	👷🏿‍♀️;女建筑工人: 较深肤色;女|女建筑工人|女建筑工人: 较深肤色|工人|建筑|较深肤色
🫅;戴王冠的人;君主|君威|戴王冠的人|王室|贵族
	🫅🏻;戴王冠的人: 较浅肤色;君主|君威|戴王冠的人|戴王冠的人: 较浅肤色|王室|贵族|较浅肤色
	🫅🏼;戴王冠的人: 中等-浅肤色;中等-浅肤色|君主|君威|戴王冠的人|戴王冠的人: 中等-浅肤色|王室|贵族
	🫅🏽;戴王冠的人: 中等肤色;中等肤色|君主|君威|戴王冠的人|戴王冠的人: 中等肤色|王室|贵族
	🫅🏾;戴王冠的人: 中等-深肤色;中等-深肤色|君主|君威|戴王冠的人|戴王冠的人: 中等-深肤色|王室|贵族
	🫅🏿;戴王冠的人: 较深肤色;君主|君威|戴王冠的人|戴王冠的人: 较深肤色|王室|贵族|较深肤色
🤴;王子;王子
	🤴🏻;王子: 较浅肤色;王子|王子: 较浅肤色|较浅肤色
	🤴🏼;王子: 中等-浅肤色;中等-浅肤色|王子|王子: 中等-浅肤色
	🤴🏽;王子: 中等肤色;中等肤色|王子|王子: 中等肤色
	🤴🏾;王子: 中等-深肤色;中等-深肤色|王子|王子: 中等-深肤色
	🤴🏿;王子: 较深肤色;王子|王子: 较深肤色|较深肤色
👸;公主;公主|皇冠|童话
	👸🏻;公主: 较浅肤色;公主|公主: 较浅肤色|皇冠|童话|较浅肤色
	👸🏼;公主: 中等-浅肤色;中等-浅肤色|公主|公主: 中等-浅肤色|皇冠|童话
	👸🏽;公主: 中等肤色;中等肤色|公主|公主: 中等肤色|皇冠|童话
	👸🏾;公主: 中等-深肤色;中等-深肤色|公主|公主: 中等-深肤色|皇冠|童话
	👸🏿;公主: 较深肤色;公主|公主: 较深肤色|皇冠|童话|较深肤色
👳;戴头巾的人;头巾|戴头巾的人
	👳🏻;戴头巾的人: 较浅肤色;头巾|戴头巾的人|戴头巾的人: 较浅肤色|较浅肤色
	👳🏼;戴头巾的人: 中等-浅肤色;中等-浅肤色|头巾|戴头巾的人|戴头巾的人: 中等-浅肤色
	👳🏽;戴头巾的人: 中等肤色;中等肤色|头巾|戴头巾的人|戴头巾的人: 中等肤色
	👳🏾;戴头巾的人: 中等-深肤色;中等-深肤色|头巾|戴头巾的人|戴头巾的人: 中等-深肤色
	👳🏿;戴头巾的人: 较深肤色;头巾|戴头巾的人|戴头巾的人: 较深肤色|较深肤色
👳‍♂️;戴头巾的男人;头巾|戴头巾的男人|男
	👳🏻‍♂️;戴头巾的男人: 较浅肤色;头巾|戴头巾的男人|戴头巾的男人: 较浅肤色|男|较浅肤色
	👳🏼‍♂️;戴头巾的男人: 中等-浅肤色;中等-浅肤色|头巾|戴头巾的男人|戴头巾的男人: 中等-浅肤色|男
	👳🏽‍♂️;戴头巾的男人: 中等肤色;中等肤色|头巾|戴头巾的男人|戴头巾的男人: 中等肤色|男
	👳🏾‍♂️;戴头巾的男人: 中等-深肤色;中等-深肤色|头巾|戴头巾的男人|戴头巾的男人: 中等-深肤色|男
	👳🏿‍♂️;戴头巾的男人: 较深肤色;头巾|戴头巾的男人|戴头巾的男人: 较深肤色|男|较深肤色
👳‍♀️;戴头巾的女人;头巾|女|戴头巾的女人
	👳🏻‍♀️;戴头巾的女人: 较浅肤色;头巾|女|戴头巾的女人|戴头巾的女人: 较浅肤色|较浅肤色
	👳🏼‍♀️;戴头巾的女人: 中等-浅肤色;中等-浅肤色|头巾|女|戴头巾的女人|戴头巾的女人: 中等-浅肤色
	👳🏽‍♀️;戴头巾的女人: 中等肤色;中等肤色|头巾|女|戴头巾的女人|戴头巾的女人: 中等肤色
	👳🏾‍♀️;戴头巾的女人: 中等-深肤色;中等-深肤色|头巾|女|戴头巾的女人|戴头巾的女人: 中等-深肤色
	👳🏿‍♀️;戴头巾的女人: 较深肤色;头巾|女|戴头巾的女人|戴头巾的女人: 较深肤色|较深肤色
👲;戴瓜皮帽的人;帽子|戴瓜皮帽的人|瓜皮帽
	👲🏻;戴瓜皮帽的人: 较浅肤色;帽子|戴瓜皮帽的人|戴瓜皮帽的人: 较浅肤色|瓜皮帽|较浅肤色
	👲🏼;戴瓜皮帽的人: 中等-浅肤色;中等-浅肤色|帽子|戴瓜皮帽的人|戴瓜皮帽的人: 中等-浅肤色|瓜皮帽
	👲🏽;戴瓜皮帽的人: 中等肤色;中等肤色|帽子|戴瓜皮帽的人|戴瓜皮帽的人: 中等肤色|瓜皮帽
	👲🏾;戴瓜皮帽的人: 中等-深肤色;中等-深肤色|帽子|戴瓜皮帽的人|戴瓜皮帽的人: 中等-深肤色|瓜皮帽
	👲🏿;戴瓜皮帽的人: 较深肤色;帽子|戴瓜皮帽的人|戴瓜皮帽的人: 较深肤色|瓜皮帽|较深肤色
🧕;带头饰的女人;头巾|希贾布|带头饰的女人
	🧕🏻;带头饰的女人: 较浅肤色;头巾|希贾布|带头饰的女人|带头饰的女人: 较浅肤色|较浅肤色
	🧕🏼;带头饰的女人: 中等-浅肤色;中等-浅肤色|头巾|希贾布|带头饰的女人|带头饰的女人: 中等-浅肤色
	🧕🏽;带头饰的女人: 中等肤色;中等肤色|头巾|希贾布|带头饰的女人|带头饰的女人: 中等肤色
	🧕🏾;带头饰的女人: 中等-深肤色;中等-深肤色|头巾|希贾布|带头饰的女人|带头饰的女人: 中等-深肤色
	🧕🏿;带头饰的女人: 较深肤色;头巾|希贾布|带头饰的女人|带头饰的女人: 较深肤色|较深肤色
🤵;穿燕尾服的人;人|新郎|燕尾服|穿燕尾服的人
	🤵🏻;穿燕尾服的人: 较浅肤色;人|新郎|燕尾服|穿燕尾服的人|穿燕尾服的人: 较浅肤色|较浅肤色
	🤵🏼;穿燕尾服的人: 中等-浅肤色;中等-浅肤色|人|新郎|燕尾服|穿燕尾服的人|穿燕尾服的人: 中等-浅肤色
	🤵🏽;穿燕尾服的人: 中等肤色;中等肤色|人|新郎|燕尾服|穿燕尾服的人|穿燕尾服的人: 中等肤色
	🤵🏾;穿燕尾服的人: 中等-深肤色;中等-深肤色|人|新郎|燕尾服|穿燕尾服的人|穿燕尾服的人: 中等-深肤色
	🤵🏿;穿燕尾服的人: 较深肤色;人|新郎|燕尾服|穿燕尾服的人|穿燕尾服的人: 较深肤色|较深肤色
🤵‍♂️;穿礼服的男人;男人|礼服|穿礼服的男人
	🤵🏻‍♂️;穿礼服的男人: 较浅肤色;男人|礼服|穿礼服的男人|穿礼服的男人: 较浅肤色|较浅肤色
	🤵🏼‍♂️;穿礼服的男人: 中等-浅肤色;中等-浅肤色|男人|礼服|穿礼服的男人|穿礼服的男人: 中等-浅肤色
