[smileys_emotion]
😀;활짝 웃는 얼굴;미소|스마일|얼굴|웃음|활짝 웃는 얼굴
	🧑🏾‍🍳;요리사: 진한 갈색 피부;셰프|요리사|요리사: 진한 갈색 피부|주방장|진한 갈색 피부
	🧑🏿‍🍳;요리사: 검은색 피부;검은색 피부|셰프|요리사|요리사: 검은색 피부|주방장
👨‍🍳;남자 요리사;남자|셰프|요리사|주방장
	👨🏻‍🍳;남자 요리사: 하얀 피부;남자|남자 요리사: 하얀 피부|셰프|요리사|주방장|하얀 피부
	👨🏼‍🍳;남자 요리사: 연한 갈색 피부;남자|남자 요리사: 연한 갈색 피부|셰프|연한 갈색 피부|요리사|주방장
	👨🏽‍🍳;남자 요리사: 갈색 피부;갈색 피부|남자|남자 요리사: 갈색 피부|셰프|요리사|주방장
	👨🏾‍🍳;남자 요리사: 진한 갈색 피부;남자|남자 요리사: 진한 갈색 피부|셰프|요리사|주방장|진한 갈색 피부
	👨🏿‍🍳;남자 요리사: 검은색 피부;검은색 피부|남자|남자 요리사: 검은색 피부|셰프|요리사|주방장
👩‍🍳;여자 요리사;셰프|여자|요리사|주방장
	👩🏻‍🍳;여자 요리사: 하얀 피부;셰프|여자|여자 요리사: 하얀 피부|요리사|주방장|하얀 피부
	👩🏼‍🍳;여자 요리사: 연한 갈색 피부;셰프|여자|여자 요리사: 연한 갈색 피부|연한 갈색 피부|요리사|주방장
	👩🏽‍🍳;여자 요리사: 갈색 피부;갈색 피부|셰프|여자|여자 요리사: 갈색 피부|요리사|주방장
	👩🏾‍🍳;여자 요리사: 진한 갈색 피부;셰프|여자|여자 요리사: 진한 갈색 피부|요리사|주방장|진한 갈색 피부
	👩🏿‍🍳;여자 요리사: 검은색 피부;검은색 피부|셰프|여자|여자 요리사: 검은색 피부|요리사|주방장
🧑‍🔧;정비공;배관공|전기 기사|정비공
	🧑🏻‍🔧;정비공: 하얀 피부;배관공|전기 기사|정비공|정비공: 하얀 피부|하얀 피부
	🧑🏼‍🔧;정비공: 연한 갈색 피부;배관공|연한 갈색 피부|전기 기사|정비공|정비공: 연한 갈색 피부
	🧑🏽‍🔧;정비공: 갈색 피부;갈색 피부|배관공|전기 기사|정비공|정비공: 갈색 피부
	🧑🏾‍🔧;정비공: 진한 갈색 피부;배관공|전기 기사|정비공|정비공: 진한 갈색 피부|진한 갈색 피부
	🧑🏿‍🔧;정비공: 검은색 피부;검은색 피부|배관공|전기 기사|정비공|정비공: 검은색 피부
👨‍🔧;남자 정비공;기술자|남자|배관공|수리공|전기 기사|정비공
	👨🏻‍🔧;남자 정비공: 하얀 피부;기술자|남자|남자 정비공: 하얀 피부|배관공|수리공|전기 기사|정비공|하얀 피부
	👨🏼‍🔧;남자 정비공: 연한 갈색 피부;기술자|남자|남자 정비공: 연한 갈색 피부|배관공|수리공|연한 갈색 피부|전기 기사|정비공
	👨🏽‍🔧;남자 정비공: 갈색 피부;갈색 피부|기술자|남자|남자 정비공: 갈색 피부|배관공|수리공|전기 기사|정비공
	👨🏾‍🔧;남자 정비공: 진한 갈색 피부;기술자|남자|남자 정비공: 진한 갈색 피부|배관공|수리공|전기 기사|정비공|진한 갈색 피부
	👨🏿‍🔧;남자 정비공: 검은색 피부;검은색 피부|기술자|남자|남자 정비공: 검은색 피부|배관공|수리공|전기 기사|정비공
👩‍🔧;여자 정비공;기술자|배관공|수리공|여자|전기 기사|정비공
	👩🏻‍🔧;여자 정비공: 하얀 피부;기술자|배관공|수리공|여자|여자 정비공: 하얀 피부|전기 기사|정비공|하얀 피부
	👩🏼‍🔧;여자 정비공: 연한 갈색 피부;기술자|배관공|수리공|여자|여자 정비공: 연한 갈색 피부|연한 갈색 피부|전기 기사|정비공
	👩🏽‍🔧;여자 정비공: 갈색 피부;갈색 피부|기술자|배관공|수리공|여자|여자 정비공: 갈색 피부|전기 기사|정비공
	👩🏾‍🔧;여자 정비공: 진한 갈색 피부;기술자|배관공|수리공|여자|여자 정비공: 진한 갈색 피부|전기 기사|정비공|진한 갈색 피부
	👩🏿‍🔧;여자 정비공: 검은색 피부;검은색 피부|기술자|배관공|수리공|여자|여자 정비공: 검은색 피부|전기 기사|정비공
🧑‍🏭;공장 직원;공업|공장|조립공|직원
	🧑🏻‍🏭;공장 직원: 하얀 피부;공업|공장|공장 직원: 하얀 피부|조립공|직원|하얀 피부
	🧑🏼‍🏭;공장 직원: 연한 갈색 피부;공업|공장|공장 직원: 연한 갈색 피부|연한 갈색 피부|조립공|직원
	🧑🏽‍🏭;공장 직원: 갈색 피부;갈색 피부|공업|공장|공장 직원: 갈색 피부|조립공|직원
	🧑🏾‍🏭;공장 직원: 진한 갈색 피부;공업|공장|공장 직원: 진한 갈색 피부|조립공|직원|진한 갈색 피부
	🧑🏿‍🏭;공장 직원: 검은색 피부;검은색 피부|공업|공장|공장 직원: 검은색 피부|조립공|직원
👨‍🏭;공장 남자 직원;공업|공장|남자|조립공|직원
	👨🏻‍🏭;공장 남자 직원: 하얀 피부;공업|공장|공장 남자 직원: 하얀 피부|남자|조립공|직원|하얀 피부
	👨🏼‍🏭;공장 남자 직원: 연한 갈색 피부;공업|공장|공장 남자 직원: 연한 갈색 피부|남자|연한 갈색 피부|조립공|직원
	👨🏽‍🏭;공장 남자 직원: 갈색 피부;갈색 피부|공업|공장|공장 남자 직원: 갈색 피부|남자|조립공|직원
	👨🏾‍🏭;공장 남자 직원: 진한 갈색 피부;공업|공장|공장 남자 직원: 진한 갈색 피부|남자|조립공|직원|진한 갈색 피부
	👨🏿‍🏭;공장 남자 직원: 검은색 피부;검은색 피부|공업|공장|공장 남자 직원: 검은색 피부|남자|조립공|직원
👩‍🏭;공장 여자 직원;공업|공장|여자|조립공|직원
	👩🏻‍🏭;공장 여자 직원: 하얀 피부;공업|공장|공장 여자 직원: 하얀 피부|여자|조립공|직원|하얀 피부
	👩🏼‍🏭;공장 여자 직원: 연한 갈색 피부;공업|공장|공장 여자 직원: 연한 갈색 피부|여자|연한 갈색 피부|조립공|직원
	👩🏽‍🏭;공장 여자 직원: 갈색 피부;갈색 피부|공업|공장|공장 여자 직원: 갈색 피부|여자|조립공|직원
	👩🏾‍🏭;공장 여자 직원: 진한 갈색 피부;공업|공장|공장 여자 직원: 진한 갈색 피부|여자|조립공|직원|진한 갈색 피부
	👩🏿‍🏭;공장 여자 직원: 검은색 피부;검은색 피부|공업|공장|공장 여자 직원: 검은색 피부|여자|조립공|직원
🧑‍💼;회사원;건축가|관리자|매니저|화이트칼라|회사원
	🧑🏻‍💼;회사원: 하얀 피부;건축가|관리자|매니저|하얀 피부|화이트칼라|회사원|회사원: 하얀 피부
	🧑🏼‍💼;회사원: 연한 갈색 피부;건축가|관리자|매니저|연한 갈색 피부|화이트칼라|회사원|회사원: 연한 갈색 피부
	🧑🏽‍💼;회사원: 갈색 피부;갈색 피부|건축가|관리자|매니저|화이트칼라|회사원|회사원: 갈색 피부
	🧑🏾‍💼;회사원: 진한 갈색 피부;건축가|관리자|매니저|진한 갈색 피부|화이트칼라|회사원|회사원: 진한 갈색 피부
	🧑🏿‍💼;회사원: 검은색 피부;건축가|검은색 피부|관리자|매니저|화이트칼라|회사원|회사원: 검은색 피부
👨‍💼;남자 회사원;건축가|관리자|남자|남자 회사원|매니저|비즈니스맨|화이트칼라
	👨🏻‍💼;남자 회사원: 하얀 피부;건축가|관리자|남자|남자 회사원|남자 회사원: 하얀 피부|매니저|비즈니스맨|하얀 피부|화이트칼라
	👨🏼‍💼;남자 회사원: 연한 갈색 피부;건축가|관리자|남자|남자 회사원|남자 회사원: 연한 갈색 피부|매니저|비즈니스맨|연한 갈색 피부|화이트칼라
	👨🏽‍💼;남자 회사원: 갈색 피부;갈색 피부|건축가|관리자|남자|남자 회사원|남자 회사원: 갈색 피부|매니저|비즈니스맨|화이트칼라
	👨🏾‍💼;남자 회사원: 진한 갈색 피부;건축가|관리자|남자|남자 회사원|남자 회사원: 진한 갈색 피부|매니저|비즈니스맨|진한 갈색 피부|화이트칼라
	👨🏿‍💼;남자 회사원: 검은색 피부;건축가|검은색 피부|관리자|남자|남자 회사원|남자 회사원: 검은색 피부|매니저|비즈니스맨|화이트칼라
👩‍💼;여자 회사원;건축가|관리자|매니저|비즈니스맨|샐러리맨|여자|여자 회사원|화이트칼라
	👩🏻‍💼;여자 회사원: 하얀 피부;건축가|관리자|매니저|비즈니스맨|샐러리맨|여자|여자 회사원|여자 회사원: 하얀 피부|하얀 피부|화이트칼라
	👩🏼‍💼;여자 회사원: 연한 갈색 피부;건축가|관리자|매니저|비즈니스맨|샐러리맨|여자|여자 회사원|여자 회사원: 연한 갈색 피부|연한 갈색 피부|화이트칼라
	👩🏽‍💼;여자 회사원: 갈색 피부;갈색 피부|건축가|관리자|매니저|비즈니스맨|샐러리맨|여자|여자 회사원|여자 회사원: 갈색 피부|화이트칼라
	👩🏾‍💼;여자 회사원: 진한 갈색 피부;건축가|관리자|매니저|비즈니스맨|샐러리맨|여자|여자 회사원|여자 회사원: 진한 갈색 피부|진한 갈색 피부|화이트칼라
	👩🏿‍💼;여자 회사원: 검은색 피부;건축가|검은색 피부|관리자|매니저|비즈니스맨|샐러리맨|여자|여자 회사원|여자 회사원: 검은색 피부|화이트칼라
🧑‍🔬;과학자;과학자|기술자|물리학자|생물학자|화학자
	🧑🏻‍🔬;과학자: 하얀 피부;과학자|과학자: 하얀 피부|기술자|물리학자|생물학자|하얀 피부|화학자
	🧑🏼‍🔬;과학자: 연한 갈색 피부;과학자|과학자: 연한 갈색 피부|기술자|물리학자|생물학자|연한 갈색 피부|화학자
	🧑🏽‍🔬;과학자: 갈색 피부;갈색 피부|과학자|과학자: 갈색 피부|기술자|물리학자|생물학자|화학자
	🧑🏾‍🔬;과학자: 진한 갈색 피부;과학자|과학자: 진한 갈색 피부|기술자|물리학자|생물학자|진한 갈색 피부|화학자
	🧑🏿‍🔬;과학자: 검은색 피부;검은색 피부|과학자|과학자: 검은색 피부|기술자|물리학자|생물학자|화학자
👨‍🔬;남자 과학자;과학자|남자|물리학자|생물학자|실험|실험실|연구자|화학자
	👨🏻‍🔬;남자 과학자: 하얀 피부;과학자|남자|남자 과학자: 하얀 피부|물리학자|생물학자|실험|실험실|연구자|하얀 피부|화학자
	👨🏼‍🔬;남자 과학자: 연한 갈색 피부;과학자|남자|남자 과학자: 연한 갈색 피부|물리학자|생물학자|실험|실험실|연구자|연한 갈색 피부|화학자
	👨🏽‍🔬;남자 과학자: 갈색 피부;갈색 피부|과학자|남자|남자 과학자: 갈색 피부|물리학자|생물학자|실험|실험실|연구자|화학자
	👨🏾‍🔬;남자 과학자: 진한 갈색 피부;과학자|남자|남자 과학자: 진한 갈색 피부|물리학자|생물학자|실험|실험실|연구자|진한 갈색 피부|화학자
	👨🏿‍🔬;남자 과학자: 검은색 피부;검은색 피부|과학자|남자|남자 과학자: 검은색 피부|물리학자|생물학자|실험|실험실|연구자|화학자
👩‍🔬;여자 과학자;과학자|물리학자|생물학자|실험|실험실|여자|연구자|화학자
	👩🏻‍🔬;여자 과학자: 하얀 피부;과학자|물리학자|생물학자|실험|실험실|여자|여자 과학자: 하얀 피부|연구자|하얀 피부|화학자
	👩🏼‍🔬;여자 과학자: 연한 갈색 피부;과학자|물리학자|생물학자|실험|실험실|여자|여자 과학자: 연한 갈색 피부|연구자|연한 갈색 피부|화학자
	👩🏽‍🔬;여자 과학자: 갈색 피부;갈색 피부|과학자|물리학자|생물학자|실험|실험실|여자|여자 과학자: 갈색 피부|연구자|화학자
	👩🏾‍🔬;여자 과학자: 진한 갈색 피부;과학자|물리학자|생물학자|실험|실험실|여자|여자 과학자: 진한 갈색 피부|연구자|진한 갈색 피부|화학자
	👩🏿‍🔬;여자 과학자: 검은색 피부;검은색 피부|과학자|물리학자|생물학자|실험|실험실|여자|여자 과학자: 검은색 피부|연구자|화학자
🧑‍💻;기술 전문가;개발자|기술 전문가|발명가|소프트웨어|코딩
	🧑🏻‍💻;기술 전문가: 하얀 피부;개발자|기술 전문가|기술 전문가: 하얀 피부|발명가|소프트웨어|코딩|하얀 피부
	🧑🏼‍💻;기술 전문가: 연한 갈색 피부;개발자|기술 전문가|기술 전문가: 연한 갈색 피부|발명가|소프트웨어|연한 갈색 피부|코딩
	🧑🏽‍💻;기술 전문가: 갈색 피부;갈색 피부|개발자|기술 전문가|기술 전문가: 갈색 피부|발명가|소프트웨어|코딩
	🧑🏾‍💻;기술 전문가: 진한 갈색 피부;개발자|기술 전문가|기술 전문가: 진한 갈색 피부|발명가|소프트웨어|진한 갈색 피부|코딩
	🧑🏿‍💻;기술 전문가: 검은색 피부;개발자|검은색 피부|기술 전문가|기술 전문가: 검은색 피부|발명가|소프트웨어|코딩
👨‍💻;남자 기술 전문가;개발자|기술 전문가|남자|남자 기술 전문가|발명가|소프트웨어|전문가|코딩|프로그래머
	👨🏻‍💻;남자 기술 전문가: 하얀 피부;개발자|기술 전문가|남자|남자 기술 전문가|남자 기술 전문가: 하얀 피부|발명가|소프트웨어|전문가|코딩|프로그래머|하얀 피부
	👨🏼‍💻;남자 기술 전문가: 연한 갈색 피부;개발자|기술 전문가|남자|남자 기술 전문가|남자 기술 전문가: 연한 갈색 피부|발명가|소프트웨어|연한 갈색 피부|전문가|코딩|프로그래머
	👨🏽‍💻;남자 기술 전문가: 갈색 피부;갈색 피부|개발자|기술 전문가|남자|남자 기술 전문가|남자 기술 전문가: 갈색 피부|발명가|소프트웨어|전문가|코딩|프로그래머
	👨🏾‍💻;남자 기술 전문가: 진한 갈색 피부;개발자|기술 전문가|남자|남자 기술 전문가|남자 기술 전문가: 진한 갈색 피부|발명가|소프트웨어|전문가|진한 갈색 피부|코딩|프로그래머
	👨🏿‍💻;남자 기술 전문가: 검은색 피부;개발자|검은색 피부|기술 전문가|남자|남자 기술 전문가|남자 기술 전문가: 검은색 피부|발명가|소프트웨어|전문가|코딩|프로그래머
👩‍💻;여자 기술 전문가;개발자|기술 전문가|발명가|소프트웨어|여자|여자 기술 전문가|전문가|코딩|프로그래머
	👩🏻‍💻;여자 기술 전문가: 하얀 피부;개발자|기술 전문가|발명가|소프트웨어|여자|여자 기술 전문가|여자 기술 전문가: 하얀 피부|전문가|코딩|프로그래머|하얀 피부
	👩🏼‍💻;여자 기술 전문가: 연한 갈색 피부;개발자|기술 전문가|발명가|소프트웨어|여자|여자 기술 전문가|여자 기술 전문가: 연한 갈색 피부|연한 갈색 피부|전문가|코딩|프로그래머
	👩🏽‍💻;여자 기술 전문가: 갈색 피부;갈색 피부|개발자|기술 전문가|발명가|소프트웨어|여자|여자 기술 전문가|여자 기술 전문가: 갈색 피부|전문가|코딩|프로그래머
	👩🏾‍💻;여자 기술 전문가: 진한 갈색 피부;개발자|기술 전문가|발명가|소프트웨어|여자|여자 기술 전문가|여자 기술 전문가: 진한 갈색 피부|전문가|진한 갈색 피부|코딩|프로그래머
	👩🏿‍💻;여자 기술 전문가: 검은색 피부;개발자|검은색 피부|기술 전문가|발명가|소프트웨어|여자|여자 기술 전문가|여자 기술 전문가: 검은색 피부|전문가|코딩|프로그래머
🧑‍🎤;가수;가수|노래|마이크
	🧑🏻‍🎤;가수: 하얀 피부;가수|가수: 하얀 피부|노래|마이크|하얀 피부
	🧑🏼‍🎤;가수: 연한 갈색 피부;가수|가수: 연한 갈색 피부|노래|마이크|연한 갈색 피부
	🧑🏽‍🎤;가수: 갈색 피부;가수|가수: 갈색 피부|갈색 피부|노래|마이크
	🧑🏾‍🎤;가수: 진한 갈색 피부;가수|가수: 진한 갈색 피부|노래|마이크|진한 갈색 피부
