# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;חיוך רחב;חיוך|חיוך רחב|מחייך|פרצוף|שמח
	👨🏿‍💼;עובד משרד: גוון עור כהה;אדריכל|איש עסקים|גוון עור כהה|מנהל|משרד|עובד משרד|עובד משרד: גוון עור כהה|פקיד|צווארון לבן
👩‍💼;עובדת משרד;אדריכלית|אשת עסקים|מנהלת|משרד|עובדת משרד|פקידה|צווארון לבן
	👩🏻‍💼;עובדת משרד: גוון עור בהיר;אדריכלית|אשת עסקים|גוון עור בהיר|מנהלת|משרד|עובדת משרד|עובדת משרד: גוון עור בהיר|פקידה|צווארון לבן
	👩🏼‍💼;עובדת משרד: גוון עור בהיר בינוני;אדריכלית|אשת עסקים|גוון עור בהיר בינוני|מנהלת|משרד|עובדת משרד|עובדת משרד: גוון עור בהיר בינוני|פקידה|צווארון לבן
	👩🏽‍💼;עובדת משרד: גוון עור בינוני;אדריכלית|אשת עסקים|גוון עור בינוני|מנהלת|משרד|עובדת משרד|עובדת משרד: גוון עור בינוני|פקידה|צווארון לבן
	👩🏾‍💼;עובדת משרד: גוון עור כהה בינוני;אדריכלית|אשת עסקים|גוון עור כהה בינוני|מנהלת|משרד|עובדת משרד|עובדת משרד: גוון עור כהה בינוני|פקידה|צווארון לבן
	👩🏿‍💼;עובדת משרד: גוון עור כהה;אדריכלית|אשת עסקים|גוון עור כהה|מנהלת|משרד|עובדת משרד|עובדת משרד: גוון עור כהה|פקידה|צווארון לבן
🧑‍🔬;מדען/ית;ביולוג|ביולוגית|מדען|מדען/ית|מדענית|מהנדס|מהנדסת
	🧑🏻‍🔬;מדען/ית: גוון עור בהיר;ביולוג|ביולוגית|גוון עור בהיר|מדען|מדען/ית|מדען/ית: גוון עור בהיר|מדענית|מהנדס|מהנדסת
	🧑🏼‍🔬;מדען/ית: גוון עור בהיר בינוני;ביולוג|ביולוגית|גוון עור בהיר בינוני|מדען|מדען/ית|מדען/ית: גוון עור בהיר בינוני|מדענית|מהנדס|מהנדסת
	🧑🏽‍🔬;מדען/ית: גוון עור בינוני;ביולוג|ביולוגית|גוון עור בינוני|מדען|מדען/ית|מדען/ית: גוון עור בינוני|מדענית|מהנדס|מהנדסת
	🧑🏾‍🔬;מדען/ית: גוון עור כהה בינוני;ביולוג|ביולוגית|גוון עור כהה בינוני|מדען|מדען/ית|מדען/ית: גוון עור כהה בינוני|מדענית|מהנדס|מהנדסת
	🧑🏿‍🔬;מדען/ית: גוון עור כהה;ביולוג|ביולוגית|גוון עור כהה|מדען|מדען/ית|מדען/ית: גוון עור כהה|מדענית|מהנדס|מהנדסת
👨‍🔬;מדען;איש|ביולוג|גבר|כימאי|מדען|מהנדס|פיזיקאי
	👨🏻‍🔬;מדען: גוון עור בהיר;איש|ביולוג|גבר|גוון עור בהיר|כימאי|מדען|מדען: גוון עור בהיר|מהנדס|פיזיקאי
	👨🏼‍🔬;מדען: גוון עור בהיר בינוני;איש|ביולוג|גבר|גוון עור בהיר בינוני|כימאי|מדען|מדען: גוון עור בהיר בינוני|מהנדס|פיזיקאי
	👨🏽‍🔬;מדען: גוון עור בינוני;איש|ביולוג|גבר|גוון עור בינוני|כימאי|מדען|מדען: גוון עור בינוני|מהנדס|פיזיקאי
	👨🏾‍🔬;מדען: גוון עור כהה בינוני;איש|ביולוג|גבר|גוון עור כהה בינוני|כימאי|מדען|מדען: גוון עור כהה בינוני|מהנדס|פיזיקאי
	👨🏿‍🔬;מדען: גוון עור כהה;איש|ביולוג|גבר|גוון עור כהה|כימאי|מדען|מדען: גוון עור כהה|מהנדס|פיזיקאי
👩‍🔬;מדענית;אישה|ביולוגית|כימאית|מדענית|מהנדסת|פיזיקאית
	👩🏻‍🔬;מדענית: גוון עור בהיר;אישה|ביולוגית|גוון עור בהיר|כימאית|מדענית|מדענית: גוון עור בהיר|מהנדסת|פיזיקאית
	👩🏼‍🔬;מדענית: גוון עור בהיר בינוני;אישה|ביולוגית|גוון עור בהיר בינוני|כימאית|מדענית|מדענית: גוון עור בהיר בינוני|מהנדסת|פיזיקאית
	👩🏽‍🔬;מדענית: גוון עור בינוני;אישה|ביולוגית|גוון עור בינוני|כימאית|מדענית|מדענית: גוון עור בינוני|מהנדסת|פיזיקאית
	👩🏾‍🔬;מדענית: גוון עור כהה בינוני;אישה|ביולוגית|גוון עור כהה בינוני|כימאית|מדענית|מדענית: גוון עור כהה בינוני|מהנדסת|פיזיקאית
	👩🏿‍🔬;מדענית: גוון עור כהה;אישה|ביולוגית|גוון עור כהה|כימאית|מדענית|מדענית: גוון עור כהה|מהנדסת|פיזיקאית
🧑‍💻;טכנולוג/ית;טכנולוג|טכנולוג/ית|טכנולוגית|ממציא|מפתח|מפתחת|מתכנת|מתכנתת
	🧑🏻‍💻;טכנולוג/ית: גוון עור בהיר;גוון עור בהיר|טכנולוג|טכנולוג/ית|טכנולוג/ית: גוון עור בהיר|טכנולוגית|ממציא|מפתח|מפתחת|מתכנת|מתכנתת
	🧑🏼‍💻;טכנולוג/ית: גוון עור בהיר בינוני;גוון עור בהיר בינוני|טכנולוג|טכנולוג/ית|טכנולוג/ית: גוון עור בהיר בינוני|טכנולוגית|ממציא|מפתח|מפתחת|מתכנת|מתכנתת
	🧑🏽‍💻;טכנולוג/ית: גוון עור בינוני;גוון עור בינוני|טכנולוג|טכנולוג/ית|טכנולוג/ית: גוון עור בינוני|טכנולוגית|ממציא|מפתח|מפתחת|מתכנת|מתכנתת
	🧑🏾‍💻;טכנולוג/ית: גוון עור כהה בינוני;גוון עור כהה בינוני|טכנולוג|טכנולוג/ית|טכנולוג/ית: גוון עור כהה בינוני|טכנולוגית|ממציא|מפתח|מפתחת|מתכנת|מתכנתת
	🧑🏿‍💻;טכנולוג/ית: גוון עור כהה;גוון עור כהה|טכנולוג|טכנולוג/ית|טכנולוג/ית: גוון עור כהה|טכנולוגית|ממציא|מפתח|מפתחת|מתכנת|מתכנתת
👨‍💻;טכנולוג;איש|גבר|חוקר|טכנולוג|מפתח|מתכנת|תוכנה
	👨🏻‍💻;טכנולוג: גוון עור בהיר;איש|גבר|גוון עור בהיר|חוקר|טכנולוג|טכנולוג: גוון עור בהיר|מפתח|מתכנת|תוכנה
	👨🏼‍💻;טכנולוג: גוון עור בהיר בינוני;איש|גבר|גוון עור בהיר בינוני|חוקר|טכנולוג|טכנולוג: גוון עור בהיר בינוני|מפתח|מתכנת|תוכנה
	👨🏽‍💻;טכנולוג: גוון עור בינוני;איש|גבר|גוון עור בינוני|חוקר|טכנולוג|טכנולוג: גוון עור בינוני|מפתח|מתכנת|תוכנה
	👨🏾‍💻;טכנולוג: גוון עור כהה בינוני;איש|גבר|גוון עור כהה בינוני|חוקר|טכנולוג|טכנולוג: גוון עור כהה בינוני|מפתח|מתכנת|תוכנה
	👨🏿‍💻;טכנולוג: גוון עור כהה;איש|גבר|גוון עור כהה|חוקר|טכנולוג|טכנולוג: גוון עור כהה|מפתח|מתכנת|תוכנה
👩‍💻;טכנולוגית;אישה|חוקרת|טכנולוגית|מפתחת|מתכנתת|תוכנה
	👩🏻‍💻;טכנולוגית: גוון עור בהיר;אישה|גוון עור בהיר|חוקרת|טכנולוגית|טכנולוגית: גוון עור בהיר|מפתחת|מתכנתת|תוכנה
	👩🏼‍💻;טכנולוגית: גוון עור בהיר בינוני;אישה|גוון עור בהיר בינוני|חוקרת|טכנולוגית|טכנולוגית: גוון עור בהיר בינוני|מפתחת|מתכנתת|תוכנה
	👩🏽‍💻;טכנולוגית: גוון עור בינוני;אישה|גוון עור בינוני|חוקרת|טכנולוגית|טכנולוגית: גוון עור בינוני|מפתחת|מתכנתת|תוכנה
	👩🏾‍💻;טכנולוגית: גוון עור כהה בינוני;אישה|גוון עור כהה בינוני|חוקרת|טכנולוגית|טכנולוגית: גוון עור כהה בינוני|מפתחת|מתכנתת|תוכנה
	👩🏿‍💻;טכנולוגית: גוון עור כהה;אישה|גוון עור כהה|חוקרת|טכנולוגית|טכנולוגית: גוון עור כהה|מפתחת|מתכנתת|תוכנה
🧑‍🎤;זמר/ת;אומן|אמן|אמנית|זמר|זמר/ת|זמרת|שחקן|שחקנית
	🧑🏻‍🎤;זמר/ת: גוון עור בהיר;אומן|אמן|אמנית|גוון עור בהיר|זמר|זמר/ת|זמר/ת: גוון עור בהיר|זמרת|שחקן|שחקנית
	🧑🏼‍🎤;זמר/ת: גוון עור בהיר בינוני;אומן|אמן|אמנית|גוון עור בהיר בינוני|זמר|זמר/ת|זמר/ת: גוון עור בהיר בינוני|זמרת|שחקן|שחקנית
	🧑🏽‍🎤;זמר/ת: גוון עור בינוני;אומן|אמן|אמנית|גוון עור בינוני|זמר|זמר/ת|זמר/ת: גוון עור בינוני|זמרת|שחקן|שחקנית
	🧑🏾‍🎤;זמר/ת: גוון עור כהה בינוני;אומן|אמן|אמנית|גוון עור כהה בינוני|זמר|זמר/ת|זמר/ת: גוון עור כהה בינוני|זמרת|שחקן|שחקנית
	🧑🏿‍🎤;זמר/ת: גוון עור כהה;אומן|אמן|אמנית|גוון עור כהה|זמר|זמר/ת|זמר/ת: גוון עור כהה|זמרת|שחקן|שחקנית
👨‍🎤;זמר;איש|בדרן|גבר|זמר|כוכב|רוק|שחקן
	👨🏻‍🎤;זמר: גוון עור בהיר;איש|בדרן|גבר|גוון עור בהיר|זמר|זמר: גוון עור בהיר|כוכב|רוק|שחקן
	👨🏼‍🎤;זמר: גוון עור בהיר בינוני;איש|בדרן|גבר|גוון עור בהיר בינוני|זמר|זמר: גוון עור בהיר בינוני|כוכב|רוק|שחקן
	👨🏽‍🎤;זמר: גוון עור בינוני;איש|בדרן|גבר|גוון עור בינוני|זמר|זמר: גוון עור בינוני|כוכב|רוק|שחקן
	👨🏾‍🎤;זמר: גוון עור כהה בינוני;איש|בדרן|גבר|גוון עור כהה בינוני|זמר|זמר: גוון עור כהה בינוני|כוכב|רוק|שחקן
	👨🏿‍🎤;זמר: גוון עור כהה;איש|בדרן|גבר|גוון עור כהה|זמר|זמר: גוון עור כהה|כוכב|רוק|שחקן
👩‍🎤;זמרת;אישה|בדרנית|זמרת|כוכבת|רוק|שחקנית
	👩🏻‍🎤;זמרת: גוון עור בהיר;אישה|בדרנית|גוון עור בהיר|זמרת|זמרת: גוון עור בהיר|כוכבת|רוק|שחקנית
	👩🏼‍🎤;זמרת: גוון עור בהיר בינוני;אישה|בדרנית|גוון עור בהיר בינוני|זמרת|זמרת: גוון עור בהיר בינוני|כוכבת|רוק|שחקנית
	👩🏽‍🎤;זמרת: גוון עור בינוני;אישה|בדרנית|גוון עור בינוני|זמרת|זמרת: גוון עור בינוני|כוכבת|רוק|שחקנית
	👩🏾‍🎤;זמרת: גוון עור כהה בינוני;אישה|בדרנית|גוון עור כהה בינוני|זמרת|זמרת: גוון עור כהה בינוני|כוכבת|רוק|שחקנית
	👩🏿‍🎤;זמרת: גוון עור כהה;אישה|בדרנית|גוון עור כהה|זמרת|זמרת: גוון עור כהה|כוכבת|רוק|שחקנית
🧑‍🎨;אומן/ית;אומן|אומן/ית|אומנות|אומנית|אמן|אמנות|אמנית|צבעים
	🧑🏻‍🎨;אומן/ית: גוון עור בהיר;אומן|אומן/ית|אומן/ית: גוון עור בהיר|אומנות|אומנית|אמן|אמנות|אמנית|גוון עור בהיר|צבעים
	🧑🏼‍🎨;אומן/ית: גוון עור בהיר בינוני;אומן|אומן/ית|אומן/ית: גוון עור בהיר בינוני|אומנות|אומנית|אמן|אמנות|אמנית|גוון עור בהיר בינוני|צבעים
	🧑🏽‍🎨;אומן/ית: גוון עור בינוני;אומן|אומן/ית|אומן/ית: גוון עור בינוני|אומנות|אומנית|אמן|אמנות|אמנית|גוון עור בינוני|צבעים
	🧑🏾‍🎨;אומן/ית: גוון עור כהה בינוני;אומן|אומן/ית|אומן/ית: גוון עור כהה בינוני|אומנות|אומנית|אמן|אמנות|אמנית|גוון עור כהה בינוני|צבעים
	🧑🏿‍🎨;אומן/ית: גוון עור כהה;אומן|אומן/ית|אומן/ית: גוון עור כהה|אומנות|אומנית|אמן|אמנות|אמנית|גוון עור כהה|צבעים
👨‍🎨;אמן;איש|אמן|גבר|צבעים|צייר
	👨🏻‍🎨;אמן: גוון עור בהיר;איש|אמן|אמן: גוון עור בהיר|גבר|גוון עור בהיר|צבעים|צייר
	👨🏼‍🎨;אמן: גוון עור בהיר בינוני;איש|אמן|אמן: גוון עור בהיר בינוני|גבר|גוון עור בהיר בינוני|צבעים|צייר
	👨🏽‍🎨;אמן: גוון עור בינוני;איש|אמן|אמן: גוון עור בינוני|גבר|גוון עור בינוני|צבעים|צייר
